"Manufacturer","Module","Transceiver Chip","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Protocol stacks"
"FlexiPanel Ltd","EasyBee summary datasheet","Texas Instruments CC2420 datasheet errata","integral","","18 mA","20 mA","0 dBm","","26 mm x 20 mm","Mar, 2008","?","ZigBee stack"
"Embit","EMB-TRX169PA, 169 MHz
webpage","CC1120 datasheet","U.FL connector","<1 µA","400  mA @ +27 dBm","27 mA (full sens.)","27 dBm","-122 dBm","16 mm x 26 mm","2013","UART, SPI, JTAG","Wireless M-Bus stack"
"Microchip Technology","MRF24J40MAdatasheet","MRF24J40 datasheet","PCB trace","2 µA","23 mA","19 mA","0 dBm","-94 dBm","17.8 mm x 27.9 mm","Jun, 2008","SPI","Microchip ZigBee MiWi MiWi P2P"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","SPI","/!\ This cell is not defined /!\"
"Manufacturer","Module","SOC/SIP Chip","MCU core","RAM","Flash","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Firmware options","/!\ This cell is not defined /!\"
"Anaren","A2530R24A Data sheet","CC2530 Data sheet","32 MHz 8-bit 8051","8 kB","256 kB","Printed Trace","1 µA","34 mA","25 mA","4 dBm","-90 dBm","11 mm x 19 mm","July, 2012","UART, SPI","AIR-ZNP, based on TI Z-Stack","/!\ This cell is not defined /!\"
"Anaren","A2530R24C Data sheet","CC2530 Data sheet","32 MHz 8-bit 8051","8 kB","256 kB","U.FL connector","1 µA","34 mA","25 mA","4 dBm","-90 dBm","11 mm x 19 mm","July, 2012","UART, SPI","AIR-ZNP, based on TI Z-Stack","/!\ This cell is not defined /!\"
"Anaren","A2530E24A Data sheet","CC2530 Data sheet","32 MHz 8-bit 8051","8 kB","256 kB","Printed Trace","1 µA","130 mA","28 mA","15 dBm","-95 dBm","11 mm x 19 mm","July, 2012","UART, SPI","AIR-ZNP, based on TI Z-Stack","/!\ This cell is not defined /!\"
"Anaren","A2530E24C Data sheet","CC2530 Data sheet","32 MHz 8-bit 8051","8 kB","256 kB","U.FL connector","1 µA","106 mA","28 mA","13 dBm","-95 dBm","11 mm x 19 mm","July, 2012","UART, SPI","AIR-ZNP, based on TI Z-Stack","/!\ This cell is not defined /!\"
"Atmel","ZigBit 2.4 GHz  (ATZB-24-B0) datasheet","AT86RF230 datasheet","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 µA","18 mA","19 mA","-17 dBm to 3 dBm","-101 dBm","18.8 mm x 13.5 mm x 2.0 mm","2009","UART, USART, SPI, I²C, JTAG","BitCloud - ZigBee PRO, Wireless MCU Software, BitCloud stack, SerialNet, OpenMAC","/!\ This cell is not defined /!\"
"Atmel","ZigBit 2.4 GHz (ATZB-24-A2) datasheet","AT86RF230 datasheet","8-bit ATmega 1281v","8 kB","128 kB","balanced dual chip antenna","< 6 µA","18 mA","19 mA","-17 dBm to 3 dBm","-101 dBm","24 mm x 13.5 mm x 2.0 mm","2009","UART, USART, SPI, I²C, JTAG","BitCloud - ZigBee PRO, Wireless MCU Software, BitCloud stack, SerialNet, OpenMAC","/!\ This cell is not defined /!\"
"Atmel","ZigBit 2.4 GHz Amplified (ATZB-A24-U0) datasheet","AT86RF230 datasheet","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 µA","50 mA","23 mA","Up to 20 dBm","-104 dBm","38 mm x 13.5 mm x 2.0 mm","2009","UART, USART, SPI, I²C, JTAG","BitCloud - ZigBee PRO, Wireless MCU Software, BitCloud stack, SerialNet, OpenMAC","/!\ This cell is not defined /!\"
"Atmel","ZigBit 2.4 GHz Amplified (ATZB-A24-UFL) datasheet","AT86RF230 datasheet","8-bit ATmega 1281v","8 kB","128 kB","U.FL connector","< 6 µA","50 mA","23 mA","Up to 20 dBm","-104 dBm","38 mm x 13.5 mm x 2.0 mm","2009","UART, USART, SPI, I²C, JTAG","BitCloud - ZigBee PRO, Wireless MCU Software, BitCloud stack, SerialNet, OpenMAC","/!\ This cell is not defined /!\"
"Atmel","ZigBit 700/800/900 MHz (ATZB-900-B0) datasheet","AT86RF212 datasheet","8-bit ATmega 1281v","8 kB","128 kB","RF output","< 6 µA","26 mA","11 mA","Up to 11 dBm","-110 dBm","24 mm x 13.5 mm x 2.8 mm","2009","UART, USART, SPI, I²C, JTAG","BitCloud - ZigBee PRO, Wireless MCU Software, BitCloud stack, SerialNet, OpenMAC","/!\ This cell is not defined /!\"
"California Eastern Laboratories","ZICM357SP2 datasheet brochure","EM357 datasheet brochure","32 bit, ARM Cortex-M3","12 kB","192 kB","PCB Trace Antenna or RF Port for External Antenna","1 µA","58 mA","34 mA","20 dBm","-103 dBm","23.9 mm x 16.6 mm","Apr, 2012","UART, SPI, TWI","ZigBee PRO stack: EmberZNet PRO","/!\ This cell is not defined /!\"
"California Eastern Laboratories","ZICM357SP0 datasheet brochure","EM357 datasheet brochure","32 bit, ARM Cortex-M3","12 kB","192 kB","PCB Trace Antenna or RF Port for External Antenna","1 µA","31 mA","30 mA","8 dBm","-100 dBm","23.9 mm x 16.6 mm","Apr, 2012","UART, SPI, TWI","ZigBee PRO stack: EmberZNet PRO","/!\ This cell is not defined /!\"
"California Eastern Laboratories","ZICM3588SP0 data sheet","SiLabs EM3588 brochure","32 bit, ARM Cortex-M3","64 kB","512 kB","PCB Trace Antenna or U.FL connector","2.4 µA","44 mA","30 mA","8 dBm","-100 dBm","23.9 mm x 16.6 mm","Mar, 2014","UART, SPI, I²S","CEL ZigBee Stack Synapse SNAP Stack","/!\ This cell is not defined /!\"
"Digi International","Series 1 XBee manual","Freescale MC13193 datasheet","8-bit 689S08A HCS08","4 kB","60 kB","integrated Whip, chip or U.FL connector, RPSMA connector","10 µA, 50 µA","45 mA","50 mA","0 dBm","-92 dBm","24.38 mm x 27.61 mm","Dec, 2006","UART","ZigBee stack, DigiMesh network protocol","/!\ This cell is not defined /!\"
"Digi International","Series 1 XBee-PRO manual","Freescale MC13193 datasheet","8-bit 689S08A HCS08","4 kB","60 kB","integrated Whip, chip or U.FL connector, RPSMA connector","10 µA, 50 µA","250 mA, 340 mA, 180 mA","55 mA","18 dBm, 10 dBm","-100 dBm","24.38 mm x 32.94 mm","Dec, 2006","UART","ZigBee stack, DigiMesh network protocol","/!\ This cell is not defined /!\"
"Digi International","Series 2 XBee ZB manual","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","integrated Whip, chip or U.FL connector, RPSMA connector","1 µA","40 mA, 35 mA","40 mA, 38 mA","3 dBm, 1 dBm","-96 dBm, -95 dBm","24.38 mm x 27.61 mm","Apr, 2008","UART","Ember ZNet","/!\ This cell is not defined /!\"
"Digi International","Series 2 XBee-PRO ZB manual","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","integrated Whip, chip or U.FL connector, RPSMA connector","10 µA","295 mA, 170 mA","45 mA","17 dBm, 10 dBm","-102 dBm","24.38 mm x 32.94 mm","Apr, 2008","UART","Ember ZNet","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega128-22M00 2.4 GHz
 datasheet","ATmega128RFA1
 datasheet","8-bit ATmega","16 kB","128 kB","Chip ceramic antenna","< 1 µA","18 mA","18 mA","+3 dBm","-98 dBm","23.6 mm x 13.2 mm x 3.0 mm","2012","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega128-22M10 2.4 GHz
 datasheet","ATmega128RFA1
 datasheet","8-bit ATmega","16 kB","128 kB","RF pads","< 1 µA","18 mA","18 mA","+3 dBm","-98 dBm","19.0 mm x 13.2 mm x 3.0 mm","2012","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega128-22M12 2.4 GHz
 datasheet","ATmega128RFA1
 datasheet","8-bit ATmega","16 kB","128 kB","RF pads","< 1 µA","198 mA","22 mA","+22 dBm","-105 dBm","21.5 mm x 13.2 mm x 3.0 mm","2012","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega256-23M00 2.4 GHz
 datasheet","ATmega256RFR2
 datasheet","8-bit ATmega","32 kB","256 kB","Chip ceramic antenna","< 1 µA","19 mA","11 mA","+3.5 dBm","-98 dBm","23.6 mm x 13.2 mm x 3.0 mm","2013","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega256-23M10 2.4 GHz
 datasheet","ATmega256RFR2
 datasheet","8-bit ATmega","32 kB","256 kB","RF pads","< 1 µA","19 mA","11 mA","+3.5 dBm","-98 dBm","19.0 mm x 13.2 mm x 3.0 mm","2013","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFmega256-23M12 2.4 GHz
 datasheet","ATmega256RFR2
 datasheet","8-bit ATmega","32 kB","256 kB","RF pads","< 1 µA","233 mA","17 mA","23 dBm","-104 dBm","21.5 mm x 13.2 mm x 3.0 mm","2013","JTAG, UART, I²C, ADC, SPI, GPIO","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFsam3-23M10-2 2.4 GHz
 datasheet","ATSAM3S4A
 datasheet

 AT86RF232
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","RF pads","< 6 µA","45 mA","41 mA","+3 dBm","-100 dBm","21.5 mm x 13.2 mm x 3.0 mm","2013","JTAG, UART, I²C, ADC, SPI, GPIO, USB","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFsam3-13M10 868, 915 MHz
 datasheet","ATSAM3S4A
 datasheet

 AT86RF212
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","RF pads","< 6 µA","50 mA","37 mA","+5 or +10 dBm","-110 dBm","21.5 mm x 13.2 mm x 3.0 mm","2013","JTAG, UART, I²C, ADC, SPI, GPIO, USB","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFusb-23E00 2.4 GHz
deRFusb-23E06 2.4 GHz
 datasheet","ATSAM3S4B
 datasheet

AT86RF231
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+3 dBm","-97 dBm","71.0 mm x 23.0 mm x 8.7 mm","2012","USB, optional: JTAG, Debug","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFusb-23E00 JTAG 2.4 GHz
deRFusb-23E06 JTAG 2.4 GHz
 datasheet","ATSAM3S4B
 datasheet

AT86RF231
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+3 dBm","-97 dBm","63.5 mm x 19.0 mm x 9.5 mm","2012","USB, JTAG, Debug","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFusb-13E00 868, 915 MHz
deRFusb-13E06 868, 915 MHz
 datasheet","ATSAM3S4B
 datasheet

AT86RF212
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+9 dBm","-106 dBm","71.0 mm x 23.0 mm x 8.7 mm","2012","USB, optional: JTAG, Debug","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Dresden elektronik","deRFusb-13E00 JTAG 868, 915 MHz
deRFusb-13E06 JTAG 868, 915 MHz
 datasheet","ATSAM3S4B
 datasheet

AT86RF212
 datasheet","32-bit ARM Cortex-M3","48 kB","256 kB","Chip ceramic antenna","32 mA","51 mA","45 mA","+9 dBm","-106 dBm","63.5 mm x 19.0 mm x 9.5 mm","2012","USB, JTAG, Debug","MAC stack

 ZigBee (BitCloud)

 6LoWPAN

 Atmel","/!\ This cell is not defined /!\"
"Embit","EMB-WMB169PA, 169 MHz
 webpage datasheet brochure","MSP430F534x
 datasheet","16 bit MSP430","10 kB / 8 kB / 6 kB","128 kB / 96 kB / 64 kB","RF Pads, U.FL Connector","<2 µA","57 mA@ +15dBm","27 mA (full sens.)","up to 30 dBm","-122 dBm","29 mm x 22 mm","2012","UART, SPI, JTAG","Wireless M-Bus stack","/!\ This cell is not defined /!\"
"Embit","EMB-WMB868, 868 MHz
 webpage datasheet brochure","MSP430F534x
 datasheet","16 bit MSP430","10 kB / 8 kB / 6 kB","128 kB / 96 kB / 64 kB","RF Pads, U.FL Connector","<2 µA","57 mA@ +15dBm","27 mA (full sens.)","15 dBm","-122 dBm","29 mm x 22 mm","2012","UART, SPI, JTAG","Wireless M-Bus stack","/!\ This cell is not defined /!\"
"Embit","EMB-Z2530PA, 2.4 GHz
 webpage datasheet brochure","CC2530
 datasheet","8 bit 8051","8 kB","256 kB","PCB Antenna, U.FL Connector, Wire Antenna opt","<1.1 µA","135 mA@ +20dBm","28 mA","20 dBm","-100 dBm","29 mm x 22 mm","2011","UART, SPI, JTAG","TIMAC (IEEE 802.15.4), ZStack (ZigBee)","/!\ This cell is not defined /!\"
"Embit","EMB-ZRF212B, 868 MHz, 915 MHz
 webpage datasheet brochure","ATxmega128D3
 datasheet","8/16 bit AVR XMEGA","8 kB","128 kB","Ceramic Antenna, U.FL Connector, RF pads","1.3 µA","17 mA@ +5dBm","10 mA","10 dBm","-110 dBm","29 mm x 22 mm","2013","UART, SPI, JTAG","Atmel Lightweight Mesh, Atmel MAC (IEEE 802.15.4), Atmel BitCloud (ZigBee PRO)","/!\ This cell is not defined /!\"
"Embit","EMB-ZRF231PA, 2.4 GHz
 webpage datasheet brochure","ATxmega256A3U
 datasheet","8/16 bit AVR XMEGA","16 kB","256 kB","PCB Antenna, U.FL Connector, RF pads","<1.1 µA","132 mA@ +20dBm","24 mA","20 dBm","-105 dBm","29 mm x 22 mm","2011","UART, SPI, JTAG","Atmel Lightweight Mesh, Atmel MAC (IEEE 802.15.4), Atmel BitCloud (ZigBee PRO)","/!\ This cell is not defined /!\"
"NXP","JN5168-001-M00 Data sheet","JN5168 Data sheet","32 MHz 32-bit RISC","32 kB","256 kB","on board","0.15 µA","15 mA","17 mA","2.5 dBm","-95 dBm","16 mm x 30 mm","2013","UART, SPI","JenNet stack ZigBee stack","/!\ This cell is not defined /!\"
"NXP","JN5168-001-M03 Data sheet","JN5168 Data sheet","32 MHz 32-bit RISC","32 kB","256 kB","U.FL connector","0.15 µA","15 mA","17 mA","2.5 dBm","-95 dBm","16 mm x 30 mm","2013","UART, SPI","JenNet stack ZigBee stack","/!\ This cell is not defined /!\"
"NXP","JN5168-001-M05 Data sheet","JN5168 Data sheet","32 MHz 32-bit RISC","32 kB","256 kB","U.FL connector","0.15 µA","35 mA","22 mA","9.5 dBm","-96 dBm","16 mm x30 mm","2013","UART, SPI","JenNet stack ZigBee stack","/!\ This cell is not defined /!\"
"NXP","JN5168-001-M06 Data sheet","JN5168 Data sheet","32 MHz 32-bit RISC","32 kB","256 kB","U.FL connector","0.15 µA","175 mA","22 mA","22 dBm","-100 dBm","16 mm x30 mm","2013","UART, SPI","JenNet stack ZigBee stack","/!\ This cell is not defined /!\"
"Nivis, LLC.","VersaNode 210 datasheet","MC13224V datasheet","32-bit ARM7","96 kB","128 kB","MMCX Connector","15 µA","60 mA","21 mA","10 dBm","-98 dBm","20 mm x 25 mm","2009","UART, SPI","Nivis ISA100.11a","/!\ This cell is not defined /!\"
"Nivis, LLC.","VersaNode 220 datasheet","MC13224V datasheet","32-bit ARM7","96 kB","128 kB","MMCX Connector","15 µA","60 mA","21 mA","10 dBm","-98 dBm","20 mm x 25 mm","2010","UART, SPI","Nivis WirelessHART","/!\ This cell is not defined /!\"
"Panasonic","PAN4555 datasheet","MC1321x datasheet","8-bit MC9S08GT HC08","4 kB","60 kB","RF out or ceramic antenna","0.25 µA, 1.9 µA, 36 µA, 1.6 mA","36.5 mA","37 mA","-4 dBm, 0 dBm","-92 dBm","12.2 mm x 16.4 mm x 2.2 mm","2008","UART, SPI","Freescale Beestack","/!\ This cell is not defined /!\"
"Panasonic","PAN4561 brochure","MC13213 datasheet","8-bit MC9S08GT HC08","4 kB","60 kB","SMD RF out, ceramic antenna or U.FL","1.6 mA, 50 µA, 16 µA, 2 µA","202 mA","45 mA","20 dBm","-105 dBm","35 mm x 15 mm","Jan, 2009","UART, I²C","Freescale Beestack","/!\ This cell is not defined /!\"
"Panasonic","PAN4570 datasheet","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","SMD RF out, ceramic antenna or U.FL","1 µA, 1.5 µA","35.5 mA, 41.5 mA, 28 mA","35.5 mA, 37.5 mA","3 dBm, 5 dBm, -32 dBm","-97 dBm","26.5 mm x 20 mm x 2.8 mm","2006","UART, SPI, I²C","Ember ZNet Stack","/!\ This cell is not defined /!\"
