"     – Indigenous manned missions","   ","     – Manned missions","","     – Lunar or Interplanetary missions","","     – Other missions"
"Date","Nation","Name","The firsts in Asia","World achievements","/!\ This cell is not defined /!\"
"4 October 1957","USSR
(now under Kazakhstan)","Baikonur Cosmodrome","Satellite launch pad","The first satellite, Sputnik 1, was launched.","/!\ This cell is not defined /!\"
"11 February 1970","Japan","Osumi","Satellite","The smallest satellite launch vehicle (L-4S; 9.4t weight, 1.4m diameter)","/!\ This cell is not defined /!\"
"24 February 1975","Japan","Taiyo","Solar probe","","/!\ This cell is not defined /!\"
"26 October 1975","China","FSW-0","Satellite recovery","","/!\ This cell is not defined /!\"
"26 October 1975","China","FSW-0: 
 – 10m (1975)
 FSW-1B: 
 – 4m (1992)
Beidou: 
 – 0.5m (till 2007)","High resolution imaging satellite","","/!\ This cell is not defined /!\"
"8 July 1976","Indonesia","Palapa A1","Geosynchronous satellite (launched by NASA)","","/!\ This cell is not defined /!\"
"23 February 1977","Japan","N-I","Geosynchronous launch","","/!\ This cell is not defined /!\"
"21 February 1979","Japan","Hakucho","Space observatory","","/!\ This cell is not defined /!\"
"23 July 1980","Vietnam","Phạm Tuân","Asian in space (Soyuz 37)","","/!\ This cell is not defined /!\"
"20 September 1981","China","FB-1","Simultaneous satellite launch","","/!\ This cell is not defined /!\"
"8 January 1985","Japan","Sakigake","Leaving Earth orbit","The first interplanetary launch by solid rocket (M-3SII)","/!\ This cell is not defined /!\"
"19 March 1990","Japan","Hagoromo","Reach lunar orbit (assumed)","","/!\ This cell is not defined /!\"
"7 April 1990","China","CZ-3","Commercial launch (AsiaSat 1)","","/!\ This cell is not defined /!\"
"10 April 1993","Japan","Hiten","Intentional lunar impact","The first aerobraking test","/!\ This cell is not defined /!\"
"8 July 1994","Japan","Chiaki Mukai","Asian woman in space (STS-65)","","/!\ This cell is not defined /!\"
"19 November 1997","Japan","Takao Doi","Spacework (STS-87)","","/!\ This cell is not defined /!\"
"28 November 1997","Japan","ETS-VII","Rendezvous docking","","/!\ This cell is not defined /!\"
"3 July 1998","Japan","Nozomi","Martian mission (Failure)","","/!\ This cell is not defined /!\"
"30 October 2000","China","Beidou","Satellite navigation system","","/!\ This cell is not defined /!\"
"10 September 2002","Japan","Kodama","Data relay satellite (with ESA)","","/!\ This cell is not defined /!\"
"15 Ocobert 2003","China","Yang Liwei","Asian indigenously in space","","/!\ This cell is not defined /!\"
"15 October 2003","China","Shenzhou 5","Manned spacecraft","","/!\ This cell is not defined /!\"
"19 November 2005","Japan","Hayabusa","Soft-landed probe on extraterrestrial object","The first asteroid ascent","/!\ This cell is not defined /!\"
"11 January 2007","China","FY-1C","ASAT test","Highest in history with altitude 865 km, also the fastest with speed 18k miles","/!\ This cell is not defined /!\"
"23 February 2008","Japan","WINDS","Internet satellite","The fastest internet satellite","/!\ This cell is not defined /!\"
"11 March 2008","Japan","Japanese Experiment Module","Manned foundations in space (STS-123, STS-124, STS-127)","The world’s largest pressurized volume in space","/!\ This cell is not defined /!\"
"25 April 2008","China","Tianlian I","Indigenous Tracking & Data Relay Satellite System 
First TDRS system to support manned missions","","/!\ This cell is not defined /!\"
"27 September 2008","China","Zhai Zhigang (Shenzhou 7)","Indigenous EVA","","/!\ This cell is not defined /!\"
"27 September 2008","China","BanXing","Manned spacecraft-launched satellite","","/!\ This cell is not defined /!\"
"14 November 2008","India","Moon Impact Probe","Probe designed for Lunar impact","Discovered water on the Moon before impact.","/!\ This cell is not defined /!\"
"23 January 2009","Japan","GOSAT","Greenhouse gas explorer","","/!\ This cell is not defined /!\"
"20 May 2010","Japan","Akatsuki","Venus mission (Failure)","","/!\ This cell is not defined /!\"
"21 May 2010","Japan","IKAROS","Solar sail","The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space","/!\ This cell is not defined /!\"
"25 August 2011","China","Chang'e 2","Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).","The first probe to reach Sun-Earth Lagrangian point from the lunar orbit and from there directly to an asteroid. Closest flyby of an asteroid at a distance of only 3.2 km.","/!\ This cell is not defined /!\"
"29 September 2011","China","Tiangong-1","Space station","","/!\ This cell is not defined /!\"
"18 June 2012","China","Shenzhou 9","First manned space docking (with Tiangong-1)","","/!\ This cell is not defined /!\"
"14 December 2013","China","Chang'e 3/Yutu","First lunar soft landing and lunar rover.","","/!\ This cell is not defined /!\"
"24 September 2014","India","Mars Orbiter Mission","First successful Mars mission by an Asian country","First Martian mission by an individual country to succeed on the first attempt",""
"18 December 2014","India","GSLV III","Large solid boosters (LSBs) flown on an experimental flight give combined thrust of 5,150 kN","Largest rocket boosters in Asia","/!\ This cell is not defined /!\"
"First success","LEO","GTO / GEO","Notes","/!\ This cell is not defined /!\"
