"English","Malaysian","Indonesian"
"abroad","luar negara","luar negeri"
"account (bank, bills)","akaun","rekening from Dutch rekening, akun"
"accountant","akauntan","akuntan"
"after","selepas, setelah","sesudah, setelah (also used in Malaysian to indicate consecutive actions)"
"afternoon","petang","sore, petang less frequent"
"agent","ejen, agen","agen"
"air force","tentera udara","tentara angkatan udara"
"airport","lapangan terbang ('airfield' in Indonesian)","bandar udara (bandara), Airport"
"Algeria","Algeria","Aljazair from Arabic al-Jazā'ir"
"alliance","perikatan, persekutuan, pakatan","aliansi influenced by Dutch alliantie, persekutuan"
"apartment","pangsapuri, rumah pangsa, rumah kondo (only for 'condominium')","apartemen influenced by Dutch appartement, rumah susun (rusun), kondominium"
"archive","arkib","arsip from Dutch archief"
"armed forces","tentera","tentara, angkatan bersenjata"
"army","tentera darat","tentara angkatan darat"
"assembly","majlis, perhimpunan (from the root verb 'himpun' meaning 'to gather/assemble')","majelis"
"assets","aset","harta, aset, aktiva from Dutch activa"
"association","persatuan","asosiasi from Dutch associatie, perhimpunan, perkumpulan"
"Athens","Athens","Athena influenced by Dutch Athene or from native Greek Athina"
"auction","lelong","lelang"
"August","Ogos","Agustus from Dutch Augustus"
"auntie","makcik (also used in bahasa Melayu Riau in Indonesia), emak saudara, ibu saudara","bibi,  tante from Dutch"
"autobiography","autobiografi","autobiografi - otobiografi is a substandard spelling"
"automatic","automatik (formerly otomatik)","otomatis derived from Dutch pronunciation of automatisch"
"autonomy","autonomi","otonomi"
"awkward","janggal; kekok (of gesture)","aneh, janggal; canggung, kikuk (of gesture)"
"backpack","beg sandang literally ""sling bag""","ransel from Dutch"
"bag","beg","tas from Dutch"
"basin (wash basin/sink)","besen","wastafel from Dutch"
"because","kerana, sebab","karena, sebab"
"bed","katil","matras influenced by Dutch matras, tempat tidur, ranjang, kasur"
"Belgium","Belgium","Belgia influenced by Dutch België"
"Belgrade","Belgrade","Beograd"
"belt(of a seat)","tali keledar","sabuk"
"bicycle","basikal","sepeda influenced by French velocipede"
"billboard","papan iklan","papan iklan, papan reklame from Dutch reclame (advertisement)"
"billion","bilion","miliar from Dutch miljard"
"bishop","biskop, bisyop","uskup"
"bonnet, hood (of a car)","bonet, bumbung, hud","kap from Dutch"
"boot, trunk (of a car)","but","bagasi"
"Britain","Britain","Britania influenced by Dutch Brittannië"
"Brussels","Brussels","Brussel influenced by Dutch"
"Bucharest","Bucharest","Bukarest"
"bucket; pail","baldi","ember from Dutch emmer"
"bus","bas","bus, bis  substandard"
"bus station","stesen bas","terminal bis"
"bus stop","perhentian bas","pemberhentian bus, halte bus substandard, from Dutch bushalte"
