"Model","Image processor","Sensor format","Sensor type","Sensor manufacturer","Megapixel","Focus points","Metering pixels","Viewfinder coverage","Viewfinder magnification","ISO min","ISO max","LCD monitor","Storage media","Live view","Movie mode","Top continuous shooting speed (frames/sec)","Weight (g)","Dimensions (mm)","Announcement"
"D3X","EXPEED","Full-frame","CMOS","Sony","24.5","51","1005","100%","0.7x","100","1600","3.0"" 921k dots","CF, MicroDrive (x2)","Yes","No","5","1220","160 × 157 × 88","2008 4Q"
"D2Xs","-","APS-C","CMOS","Sony","12.4","11","1005","100%","0.86x","100","800","2.5"" 230k dots","CF, MicroDrive","No","No","5","1070","158 × 150 × 86","2006 2Q"
"D2X","-","APS-C","CMOS","Sony","12.4","11","1005","100%","0.86x","100","800","2.5"" 235k dots","CF, MicroDrive","No","No","5","1070","158 × 150 × 86","2004 3Q"
"D1X","-","APS-C","CCD","Sony","5.3","5","1005","96%","0.8x","125","800","2.0"" 130k dots","CF, MicroDrive","No","No","9","1100","157 × 153 × 85","2001 1Q"
"D1","-","APS-C","CCD","Sony","2.66","5","1005","96%","0.8x","100","800","2.0"" 114k dots","CF","No","No","4.5","1100","157 × 153 × 86","1999 2Q"
"D4S","EXPEED 4","Full-frame","CMOS","Nikon","16.2","51","91000","100%","0.7x","100","12800","3.2"" 921k dots","CF, XQD","Yes","Yes","10","1180","160 × 157 × 91","2014 1Q"
"D4","EXPEED 3","Full-frame","CMOS","Nikon","16.2","51","91000","100%","0.7x","100","12800","3.2"" 921k dots","CF, XQD","Yes","Yes","10","1180","160 × 157 × 91","2012 1Q"
"D3S","EXPEED","Full-frame","CMOS","Nikon","12.1","51","1005","100%","0.7x","200","12800","3.0"" 921k dots","CF (x2)","Yes","Yes","9","1240","160 × 157 × 88","2009 4Q"
"D3","EXPEED","Full-frame","CMOS","Nikon","12.1","51","1005","100%","0.7x","200","6400","3.0"" 921k dots","CF, MicroDrive (x2)","Yes","No","9","1240","160 × 157 × 88","2007 3Q"
"D2Hs","-","APS-C","JFET-LBCAST","Nikon","4.1","11","1005","100%","0.86x","200","1600","2.5"" 232k dots","CF, MicroDrive","No","No","8","1070","158 × 150 × 86","2005 1Q"
