"Encryption","Developer","First released","Licensing","Maintained?"
"Aloaha Secure Stick","Aloaha","2008","Proprietary","No"
"ArchiCrypt Live","Softwaredevelopment Remus ArchiCrypt","1998","Proprietary","Yes"
"BestCrypt","Jetico","1993","Proprietary","Yes"
"BitArmor DataControl","BitArmor Systems Inc.","2008-05","Proprietary","Yes"
"BitLocker","Microsoft","2006","Proprietary","Yes"
"Bloombase Keyparc","Bloombase","2007","Proprietary","No"
"CGD","Roland C. Dowdeswell","2002-10-04","BSD","Yes"
"CenterTools DriveLock","CenterTools","2008","Proprietary","Yes"
"Check Point Full Disk Encryption","Check Point Software Technologies Ltd","1999","Proprietary","Yes"
"CipherShed","CipherShed Project","2014","TrueCrypt License Version 3.0","Yes"
"CrossCrypt","Steven Scherrer","2004-02-10","GPL","No"
"Cryptainer","Cypherix Software","1999","Proprietary","Yes"
"CryptArchiver","WinEncrypt","?","Proprietary","Yes"
"cryptoloop","?","2003-07-02","GPL","No"
"Discryptor","Cosect Ltd.","2008","Proprietary","No"
"DiskCryptor","ntldr","2007","GPL","Yes"
"DISK Protect","Becrypt Ltd","2001","Proprietary","Yes"
"cryptsetup/dmsetup","Christophe Saout","2004-03-11","GPL","Yes"
"dm-crypt/LUKS","Clemens Fruhwirth (LUKS)","2005-02-05","GPL","Yes"
"DriveCrypt","SecurStar GmbH","2001","Proprietary","Yes"
"DriveSentry GoAnywhere 2","DriveSentry","2008","Proprietary","No"
"E4M","Paul Le Roux","1998-12-18","Open source","No"
"e-Capsule Private Safe","EISST Ltd.","2005","Proprietary","Yes"
"eCryptfs","Dustin Kirkland, Tyler Hicks, (formerly Mike Halcrow)","2005","GPL","Yes"
"EncFS","Valient Gough","2003","LGPLv3","Yes"
"EncryptStick","ENC Security Systems","2009","Proprietary","Yes"
"FileVault","Apple Inc.","2003-10-24","Proprietary","Yes"
"FileVault 2","Apple Inc.","2011-07-20","Proprietary","Yes"
"FinallySecure Enterprise (SECUDE)","SECUDE","2006","Proprietary","Yes"
"FREE CompuSec","CE-Infosys","2002","Proprietary","Yes"
"FreeOTFE","Sarah Dean","2004-10-10","Open source","No"
"GBDE","Poul-Henning Kamp","2002-10-19","BSD","Yes"
"GELI","Pawel Jakub Dawidek","2005-04-11","BSD","Yes"
"KryptOS","The MorphOS Development Team","2010","Proprietary","Yes"
"loop-AES","Jari Ruusu","2001-04-11","GPL","Yes"
"McAfee Endpoint Encryption (SafeBoot)","McAfee, Inc.","2007","Proprietary","Yes"
"n-Crypt Pro","n-Trance Security Ltd","2005","Proprietary","Yes"
"PGPDisk","PGP Corporation (acquired by Symantec in 2010)","1998-09-01","Proprietary","Yes"
"Private Disk","Dekart","1993","Proprietary","Yes"
"ProxyCrypt","v77","2013","Open source","Yes"
"R-Crypto","R-Tools Technology Inc","2008","Proprietary","Yes"
"SafeGuard Easy","Sophos (Utimaco)","1993","Proprietary","Yes"
"SafeGuard Enterprise","Sophos (Utimaco)","2007","Proprietary","Yes"
"SafeGuard PrivateDisk","Sophos (Utimaco)","2000","Proprietary","Yes"
"SafeHouse Professional","PC Dynamics, Inc.","1992","Proprietary","Yes"
"Scramdisk","Shaun Hollingworth","1997-07-01","Open source","No"
"Scramdisk 4 Linux","Hans-Ulrich Juettner","2005-08-06","GPL","No"
"SecuBox","Aiko Solutions","2007-02-19","Proprietary","Yes"
"SECUDE Secure Notebook","SECUDE","2003","Proprietary","Yes"
"SecureDoc","WinMagic Inc.","1997","Proprietary","Yes"
"Sentry 2020","SoftWinter","1998","Proprietary","Yes"
"softraid / RAID C","OpenBSD","2007-11-01","BSD","Yes"
"SpyProof!","Information Security Corp.","2002","Proprietary","Yes"
"svnd / vnconfig","OpenBSD","2000-12-01","BSD","Yes"
"Symantec Endpoint Encryption","Symantec Corporation","2008","Proprietary","Yes"
"tcplay","Alex Hornung","2012-01-28","BSD","Yes"
"Trend Micro Endpoint Encryption (Mobile Armor)","Trend Micro","2004","Proprietary","Yes"
"TrueCrypt","TrueCrypt Foundation","2004-02-02","TrueCrypt License 3.1","No"
"USBCrypt","WinAbility Software Corp.","2010","Proprietary","Yes"
"Name","Developer","First released","Licensing","Maintained?"
"Name","Windows NT-based","Pre-Windows NT","Windows Mobile/Pocket PC","FreeBSD","Linux","Mac OS X","NetBSD","OpenBSD","DragonFly BSD","Android"
"Aloaha Secure Stick","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"BestCrypt Volume Encryption","Yes","Yes","No","No","No","Yes","No","No","No","/!\ This cell is not defined /!\"
"BitArmor DataControl","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"BitLocker Drive Encryption","Yes","No","No","No","Partial","Partial","No","No","No","No"
"Bloombase Keyparc","Yes","Yes","No","No","Yes","Yes","No","No","No","/!\ This cell is not defined /!\"
"CenterTools DriveLock","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"CGD","No","No","No","No","No","No","Yes","No","No","/!\ This cell is not defined /!\"
"Check Point Full Disk Encryption","Yes","No","Yes","No","Yes","Yes","No","No","No","/!\ This cell is not defined /!\"
"CipherShed","Yes","No","No","No","Yes","Yes","No","No","No","Yes"
"CrossCrypt","No","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"Cryptainer","Yes","No","Yes","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"CryptArchiver","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"cryptoloop","Yes","No","No","No","Yes","No","No","No","No","/!\ This cell is not defined /!\"
"cryptsetup/ dmsetup","Yes","No","No","No","Yes","No","No","No","Yes","/!\ This cell is not defined /!\"
"Discryptor","No","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"DiskCryptor","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"DISK Protect","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"dm-crypt/LUKS","Yes","No","Yes","No","Yes","No","No","No","Yes","/!\ This cell is not defined /!\"
"DriveCrypt","Yes","Yes","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"DriveSentry GoAnywhere 2","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"E4M","Yes","Yes","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"e-Capsule Private Safe","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"eCryptfs","No","No","No","No","Yes","No","No","No","No","/!\ This cell is not defined /!\"
"FileVault","No","No","No","No","No","Yes","No","No","No","/!\ This cell is not defined /!\"
"FileVault 2","No","No","No","No","Partial","Yes","No","No","No","/!\ This cell is not defined /!\"
"FinallySecure Enterprise (SECUDE)","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"FREE CompuSec","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"FreeOTFE","Yes","No","Yes","No","Partial","No","No","No","No","No"
"GBDE","No","No","No","Yes","No","No","No","No","No","/!\ This cell is not defined /!\"
"GELI","No","No","No","Yes","No","No","No","No","No","/!\ This cell is not defined /!\"
"loop-AES","No","No","No","No","Yes","No","No","No","No","/!\ This cell is not defined /!\"
"McAfee Endpoint Encryption (SafeBoot)","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","/!\ This cell is not defined /!\"
"n-Crypt Pro","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"PGPDisk","Yes","No","No","No","No","Yes","No","No","No","/!\ This cell is not defined /!\"
"PGP Whole Disk Encryption","Yes","No","Yes","No","Yes","Yes","No","No","No","/!\ This cell is not defined /!\"
"Private Disk","Yes","Yes","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"ProxyCrypt","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"R-Crypto","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"SafeGuard Easy","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"SafeGuard Enterprise","Yes","No","No","No","No","Yes","No","No","No","/!\ This cell is not defined /!\"
"SafeGuard PrivateDisk","Yes","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"SafeHouse Professional","Yes","Yes","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"Scramdisk","Yes","Yes","No","No","Yes","No","No","No","No","/!\ This cell is not defined /!\"
"Scramdisk 4 Linux","No","No","No","No","Yes","No","No","No","No","/!\ This cell is not defined /!\"
"SecuBox","No","No","Yes","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"SecureDoc","Yes","No","No","No","Yes","Yes","No","No","No","/!\ This cell is not defined /!\"
