"Name","Protocol","Programming language","Windows","Mac OS X","Linux","Other OS","License","Version","Portable","Detect conflict","Renames/moves (talk)","Prior file versions, revision control","Scheduling or Service","Sync to Cloud","Other information"
"CloudStore","file system, REST (https)","Java","Yes","Yes","Yes","Yes","LGPL","0.9.2","Yes","Yes","Yes","","Yes","","Focus on security"
"Conduit","network/web app","Python","No","No","Yes","No","GPL","0.3.16","No","","","","Yes","","Synchronizes files, website, network apps"
"Create Synchronicity","file system","Visual Basic .NET","Yes","No","Yes (using Mono)","No","GPL","2011-05-03 = 5.2.1","Yes","Yes","No","","Yes (native, via OS)","",""
"DirSync Pro","file system","Java","Yes","Yes","Yes","Yes cross-platform","GPLv3","2014-07-01 = 1.49","Yes","Yes","No","Yes (creates backup files)","Yes (native + via OS)","","sym-links, filter, metadata, contents, auto-sync"
"Dsynchronize","","","Yes","","","","","2.30.2","Yes","","Yes","","Yes","","Real-Time sync supported"
"FreeFileSync","file system","C++","Yes","Yes","Yes","Yes","GPL + OpenCandy","2014-12-01 = 6.12","Yes (installer option)","Yes","Yes","Yes (versioning + recycler)","Yes","","Bundled with OpenCandy."
"iFolder","file system","C#, Mono","Yes (client software only)","Yes (client software only)","Yes","No","GPL","2010-7-19 = 3.8.0.3","No","Yes (centralized database)","Yes (files, not folders)","","","",""
"luckyBackup","file system","C++","Yes","Yes","Yes","Yes","GPLv3","2014-03-16 = 0.4.8","Yes","","","","Yes","","Uses rsync backend"
"OneSync","file system","C#","Yes","No","No","No","GPL","2010-10-21 = 3.0","No","Yes","Yes","","No","",""
"ownCloud","cloud","PHP, Javascript","Yes","No","Yes","Yes Unixoid","AGPLv3","7.0.4","Yes","Yes","Yes","Yes","Yes","Yes","iOS,Android, Win, Linux Client"
"PowerFolder","peer-to-peer","Java","Yes","Yes","Yes","Yes cross-platform","GPL (core)","2014-11-13 = 10.0.30","Yes","Yes","Yes","Yes","Yes","Yes","iOS, Android, Peer-to-Peer"
"Syncthing","network (peer-to-peer)","Go","Yes","Yes","Yes","Android, iOS, BSD, Solaris","GPL v3","2014-11-24 = 0.10.8","","","","","","","Distributed peer-to-peer sync"
"rsync","file system or network","C in a Unix-Linux shell","Yes","Yes","Yes","Yes","GPL v3","2011-09-23 = 3.09","Yes","No","No","No","via OS","","client & server operation.  Multiple comparison criteria (date, check-sum)."
"Seafile","cloud","C, Python","Yes","Yes","Yes","Yes","GPLv3 (community edition)","3.1.6","No","Yes","Yes","Yes","No","Yes","Android and iOS mobile clients"
"SparkleShare","file system","C#","Yes","Yes","Yes","Android, iOS","Clients: GPL v3, Library: LGPL","0.8.4","Yes","Yes","No","Yes","","","Uses Git"
"SymmetricDS","http/https","Java","Yes","Yes","Yes","Yes","GPL","3.5","Yes","Yes","Yes","No","Yes","","plug-in APIs for customization"
"Synkron","file system","C++","Yes","Yes","Yes","No","GPL v2","2011-01-25 = 1.6.2","Yes","Yes","No","Yes","Yes","","no longer in active development"
"Synchronizer (krusader)","file system","","No","No","Yes","No","GPL v2","2012-10-21 = 2.4.0-beta3","No","Yes","No","No","No","","Synchronizer no longer in active development"
"Toucan","","","Yes","","","","","3.1.0","Yes","","No","","","",""
"LocalBox","","","Yes","No","Yes","Android, iOS","EUPL","1.1.3","","","","","","Yes","Files can be shared but cannot be read by a server admin, because data is de/en-crypted on the client"
"Unison","similar to rsync, transfers over network socket, rsh, encrypted ssh, or file systems","OCaml","Yes","Yes","Yes","Yes","GPL","2011-05-11 = 2.40.63","Yes","Yes (centralized database)","Yes (remote xferbycopying)","Yes (backups)","via OS or helper (sucsynct, fswatcher.py)","","best network efficiency, mature and stable; development reached active maintenance"
"Name","Protocol","Programming language","Windows","Mac OS X","Linux","Other OS","License","Version","Portable","Detect conflict","Renames/moves","Undo","Scheduling or Service","Sync to Cloud","Other information"
"Name","OS","Vendor","Online cloud storage","Remote desktop","Prior file versions, revision control","Comments","Portable","Detect rename","Detect move","Scheduling","Full duplex transfer"
"Microsoft ActiveSync","Windows","Microsoft","No","No","?","Syncs mobile devices","","","","",""
"FTP LiveSync","Windows","CodeStunts","No","No","?","Focused to sync code and text files between pc and webserver","Yes","Yes","Yes","No",""
"BitTorrent Sync","Windows / Mac OS X / Linux / FreeBSD / Android / iOS","BitTorrent, Inc","No","No","Yes (previous versions moved to archive folder)","Distributed peer-to-peer sync","No","Yes","Yes","No","Yes"
"Briefcase in Microsoft Windows","Windows","Microsoft","No","No","?","","","","","",""
"Cobian Backup","Windows","CobianSoft","No","No","Yes, trash folder","Backup software with folder synchronization feature; remote management; Shadow Copy","No","No","No","Yes",""
"Windows Mobile Device Center","Windows","Microsoft","No","No","?","Syncs mobile devices; successor to Microsoft ActiveSync","","","","",""
"Gbridge","Windows","Gbridge LLC","No","Yes, via VNC or RDP","","Sync folders, live web browsing, etc.","","No","No","Yes",""
"Microsoft Sync Framework","Windows","Microsoft","?","No","?","Syncs files, data, services; a framework, not a tool","","Yes","Yes","-",""
"Microsoft SyncToy","Windows","Microsoft","No","No","No, recycle bin only","Sync local folders","No","Yes","Yes","via OS","No"
"Echosync","Windows","Lumisoft","No","No","No","Sync local and network folders","Yes","Yes","Yes","Yes, via OS (tasks scheduler)","No"
"Magic Mirror Sync","Windows","SOB Soft","No","No","Yes, via VNC or RDP","Sync local and network folders","Yes","Yes","Yes","No, Monitoring synchronizing folder continuously (once a minute)","Yes"
"Windows Live Mesh (discontinued 13 February 2013)","Windows (Vista and greater), Windows Mobile, OSX","Microsoft","Yes","Yes","No, recycle bin only","Sync folders, cloud storage","No","Yes","?","No, syncs whenever it's online","Yes"
"OmniGroup OmniPresence","OSX, OmniGroup software for iOS, open source framework available","OmniGroup","No","No","No, via local Time Machine backup only","Sync local folders via OmniSync or WebDAV server but not to the server itself","No","?","?","No, syncs whenever it's online and not paused","Yes"
"Windows Live Sync (discontinued 31 March 2011)","Windows, OSX","Microsoft","No, browsing only","No","No, recycle bin only","Sync folders, browse devices from website, remote access; was Microsoft FolderShare, 20,000 file limit","No","Yes","Yes","No, syncs whenever it's online","?"
"Name","Windows","Mac","Linux","Other OS","Open source","Online backup service","Freeware version","Portable","Encrypts files","Detect conflict","File lock","Open file support","Revision control","Detect rename","Detect move","Full duplex transfer","Propagate deletes","Case sensitive","Delta copying (block level transfer)","LAN Sync","Sync any directory","On-premise orchestration","/!\ This cell is not defined /!\"
"@MAX SyncUp","Yes","No","No","No","No","via other providers","Yes, with limits","No","","Yes","Yes","Yes","","No","No","","Yes","","Yes","Yes","","","/!\ This cell is not defined /!\"
"AeroFS","Yes","Yes","Yes","Yes, iPhone, Android","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","","/!\ This cell is not defined /!\"
"Allway Sync","Yes","No","No","No","No","via other providers","Yes, with limits","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","Yes","","","Yes","Yes","","/!\ This cell is not defined /!\"
"AIMstor","Yes","No","No","No","No","No","Yes, with limits","Yes","","Yes","Yes","Yes","Yes through VSS","Yes","Yes","Yes","Yes","","No case preserving","","","","/!\ This cell is not defined /!\"
"Argentum Backup","Yes","No","No","No","No","No","No","Yes","","","","No","Yes","","","","","Yes","","","","","/!\ This cell is not defined /!\"
"BackupAssist","Yes","No","No","No","No","via Rsync","No","","","No","","Yes","","","","","","","","","","","/!\ This cell is not defined /!\"
"Backup4all","Yes","No","No","No","No","","Yes","Yes","","No","","Yes","Yes","","","","Yes","","","","","","/!\ This cell is not defined /!\"
"BatchSync","Yes","No","No","No","No","Yes, with limits","No","No","","Yes","No","No","","","Yes","Yes","Yes","","","","Yes","","/!\ This cell is not defined /!\"
"BestSync","Yes","No","No","No","No","No","Yes, with limits","Yes","","Yes","No","Yes","Yes through backup option","Yes","Yes","Yes","Yes","","No","Yes","Yes","","/!\ This cell is not defined /!\"
"Biscom Verosync","Yes","Yes","No","Yes, iPhone, Android","No","No","No","No","","Yes","No","No","Yes","Yes","Yes","Yes","Yes","","No","Yes","Yes","","/!\ This cell is not defined /!\"
"Box Sync","Yes","Yes","No","Yes, Android, iOS","No","Yes","Yes, with limits","","","Yes","?","?","Yes","?","?","?","Yes","?","","No","","","/!\ This cell is not defined /!\"
"CloudMe","Yes","Yes","Yes","Yes, iPhone, Android, Google TV, Samsung TV","No","Yes","Yes","No","","Yes","?","?","No","Yes","No","?","?","Yes","?","No","Yes","","/!\ This cell is not defined /!\"
"Cubby - Free","Yes","Yes","No native client, can access via WebDav","No","No","Yes","No","No","","Yes Renames older and keeps both","No","","Yes","Yes","Yes","?","Yes","","No","No","Yes","","/!\ This cell is not defined /!\"
"Cubby - Pro","Yes","Yes","No native client, can access via WebDav","No","No","Yes","No","No","","Yes Renames older and keeps both","No","","Yes","Yes","Yes","?","Yes","","Only when using LAN Sync","Yes","Yes","","/!\ This cell is not defined /!\"
"Distributed Storage","Yes","No","Yes","No","No","via other providers","No","","","Yes","Yes","Yes","","","","","","","","","","","/!\ This cell is not defined /!\"
"Dmailer Sync (discontinued)","Yes","No","No","No","No","Yes","Yes","","","","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"Dropbox","Yes","Yes","Yes","Yes, Android, iPhone, BlackBerry","No","Yes","Yes","No","","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","","/!\ This cell is not defined /!\"
"Easy2Sync for Files","Yes","No","No","No","No","","Yes","","","Yes","","","Yes","Yes, for folders","","","","","","","","","/!\ This cell is not defined /!\"
"EDpCloud EnduraData","Yes","Yes","Yes","Yes, Solaris, Linux, UNIX","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes, case preserving, meta data preserving","Yes","Yes","Yes","","/!\ This cell is not defined /!\"
"Egnyte","Yes","Yes","Yes","Yes, Android, iPad, iPhone","No","Yes","No","No","","No, handled by versioning","Yes","No","Yes","Yes","Yes","Yes","Yes","No, case preserving","Yes","Yes","","","/!\ This cell is not defined /!\"
"FileRock","Yes","Yes","Yes","No","Yes","Yes","No","Yes","","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","","/!\ This cell is not defined /!\"
"Gladinet","Yes","Yes","Yes, with browser client","Yes, Android, iPad, iPhone, Windows RT, Blackberry","No","Yes, with limits","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","/!\ This cell is not defined /!\"
"GoodSync","Yes","Yes","Yes","Yes, Android, iPad, iPhone, USB flash drive","No","Yes, with limits","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","/!\ This cell is not defined /!\"
"Handy Backup","Yes","No","Yes","Yes","No","Yes","Yes","","","No","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"HORNETDRIVE","Yes","Yes","Yes","Yes, Android, iOS","No","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","No","No","Yes","","/!\ This cell is not defined /!\"
"IBM Connections","Yes","Yes","No","Yes, Android, iOS","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes",""
"Inbox Storage","Yes","No","No","Yes, Android, iPhone, Windows Phone","No","Yes","Yes","No","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","","No","No","","/!\ This cell is not defined /!\"
"MediaFire","Yes","Yes","Native uploader Only, SDK available","Yes, Android, iOS","No","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","","/!\ This cell is not defined /!\"
"Mega","Yes","Yes","Yes","Yes, Android, iPhone, BlackBerry","No","Yes","Yes","","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","/!\ This cell is not defined /!\"
"ownCloud","Yes","Yes","Yes","Yes","Yes","Yes, but not supported","Yes, with limits","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","/!\ This cell is not defined /!\"
"PowerFolder","file system / network / cloud","Java","Yes","Yes","Yes","Yes","GPL (Free Version)","2014-01-01 = 9.1.54","","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","","","/!\ This cell is not defined /!\"
"RepliWeb","Yes","No","Yes","Yes","No","No","No","","","Yes, partial","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","/!\ This cell is not defined /!\"
"Robocopy","Yes","No","No","No","No","No","Yes","No","","No","","","","","","","","","","","","","/!\ This cell is not defined /!\"
