"Software","Developer","First public release","Latest stable date (version)","Cost (USD)","Open source","License","Linux","Mac OS X","Windows","Framework"
"AccuHash","Irnis Haliullin","?","2.0.18","$19.95","No","proprietary","No","No","Yes","?"
"BeaverSFV","Karl-Johan Sjögren","2008-09-14","1.2","Free","No","freeware","No","No","Yes",".NET"
"CDCheck","Mitja Perko","2003 ?","2008-04-10 (3.1.14.0)","various","No","proprietary","No","No","Yes","?"
"Checksum Compare","Sanktu Aire","2012","2014-07-09 (v1.3)","Free","No","freeware","No","No","Yes","?"
"cfv","Matthew Mueller","2000-06-22","2009-06-07 (1.18.3)","Free","Yes","GPL","Yes","No","Yes","Python"
"CHK","Ilya Muravyov","2010","2014-12-04 (v1.73)","Free","No","freeware","No","No","Yes","VCL"
"cksum","various (POSIX)","?","various","Free","Yes","various","Yes","Yes","?","C"
"Cobynsoft's Hash Calculator","Cobynsoft","2011","1.1","Free","No","freeware","No","No","Yes",".NET"
"Data Digester","Leisenfels","2013-03-14","1.6.5","various","No","proprietary","Yes","Yes","Yes","Java"
"DeepDigest","Nick Stone","2012-03-24","2014-06-16 (1.3.27)","Free","Yes","GPL","Yes","?","?","Qt"
"DySFV","Johan Sonesson","2007","1.4.0.0","Free","Yes","GPL","No","No","Yes",".NET"
"ExactFile","Brandon Staggs","2009","1.0.0.15","Free","No","freeware","No","No","Yes","VCL"
"eXpress CheckSum Calculator","Irnis Haliullin","2002","1.0","Free","No","freeware","No","No","Yes","?"
"FastSum","Kirill Zinov","2003","1.7.0.403 GUI/1.9.0.149 CLI","various","No","freeware/shareware","No","No","Yes","?"
"FCIV","Microsoft","?","2004-05-17","Free","No","freeware","No","No","Yes","?"
"Febooti Hash & CRC","Febooti Software","2006","2013-01-29 (v3.5)","Free","No","freeware","No","No","Yes","?"
"FileVerifier++","Tom Bramer","2006","2011-09-16 (0.6.3.5830)","Free","Yes","GPL","No","No","Yes","?"
"FlashSFV","Charles DeWeese","2007","2.6","Free","No","freeware/donationware","No","No","Yes","?"
"FSUM","SlavaSoft","?","2.52","Free","No","freeware","No","No","Yes","?"
"Fsum Frontend","Thierry Micholt","2007","1.5.5.1","Free","Yes","GPL","?","?","Yes","?"
"HashCalc","SlavaSoft","?","2.02","Free","No","freeware","No","No","Yes","?"
"HashCheck","Kai Liu","2008","2.1.11","Free","Yes","BSD","No","No","Yes","?"
"ilSFV","Jud White","2009-10-26","2011-08-16 (1.10)","Free","Yes","freeware","No","No","Yes",".NET 3.5"
"IntactFile","-","2013","v1.0","Free","No","freeware","No","No","Yes",".NET"
"jdigest","gdassieu","2009-09-10","0.2.0","Free","Yes","GPL","Yes","Yes","Yes","Java"
"jHashCalc","Death Master","2007-10-01","1.2","Free","Yes","GPL","?","?","?","Java"
"Jacksum","Johann N. Löfflmann","2002-07-07","2006-07-30 (1.7.0)","Free","Yes","GPL","Yes","Yes","Yes","Java"
"MD5 File Hasher","Digital-Tronic","2012","1.3.0.7","Free","No","freeware/shareware","No","No","Yes","?"
"MD5 & SHA Checksum Utility","Raymond Lin","2013-06-03","2.1","various","No","freeware/shareware","No","No","Yes",".NET"
"md5deep (and HashDeep)","Jesse Kornblum","2003","2012-10-24 (4.3)","Free","Yes","public domain","Yes","Yes","Yes","?"
"md5sum","various (POSIX)","?","various","Free","Yes","various","Yes","Yes","Yes","?"
"MD5summer","Luke Pascoe","?","2006-04-05 (1.2.0.11)","Free","Yes","GPL / postcards","No","No","Yes","(Delphi 7)"
"QuickSFV","Mercedes","1999-11-22","2.36","Free","No","freeware","Yes","No","Yes","?"
"RapidCRC","?","2004","0.6.1","Free","Yes","GPL","No","No","Yes","?"
"RekSFV","TryAndError, Inc.","2006","2012-09-23 (v1.6.4)","Free","No","freeware","No","No","Yes","VCL"
"RHash","Aleksey (Akademgorodok)","?","2012-12-25 (v1.2.10)","Free","Yes","freeware","Yes","No","Yes","C"
"SafeFileManager","Mindbytez Software","2012-11","1.02","various","No","freeware/shareware","Yes","No","Yes","Java"
"SFV Checker","Traction Software","?","1.20","$10.00","No","proprietary","No","No","Yes","?"
"sha1sum","various (POSIX)","?","various","Free","Yes","various","Yes","Yes","Yes","?"
"SuperSFV","Thomas Dixon","?","1.2","Free","Yes","GPL","No","Yes","No","?"
"TeraCopy","Code Sector","2007","2012-01-30 (v2.27)","various","No","freeware/shareware","No","No","Yes","?"
"Toolsley Hash & Validate","Toolsley.com","2014","various","Free","No","freeware/shareware","Yes","Yes","Yes","?"
"WinHasher","Jeffrey T. Darlington","?","2012-06-07 (v1.6.1.65)","Free","Yes","GPL","No","No","Yes",".NET 2.0"
"wxChecksums","Julien Couot","2003","2006-03-04 (v1.2.2)","Free","Yes","GPL","Yes","?","Yes","GTK"
"Software","Developer","First public release","Latest stable date (version)","Cost (USD)","Open source","License","Linux","Mac OS X","Windows","Framework"
"Software","CRC32","MD5","SHA-1","SHA-224","SHA-256","SHA-384","SHA-512","Panama","RIPEMD-128","RIPEMD-160","RIPEMD-256","RIPEMD-320","Tiger","Whirlpool","Other"
"AccuHash","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BeaverSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"CDCheck","Yes","Yes","Yes(?)","Yes(?)","Yes(?)","Yes(?)","?","?","?","?","?","?","?","?","MD2"
"cfv","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","Torrent file"
"Checksum Compare","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"CHK","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","CRC16, CRC64, ED2K, MD4, SHA1-Base32"
"cksum","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Cobynsoft's Hash Calculator","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","?"
"Data Digester","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","MD2, MD4, PGP"
"DeepDigest","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"DySFV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","?"
"eXpress CheckSum Calculator","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ExactFile","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Adler-32, GOST, MD2"
"FastSum","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"FCIV","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"Febooti Hash & CRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","MD2, MD4"
"FileVerifier++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","?"
"FlashSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FSUM","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Adler-32"
"FSUM Frontend","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Total 96 algorithms"
"Software","CRC32","MD5","SHA-1","SHA-224","SHA-256","SHA-384","SHA-512","Panama","RIPEMD-128","RIPEMD-160","RIPEMD-256","RIPEMD-320","Tiger","Whirlpool","Other"
"HashCalc","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","MD2, MD4, Adler-32"
"HashCheck","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","MD4"
"ilSFV","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"IntactFile","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","?"
"Jacksum","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Total 58 algorithms"
"jdigest","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"jHashCalc","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","MD4"
"MD5 File Hasher","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"MD5 & SHA Checksum Utility","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","?"
"md5deep","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","?"
"md5sum","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"MD5summer","No","Yes","No","No","No","No","No","No","?","No","?","?","No","No","?"
"QuickSFV","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RapidCRC","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"RekSFV","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","?"
"RHash","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","MD4 and more"
"SafeFileManager","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SFV Checker","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"sha1sum","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"SuperSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"TeraCopy","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Toolsley Hash & Validate","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","?"
"WinHasher","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","?"
"wxChecksums","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Software","CRC32","MD5","SHA-1","SHA-224","SHA-256","SHA-384","SHA-512","Panama","RIPEMD-128","RIPEMD-160","RIPEMD-256","RIPEMD-320","Tiger","Whirlpool","Other"
"Software","Compare multiple files","Hash single file","Hash several files","Hash directories & sub-directories","Binary output","Bubble Babble output","Base64 output","Hexadecimal output"
"AccuHash","?","?","?","?","?","?","?","?"
"BeaverSFV","?","?","?","?","?","?","?","?"
"CDCheck","Yes","Yes","?","Yes","?","?","?","Yes"
"cfv","?","?","?","?","?","?","?","?"
"Checksum Compare","Yes","Yes","Yes","Yes","No","No","No","Yes"
"CHK","Yes","Yes","Yes","Yes","No","No","No","Yes"
"cksum","?","Yes","Yes","No","No","No","No","No"
"Cobynsoft's Hash Calculator","?","?","?","?","?","?","?","?"
"Data Digester","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"DeepDigest","Yes","Yes","Yes","Yes","No","No","No","Yes"
"DySFV","Yes","Yes","?","Yes","No","No","No","No"
"ExactFile","Yes","Yes","Yes","Yes","No","No","No","No"
"eXpress CheckSum Calculator","?","?","?","?","?","?","?","?"
"FastSum","Yes","Yes","Yes","Yes","No","No","No","Yes"
"FCIV","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Febooti Hash & CRC","?","Yes","Yes","?","?","?","No","Yes"
"FileVerifier++","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"FlashSFV","?","?","?","?","?","?","?","?"
"FSUM","?","?","?","?","?","?","?","?"
"FSUM Frontend","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Software","Compare multiple files","Hash single file","Hash several files","Hash directories & sub-directories","Binary output","Bubble Babble output","Base64 output","Hexadecimal output"
"Hashcalc","?","?","?","?","?","?","?","?"
"HashCheck","?","?","?","?","?","?","?","?"
"ilSFV","Yes","Yes","?","Yes","No","No","No","No"
"IntactFile","Yes","Yes","Yes","Yes","No","No","No","No"
"Jacksum","?","?","?","?","?","?","?","?"
"jdigest","?","?","?","?","?","?","?","?"
"jHashCalc","?","?","?","?","?","?","?","?"
"MD5 File Hasher","Yes","Yes","Yes","Yes","No","No","No","Yes"
"MD5 & SHA Checksum Utility","No","Yes","Yes","Yes","No","No","No","No"
"md5deep","Yes","Yes","?","Yes","No","No","No","Yes"
"md5sum","Yes","Yes","Yes","No","No","No","No","Yes"
"MD5summer","Yes","Yes","?","Yes","?","?","?","Yes"
"QuickSFV","?","?","?","?","?","?","?","?"
"RapidCRC","Yes","Yes","?","Yes","No","No","No","Yes"
"RekSFV","Yes","Yes","Yes","Yes","No","No","No","Yes"
"RHash","?","Yes","Yes","No","No","No","No","No"
"SafeFileManager","Yes","Yes","Yes","Yes","?","?","?","?"
"SFV Checker","?","?","?","?","?","?","?","?"
"sha1sum","Yes","Yes","Yes","No","No","No","No","Yes"
"SuperSFV","?","?","?","?","?","?","?","?"
"TeraCopy","?","?","?","?","?","?","?","?"
"Toolsley Hash & Validate","?","Yes","?","No","No","No","No","Yes"
"WinHasher","Yes","Yes","?","No","No","Yes","Yes","Yes"
"wxChecksums","Yes","Yes","?","Yes","No","No","No","Yes"
"Software","Compare multiple files","Hash single file","Hash several files","Hash directories & sub-directories","Binary output","Bubble Babble output","Base64 output","Hexadecimal output"
