"Format","Full name","Owner","Based Format","File extension","MIME type","Application","Patented"
"Abc","Advanced Bitonal Compression","LEAD Technologies","",".abc","","Bitonal document and check images.","Yes"
"ADRG","ARC Digitized Raster Graphics","","",".adrg","","",""
"AdobeResource","","Adobe Systems","TIFF?","","","",""
"ADRI","ARC Digitized Raster Images","","",".adri","","",""
"AI","Adobe Illustrator Document","Adobe Systems","",".ai","application/illustrator, application/postscript","Adobe Illustrator files are editable using programs that support the format, such as Adobe Illustrator, Inkscape, CorelDRAW, etc.","Yes"
"Alias Pix image","","","",".pix, .matte, .mask,
.alpha, .als","","Supported by GIMP",""
"AMI","","","",".ami","","Supported by Amica Paint",""
"ANI","ANI file format","Microsoft","RIFF",".ani","","Used by Microsoft Windows",""
"ANIM","","Electronic Arts and Commodore Amiga","IFF",".iff, .anim","video/x-anim","",""
"APNG","Animated Portable Network Graphics","Mozilla","PNG",".png","image/png","1.9 and Opera","No"
"Apple Icon Image","","Apple Inc.","",".icns","","Used by Mac OS X",""
"APX","","","",".apx","","Supported by Ebuyer Photo Paint",""
"ART","","AOL","",".art","","",""
"ART","PFS: 1st Publisher clip art","","",".art","","",""
"ASCII art","","","",".txt, .ansi, .text","text/plain","Supported by GIMP",""
"Authorware map","","Adobe Systems","",".aam","application/x-authorware-map","",""
"Authorware seg","","Adobe Systems","",".aas","application/x-authorware-seg","",""
"Authorware bin","","Adobe Systems","",".aab, .x32, .u32,
.vox","application/x-authorware-bin","",""
"AutoCAD DXF","Drawing Interchange Format","Autodesk","",".dxf","image/vnd.dxf","",""
"AWD","","","",".awd","image/awd","Used by PhotoPhilia",""
"ARW","Sony Alpha RAW","Sony","TIFF",".arw","","",""
"BAY","Casio RAW","Casio","",".bay","","",""
"BigTIFF","","","TIFF",".btf, .tiff, .tif","image/tiff","",""
"BMP","Windows bitmap","Microsoft","",".bmp, .dib, .rle,
.2bp (2bpp)","image/x-bmp","Used by many 2D applications.","No"
"bmp compressor","Bit Map Compressor","","",".hpc","","",""
"BLEND","","","",".blend","","Supported by Blender",""
"BRK","Brooktrout Fax","","",".brk","","",""
"BSAVE","BSAVE Image","","",".BSV","","Used by IBM PC.",""
"CAM","Casio CAM","Casio","JPEG",".cam","","",""
"CADRG","Compressed ARC Digitized Raster Graphics","","",".cadrg","","",""
"CAL","CALS raster file format","","",".cal, .cals, .ras, .dcl","","",""
"Capture One RAW","","Phase One","",".cap","","",""
"CIFF","Camera Image File Format","Canon","",".crw, .ciff","","",""
"CR2","Canon RAW 2","Canon","TIFF",".cr2","","",""
"CDR","CorelDRAW Document","Corel Corporation","",".cdr, .ccx, .cdt, .cmx","application/coreldraw","CorelDRAW files are editable using programs that support the format, such as CorelDRAW, Adobe Illustrator, Inkscape, etc.","Yes"
"CGM","Computer Graphics Metafile","","",".cgm","image/cgm","CGM files are editable using programs that support the format, such as IBM Lotus Freelance Graphics, Inkscape, etc.",""
"CIN","Cineon","","",".cin","image/cineon","",""
"Corel Paint Shop Pro Pattern","","","",".pat","","Supported by Corel Paint Shop Pro",""
"CPC","Cartesian Perceptual Compression","Cartesian Products, Inc.","",".cpc, .cpi","image/cpi","Highly compressed raster imaging format.","Yes"
"CPKT","APP5-CPKT Format","","JPEG",".jpg, .jpe, .jpeg","image/jpeg","Used by PROSERPINE.",""
"CPT","Corel Photo-Paint Image","","",".cpt","","Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997)",""
"Crack Art","","Detlef Röttger & Jan Borchers","",".ca1, .ca2, .ca3","","An application on Atari ST",""
"CUT","","","",".cut","","Used by DSHELL.",""
"CMYK","","","",".cmyk","","",""
"CMYKA","","","",".cmyka","","",""
"DCS","Kodak DCS Pro RAW","Kodak","",".dcs","","",""
"DCR","Digital Camera Raw","Kodak","TIFF",".dcr","","",""
"DDS","DirectDraw Surface","Microsoft","",".dds","","",""
"Degas","Design & Entertainment Graphic Arts System","Integral Solutions","",".pi1, .pi2, .pi3,
.pc1, .pc2, .pc3","","An application on Atari ST",""
"DNG","Digital Negative","Adobe Systems","Compatible with ISO 12234-2, TIFF/EP",".dng","","A raw image format suitable as an archival format and as the native raw format of digital cameras","No: no known intellectual property encumbrances or license requirements"
"DIA","Dia Drawing","","XML",".dia","","Used by Dia",""
"DICOM","Digital Imaging and Communications in Medicine","National Electrical Manufacturers Association","",".dcm, .dicom","application/dicom","Numerous biomedical imaging applications (e.g. OsiriX, XMedCon), some general bitmap graphics applications (e.g. GIMP, Photoshop)",""
"DjVu","DjVu","AT&T Research","",".djvu, .djv","image/vnd.djvu","",""
"Doodle","","","",".doo","","An application on Atari ST",""
"DPX","Digital Picture eXchange file format","","",".dpx","image/dpx","",""
"DRF","Kodak Pro Back RAW","Kodak","",".drf","","",""
"Dr. Halo","","","",".cut","","",""
"Encapsulated PostScript","","","",".epi, .eps, .eps2,
.eps3, .epsf, .epsi,
.ept","application/postscript","",""
"ECW","Enhanced Compressed Wavelet","ERDAS","",".ecw","","Wavelet image format used primarily with geo-referenced aerial and satellite imagery","No"
"EDG","EDGE2 Original Format","TAKABO","",".edg","","Used by EDGE2",""
"EMF","Enhanced Metafile Format","Microsoft","",".emf, .emz","","Microsoft Office",""
"EMF+","Enhanced Metafile Format Plus Extensions","Microsoft","",".emf, .emz","","",""
"ERF","EPSON RAW","EPSON","TIFF",".erf","","",""
"ERI","Entis Rasterized Image format","","",".eri","","",""
"Exif","Exchangeable Image File Format","","",".exif","","",""
"EVA","Extended Vector Animation","Sharp Corporation","",".eva","application/x-eva","",""
"EXR","OpenEXR","ILM","",".exr","image/exr","Used in film effects for 3d rendering and hdr images.","?"
"FIF","Fractal Image Format","","",".fif","","",""
"FIG","FIG format","","",".fig","application/x-xfig","Supported by Xfig",""
"FITS","Flexible Image Transport System","","",".fit, .fits","","Scientific (esp. astronomical) data acquisition",""
"FLA","Flash Source File","","",".fla","","",""
"FLIC","","Autodesk","",".fli, .flc, .flx, .flh, .flt","","Supported by GIMP",""
"FLW","Kivio Document","","",".flw","","Supported by Kivio",""
"FPX","FlashPix (1.0.2)","","",".fpx","image/vnd.fpx","",""
"FreeHand","","Adobe Systems","",".fh4, .fh5, .fh7,
.fh8, .fhc, .fh","image/x-freehand","",""
"FutureSplash","","Adobe Systems","",".spl","application/futuresplash","",""
"FXT","","3DFX","",".fxt","","",""
"GEGL composition","","","XML",".xml","application/xml","Used by GEGL",""
"Gerber Format","RS-274X Extended Gerber Format","Ucamco","Printable ASCII",".gbr","","Printed Circuit Board or PCB software",""
"GIF","Graphics Interchange Format","CompuServe,
Unisys (compression algorithm)","",".gif, .gfa, .giff","image/gif","Supported by most web browsers. Supports transparency and animation.","Expired"
"GIMP brush","","The GIMP Team","",".gbr","","Supported by GIMP",""
"GIMP compressed XJT image","","The GIMP Team","JPEG, tar",".xjt,
.xjtgz (compressed),
.xjtbz2 (compressed)","None. Lossy format, not suitable for editing","Supported by GIMP",""
"GIH","Gimp image hose","The GIMP Team","",".gih","","Supported by GIMP",""
"GIMP patterns","","The GIMP Team","",".pat","","Supported by GIMP",""
"GRA","","","",".gra","","Used by QSV and QLD.",""
"G3 Fax","","","",".g3","","Supported by GIMP",""
"Hasselblad 3FR RAW","","","TIFF",".3fr","","",""
"Hasselblad/Imacon FFF","","","",".fff","","",""
"HDRi","","","TIFF",".tif, .tiff","image/tiff","",""
"HG","Hyper Graphic Press","","",".hg","","Supported by some old Japanese applications.",""
"ICER","","NASA Mars Rovers","","","","",""
"IIQ RAW","Intelligent Image Quality RAW","Phase One","",".iiq","","",""
"IMA",".ima",".ima team","",".ima","","Format for photograph images with HDR encoding.","No"
"IMG (GEM Paint)","","","",".img","","Supported by GEM Paint",""
"IMG (ERDAS IMAGINE)","ERDAS IMAGINE","ERDAS","Hierarchical File Architecture (HFA)",".img","","Image format used primarily with geo-referenced imagery, thematic grid data, and elevation grid data.","Yes"
"im4","","Masahide Hirabayashi","",".im4","","",""
"Inkscape SVG","","The Inkscape Team","SVG",".svg, .svgz","image/svg+xml","Used by Inkscape",""
"ICO","ICO file format","Microsoft","",".ico, .cur","image/vnd.Microsoft.icon, image/x-icon","Used by Microsoft Windows and web browser as favicon",""
"ICS","Image Cytometry Standard","","",".ics, .ids","","",""
"IGES","Initial Graphics Exchange Specification","","",".igs","image/iges","CAD/CAM interoperability","No"
"ILBM","InterLeaved BitMap","Electronic Arts and Commodore Amiga","IFF",".iff, .ilbm, .lbm","image/x-ilbm","Planar graphics format designed for Amiga graphics hardware.","No"
"IPTC/NAA","IPTC/NAA","","TIFF","","","",""
"JBIG","","Joint Bi-level Image Experts Group","",".jbig, .bie, .jbg","","",""
"JBIG2","","Joint Bi-level Image Experts Group","","","","",""
"JNG","JPEG Network Graphics","","",".jng","image/x-jng","","No"
