"Manufacturer","Model","Intro Date","Interface","OS","Price","Throughput"
"Araneus","Alea I","2003","USB","Windows/Linux/BSD","159€","100 kbit/s"
"TectroLabs","TL200","2014","USB","Windows/Linux/Mac","$249","2.0 Mbit/s"
"Quant-Lab","QRBG121","2005","USB","Windows/Linux","2700€","12 Mbit/s"
"ID Quantique SA","Quantis-USB","2006","USB","Windows/Linux","990€","4 Mbit/s"
"ID Quantique SA","Quantis-PCI-4","2006","PCI","Windows/Linux","2,230€","16 Mbit/s"
"Comscire","PQ4000KU","2013","USB","Linux/Windows/Mac","$895","4 Mbit/s"
"Comscire","PQ32MU","2013","USB","Linux/Windows/Mac","$1,495","32 Mbit/s"
"LETech","GRANG (various devices)","2008–2012","PCI/USB3/SATA","Linux/Windows","N/A","400 Mbit/s"
"TRNG98","TRNG9803","2009","SERIAL","Linux/Windows/Solaris/BSD","109€","72 kbit/s"
"TRNG98","TRNG9815","2009","USB","Linux/Windows/Solaris/BSD","620€","550 kbit/s"
"Flying Stone Technology","FST-01 (includes NeuG 1.0)","2013","USB","GNU","$35","0.6 Mbit/s"
"ubld.it","TrueRNG","2014","USB","Linux/Windows/Mac/Pi","$49.95",">350 kbit/s"
"WaywardGeek","Infinite Noise TRNG","2014","USB","Linux/Windows/Pi","$15.00","300 kbit/s"
