"","GUI","Console","Software license","Cost","Latest version","Latest release date","Windows","Macintosh","Linux"
"010 Editor","Yes","No","Proprietary","USD 50–130","5.0.1","June 19, 2014","Yes (Win98 and up)","Yes","Yes"
"1Fh","Yes","No","Proprietary (Freeware)","0","1.18","April 29, 2009","Yes","No","No"
"HxD","Yes","No","Proprietary (Freeware)","0","1.7.7.0","April 3, 2009","Yes (Win95, WinNT4 and up)","No","No"
"AptEdit","Yes","No","Proprietary","USD 44.95","4.8.1","","Yes (Win2000 and up)","No","No"
"AXE","Yes","No","Proprietary","USD 35","3.4","","Yes (Win95 and up)","No","No"
"AviHex","Yes","No","Proprietary (Freeware)","0","2.5.3","June 20, 2008","Yes","No","No"
"Be.HexEditor","Yes","No","MIT License","0","1.4.8","June 20, 2012","Yes (Win2k and up)","No","No"
"beav","No","Yes","GPL / Free Software","0","1.4.0","","Yes (msdos)","","Yes"
"beye","No","Yes","GPL / Free Software","0","6.1.0","December 12, 2009","Yes","Yes","Yes"
"Binary Viewer Pro","Yes","No","Proprietary","USD 10","1.0.0","December 26, 2008","Yes","No","No"
"bvi","No","Yes","GPL / Free Software","0","1.4.0","October 7, 2014","Yes (DOS, Win95 and up)","Yes","Yes"
"Cheat Engine","Yes","No","APL","0","6.4","June 19, 2014","Yes","No","No"
"CI Hex Viewer","Yes","No","Proprietary","0","1.0.2","July 6, 2011","Yes (Windows XP and up)","Yes (Mac OS X 10.6 and up)","Yes"
"Cygnus Hex Editor","","","Proprietary","USD 39","2.50","","Yes (WinNT4 and up)","No","No"
"dhex","No","Yes","GPL / Free Software","0","0.68","September 9, 2012","No","Yes","Yes"
"EditPad Pro","Yes","No","Proprietary","USD 50","7.1.1","January 24, 2012","Yes (Win98 and up)","No","No"
"Emacs","Yes","Yes","GPL / Free Software","0","24.3","March 11, 2013","Yes","Yes","Yes"
"Febooti Hex Editor","Yes","No","Proprietary","0","3.0","July 2011","Yes (Win95 and up)","No","No"
"FlexHex","Yes","No","Proprietary","USD 40","2.60","September 16, 2008","Yes (WinNT4 and up)","No","No"
"Frhed (Free Hex Editor)","Yes","No","GPL / Free Software","0","1.7.1","July 30, 2009","Yes (Win98 and up)","No","No"
"GHex","Yes","No","GPL / Free Software","0","2.24.0","February 19, 2009","No","Yes (via MacPorts)","Yes"
"Hackman Suite","Yes","No","Proprietary","USD 27","9.2","October 12, 2011","Yes","No","No"
"HEdit","Yes","No","Proprietary","USD 99","3.2","","Yes","No","No"
"HexCurse","No","Yes","GPL / Free Software","0","1.55","December 22, 2003","No","No","Yes"
"Hexditor.jar","Yes","No","Proprietary (Freeware)","0","-","December 12, 2012","Yes (any windows with Java 1.4 or more)","Yes","Yes"
"Hex Edit","Yes","No","MIT License (Freeware)","0","4.0","July 13, 2012","Yes","No","No"
"hexed","No","Yes","BSD-3","0","0.2.2","May 6, 2014","Yes (Source code)","Yes (Source code)","Yes (Source code)"
"HexEdit.js","Yes","No","none (web application)","0","2014.10.16","October 16, 2014","Yes","Yes","Yes"
"Hex Edit Pro","Yes","No","Proprietary","USD 50","4.0","December 14, 2011","Yes","No","No"
"HexEdit by Lane Roathe","","","MPL","0","2.20","January 28, 2008","No","Yes (680x0/PowerPC)","No"
"hexedit by Pascal Rigaux","No","Yes","GPL / Free Software","0","1.2.13","March 1, 2013","No","Yes (MacPorts, Homebrew)","Yes"
"Hex Fiend","Yes","No","Two-clause BSD license","0","2.1.2","February 4, 2012","No","Yes","No"
"HexIt","No","Yes","Proprietary
(sourcecode included)","0","1.57","December 8, 2006","Yes (DOS, Win95 and up)","No","No"
"Hexplorer","Yes","No","GPL / Free Software","0","2.6","June 4, 2011","Yes (Win95 and up)","No","No"
"Hexprobe Hex Editor","Yes","No","Proprietary","USD 40","4.31","June 26, 2009","Yes (Win95 and up)","No","No"
"Hex Workshop","Yes","No","Proprietary","USD 90","6.8.0","September 2014","Yes (Win2K and up)","No","No"
"Hiew","No","Yes","Proprietary","USD 19–199","8.41","Feb 10, 2014","Yes","No","No"
"HT Editor","No","Yes","GPL / Free Software","0","2.0.22","June 13, 2013","Yes","Yes (Homebrew)","Yes"
"KHexEdit","Yes","No","GPL / Free Software","0","0.8.5","December 14, 1999","No","No","Yes"
"Notepad++ (with Hex Editor Plugin)","Yes","No","GPL / Free Software","0","6.0","March 26, 2012","Yes","No","No"
"Okteta","Yes","No","GPL / Free Software","0","","","Yes (KDEWin)","Yes","Yes"
"shed","No","Yes","GPL / Free Software","0","1.15","March 24, 2009","No","Yes","Yes"
"Synalyze It!","Yes","No","Proprietary (Freeware)","USD 7-30","1.7","January 2, 2014","No","Yes","No"
"tiny hexer","Yes","No","Proprietary (Freeware)","0","1.8.1.6","July 3, 2007","Yes (Win98 and up)","No","No"
"TurboHex","Yes","No","Proprietary","USD 29","1.0","","Yes","No","No"
"VEDIT","Yes","Yes","Proprietary","USD 89","6.21.3","September 12, 2011","Yes","No","No"
"UltraEdit","Yes","No","Proprietary","USD 79.95","21.30","September 26, 2014","Yes","Yes","Yes"
"webhex.net","Yes","No","none (web application)","0","","","Yes","Yes","Yes"
"WinHex","Yes","No","Proprietary","EUR 43–146","17.5","Jan 28, 2014","Yes (Win95 and up)","No","No"
"wxHexEditor","Yes","No","GPL / Free Software","0","0.22 Beta","May 9, 2013","Yes","Yes","Yes"
"XVI32","Yes","No","Proprietary (Freeware)","0","2.55","June 26, 2012","Yes (Win95 and up)","No","No"
"","Maximum file size","Partial file loading","Disk sector editing","Bit editing","Text editor","Insert / Delete bytes","Character encodings","Search Unicode","File structure view","Disassembler","File Compare","Find in Files","Bookmarks"
"010 Editor","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","Unicode, ANSI, OEM, EBCDIC, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"0xED","unlimited","Yes","","","Yes","Yes","ASCII, UTF-8/UTF-16 encoded Unicode, ISO-Latin-1, Macintosh","","No","No","No","",""
"1Fh","2Gb","No","No","No","No","No","OEM, custom","No","No","No","No","No","No"
"HxD","unlimited","Yes","Yes (Windows 9x/NT and up)","No","No","Yes","ANSI, ASCII, OEM, EBCDIC, Macintosh","Yes","No","No","Yes","No","Yes"
"AptEdit","unlimited","Yes","No","No","Yes","Yes","ANSI, OEM, EBCDIC","Yes","No","No","Yes","Yes",""
"AXE","2 GB","Yes","Partial (only Windows NT and up)","","","","Unicode, ANSI, EBCDIC","Yes","Yes","No","","",""
"AviHex","unlimited","No","","Yes","","Yes","","Yes","","Yes (32/64-bits, MMX and SSE commands)","Yes","Yes","Yes"
"Be.HexEditor","unlimited","Yes","No","No","Yes","Yes","Unicode, EBCDIC","Yes","No","No","No","Yes","No"
"Beav","unlimited","Yes","Partialnix only","No","No","Yes","ASCII","No","No","No","No","Yesreplace","Yes"
"beye","8'192 TB","Yes","No","Yes","No","Yes","ANSI, EBCDIC, ASCII, Macintosh","Yes","","Yes (AVR, Java, x86, i386, x86-64, ARM/XScale, PowerPC, PPC64)","","","Yes"
"Binary Viewer Free","unlimited","No","No","No","No","No","ASCII","No","","No","","",""
"Binary Viewer Pro","unlimited","No","No","No","No","No","ASCII","Yes","","No","","",""
"Bless","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII","No","No","No","No","Yes",""
"bvi","unlimited","Yes","","Yes","Yes","Yes","ANSI, ASCII","","No","No","","",""
"Catch22 HexEdit","4 GB","Yes","No","No","No","Yes","ANSI","Yes","Yes","No","No","No","No"
"CI Hex Viewer","Unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"Cygnus Hex Editor","2 GB","No","No","No","No","Yes","","Yes","Yes","No","Yes","No",""
"Cygnus Hex Editor FREE EDITION","2 GB","No","No","No","No","Yes","","","","","","","No"
"DataWorkshop","2 GB","","","","","","","","Yes","Yes","","",""
"dhex","2^63","Yes","No","No","Yes","No","ASCII","No","No","No","Yes","Yes","Yes"
"Febooti Hex Editor","2 GB","No","No","Yes","Yes","Yes","ANSI","Yes","","","","","Yes"
"FlexHex","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI/MBCS, Unicode","Yes","Yes","No","Yes","No","Yes"
"Frhed","limited by free RAM","Yes","No","Yes","No","Yes","ANSI, OEM","Yes","Yes","No","Yes","No","Yes"
"GHex","4 GB","No","No","No","Yes","Partial (no copy/paste)","ASCII","No","No","No","","",""
"Hackman Hex Editor Professional","unlimited","Yes","Yes","Yes","Partial (external: notepad)","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh, custom","Yes","Yes","Yes (AVR, Java, x86, Pentium III, Pentium 4-Prescott, Athlon-K7, Athlon 64, Cyrix-M2)","Yes","Yes","Yes"
"HEdit","> 2 GB","Yes","No","No","No","Yes","ANSI, EBCDIC","No","","","","",""
"heme","2 GB","","No","No","Yes","No","ANSI","No","No","No","","",""
"Heraia","4 GB","No","No","No","Yes","Yes","ASCII","No","No","No","No","Yes","No"
"Hexditor.jar","2^63","Yes","","No (but view help)","","Yes","ISO/IEC 8859-1, ASCII, OEM","Yes, case insensitive","","","","No","Yes"
"Hex Edit","unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC","Yes","Yes","No","Yes","No","Yes"
"Hex Edit Pro","unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC, Code Pages (MBCS, Mac, UTF-8, etc.)","Yes","Yes","No","Yes","No","Yes"
"hexed","2GB+","No","No","No","No","Yes","","No","No","No","No","No","No"
"","Maximum file size","Partial file loading","Disk sector editing","Bit editing","Text editor","Insert / Delete bytes","Character encodings","Search Unicode","File structure view","Disassembler","File Compare","Find in Files","Bookmarks"
"HexEdit by Lane Roathe","","","","","Yes","Yes","","","","Yes (PowerPC)","Yes","",""
"hexedit by Pascal Rigaux","unlimited","Yes","Yes","No","No","No","ASCII","No","No","No","No","No","No"
"HexEdit.js","unlimited","Yes","No","Yes","Yes","Yes","Unicode (UTF8/UTF-16), ASCII, ANSI, IBM866, ISO-8859-1 to ISO-8859-16 (incl. Cyrillic, Arabic, Greek, Hebrew), KOI8, Macintosh, x-user-defined and many others.","Yes","No","No","No","No","Yes"
"Hex Fiend","unlimited","No","No","No","No","No","ANSI","No","No","No","No","No","Yes"
"HexIt","limited by free RAM","No","No","No","Partial (viewer)","Yes","","No","","Yes (x86, Pentium II-Deschutes, x87, MMX, 3DNow!, also assembler)","Yes","Yes","Yes"
"Hexplorer","limited by free RAM","No","Partial (only Windows NT and up)","No","No","","ANSI, OEM","No","Yes","","","","No"
"Hexprobe Hex Editor","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI, OEM","No","Yes","No","Yes","Yes",""
