"Definition","returns character."
"Description","Returns character at index in the string."
"Equivalent","See substring of length 1 character."
"Format","Languages","Base index"
"","ALGOL 68, Pascal, Object Pascal (Delphi), Seed7","1"
"","C, C++, C#, Cobra, D, FreeBASIC, Go, Python, PHP, Ruby, Windows PowerShell, JavaScript, Ya","0"
"","PHP (deprecated in 5.3)","0"
"","Ada","≥1"
"","VB","1"
"","BASIC","1"
"","VB.NET","0"
"","Fortran","1"
"","Java, JavaScript","0"
"","OCaml, F#","0"
"","Standard ML","0"
"","Haskell","0"
"","Scheme","0"
"","Common Lisp","0"
"","ISLISP","0"
"","Clojure","0"
"","Perl","0"
"","PL/I","1"
"","C++ (STL) (w/ bounds checking)","0"
"","Erlang","1"
"","Objective-C ( only)","0"
"","Lua","1"
"","Smalltalk (w/ bounds checking)","1"
"","Tcl","0"
"","Mathematica","1"
"","Eiffel","1"
"","COBOL","1"
"Definition","returns integer."
"Description","Compares two strings to each other.  If they are equivalent, a zero is returned. Otherwise, most of these routines will return a positive or negative result corresponding to whether string is lexicographically greater than, or less than, respectively, than string. The exceptions are the Scheme and REXX routines which return the index of the first mismatch."
"Format","Languages"
"","ALGOL 68"
"","Python (before 3.0 only)"
"","Python (since 3.0)"
"","C, PHP"
"","D"
"","VB, Object Pascal (Delphi)"
"","Perl"
"","Ruby"
"","C++ (STL)"
"","REXX, Seed7"
"","Pascal, Object Pascal (Delphi)"
"","Cobra, Java"
"","VB .NET, C#, F#"
"","Clojure"
"","Common Lisp"
"","Scheme (SRFI 13)"
"","ISLISP"
"","OCaml"
"","Standard ML"
"","Haskell"
"","Windows PowerShell"
"","Objective-C ( only)"
"","Fortran"
"","JavaScript"
"","Go"
"","Tcl"
"","PL/I"
"Definition","OR  returns Boolean."
"Description","Lexicographically compares two strings using a relational operator or function. Boolean result returned."
"Format","Languages"
", where  can be any of  and","Pascal, Object Pascal (Delphi), OCaml, Seed7, Standard ML, BASIC, VB, VB .NET, F#"
", where  can be any of  and ; Also:  and","ALGOL 68"
", where  can be any of  and  (operators starting with '' are case-insensitive)","Scheme"
", where  can be any of  and  (operators starting with '' are case-insensitive)","Scheme (SRFI 13)"
", where  can be any of  and  (the verbal operators are case-insensitive)","Common Lisp"
", where  can be any of  and","ISLISP"
", where  can be any of  and","REXX"
", where  can be any of  and","PL/I"
", where  can be any of  and","Ada"
", where  can be any of  and","Erlang"
", where  can be any of  and","Haskell"
", where  can be any of  and","Perl"
", where  can be any of  and","C++ (STL), C#, D, Go, JavaScript, Python, PHP, Ruby, Ya"
", where  can be any of  and   (operators starting with '' are case-sensitive)","Windows PowerShell"
", where  can be any of  and","Lua"
", where  can be any of  and","Smalltalk"
", where  can be any of  and  and","Fortran."
"where  can be any of  as well as worded equivalents","COBOL"
"where  can be any of  and","Cobra"
"Are available in the syntax, but means comparison of the pointers pointing to the strings, not of the string contents.","C, Java"
"Definition","returns string."
"Description","Concatenates (joins) two strings to each other, returning the combined string. Note that some languages like C have mutable strings, so really the second string is being appended to the first string and the mutated string is returned."
"Format","Languages"
"","Ada, FreeBASIC, Seed7, BASIC, VB, VB .NET, COBOL (between literals only)"
"","C, C++ ( only)"
"","Perl, PHP"
"","ALGOL 68, C++ (STL), C#, Cobra, FreeBASIC, Go, Pascal, Object Pascal (Delphi), Java, JavaScript, Windows PowerShell, Python, Ruby, Rust, F#, Turing, VB, Ya"
"","D"
"","Scheme, ISLISP"
"","Common Lisp"
"","Clojure"
"","REXX, SQL, PL/I"
"","Fortran"
"","Erlang, Haskell"
"","OCaml, Standard ML, F#"
"","Objective-C ( only)"
"","Lua"
"","Smalltalk"
"","SNOBOL"
"","Bash shell"
"","Mathematica"
"Definition","returns boolean"
"Description","Returns whether string contains substring as a substring. This is equivalent to using #Find and then detecting that it does not result in the failure condition listed in the third column of the #Find section. However, some languages have a simpler way of expressing this test."
"Related","/!\ This cell is not defined /!\"
"Format","Languages"
"","ALGOL 68"
"","Object Pascal (Delphi)"
"","C#, VB .NET, Windows PowerShell, F#"
"","Cobra, Java (1.5+)"
"","JavaScript"
"","PHP"
"","Seed7"
"","Cobra, Python (2.3+)"
"","Lua"
"","Ruby"
"","Haskell (GHC 6.6+)"
"","Smalltalk (Squeak, Pharo)"
"","Standard ML"
"","Common Lisp"
"","ISLISP"
"","Clojure"
"","Mathematica"
"","Fortran, PL/I"
"","Go"
"","C++"
"","Objective-C ( only, iOS 8+/OS X 10.10+)"
"Format","Languages"
"","Python, C++ (STL), C#, Cobra, Go, JavaScript (similarity), PHP (similarity), Ruby, Erlang, Haskell, Lua, D, Mathematica, Ya"
"","JavaScript, PHP"
"","Fortran"
"","C"
"","Scheme"
"","Common Lisp, ISLISP"
"","ALGOL 68, Ada, Object Pascal (Delphi), OCaml, Pascal, REXX, Seed7, Standard ML, BASIC, VB, VB .NET, F#, Smalltalk, PL/I, COBOL"
"","Bourne Shell"
"","Perl"
"","Cobra, Java"
"","C#"
"","Windows PowerShell"
"","Objective-C ( only)"
