"Esperanto","IPA","Novial"
"A, a","[[[open front unrounded vowel|a]]]","A, a"
"B, b","[[[voiced bilabial stop|b]]]","B, b"
"C, c","[[[voiceless alveolar sibilant affricate|ts]]]","Ts, ts; S, s"
"Ĉ, ĉ","[[[voiceless palato-alveolar affricate|tʃ]]]","Ch, ch; Sh, sh"
"D, d","[[[voiced alveolar stop|d]]]","D, d"
"E, e","[[[close-mid front unrounded vowel|e]]] or [[[open-mid front unrounded vowel|ɛ]]]","E, e"
"F, f","[[[voiceless labiodental fricative|f]]]","F, f"
"G, g","[[[voiced velar stop|ɡ]]]","G, g"
"Ĝ, ĝ","[[[voiced palato-alveolar affricate|dʒ]]]","J, j"
"H, h","[[[voiceless glottal fricative|h]]]","H, h"
"Ĥ, ĥ","[[[voiceless velar fricative|x]]]","K, k"
"I, i","[[[close front unrounded vowel|i]]]","I, i"
"J, j","[[[palatal approximant|j]]]","Y, y"
"Ĵ, ĵ","[[[voiced palato-alveolar sibilant|ʒ]]]","J, j"
"K, k","[[[voiceless velar stop|k]]]","K, k"
"L, l","[[[alveolar lateral approximant|l]]]","L, l"
"M, m","[[[bilabial nasal|m]]]","M, m"
"N, n","[[[alveolar nasal|n]]]","N, n"
"O, o","[[[close-mid back rounded vowel|o]]] or [[[open-mid back rounded vowel|ɔ]]]","O, o"
"P, p","[[[voiceless bilabial stop|p]]]","P, p"
"Kv kv","[kv]","Qu, qu"
"R, r","[[[alveolar trill|r]]]","R, r"
"S, s","[[[voiceless alveolar sibilant|s]]]","S, s; Z, z"
"Ŝ, ŝ","[[[voiceless palato-alveolar sibilant|ʃ]]]","Sh, sh; Ch, ch"
"T, t","[[[voiceless alveolar stop|t]]]","T, t"
"U, u","[[[close back rounded vowel|u]]]","U, u"
"Ŭ, ŭ","[u̯]","U, u (after a vowel)"
"V, v","[[[voiced labiodental fricative|v]]]","V, v; W, w"
"Ks, ks; kz","[ks], [ɡz]","X, x"
"Z, z","[[[voiced alveolar sibilant|z]]]","Z, z; S, s"
"","singular","singular","singular","singular","singular","singular","singular","plural","plural","plural","plural","plural","plural","indef."
"","1st","2nd","2nd","3rd","3rd","3rd","3rd","1st","2nd","3rd","3rd","3rd","3rd","indef."
"","1st","familiar","formal","m.","f.","n.","pan-gender","1st","2nd","m.","f.","n.","pan-gender","indef."
"English","I","thou¹","you¹","he","she","it","he/it","we","you"," "," "," ","they","one"
"Esperanto","mi","ci¹","vi¹","li","ŝi","ĝi","ĝi²","ni","vi"," "," "," ","ili","oni"
"Novial","me","vu","vu","lo","la","lu","le","nus","vus","los","las","lus","les","on"
"","English","Esperanto","Novial"
"Infinitive","(to) love","am-i","ama"
"Simple present","love(s)","am-as","ama"
"Future","will (shall) love","am-os","sal ama"
"Simple past","loved","am-is","did ama (ama-d)"
"Past perfect","have (has) loved","est-as am-int-a(j)","ha ama"
"Pluperfect","had loved","est-is am-int-a(j)","ha-d ama"
"Future perfect","will (shall) have loved","est-os am-int-a(j)","sal ha ama"
"Future in the past","was going to (would, should) love","est-is am-ont-a(j)","sal-ed ama"
"Conditional","would (should) love","am-us","vud ama"
"Conditional perfect","would (should) have loved","est-us am-int-a(j)","vud ha ama"
"First imperative","let us love!","ni am-u!","let nus ama!"
"Second imperative","love!","am-u!","ama!"
"Third imperative","let him love!","li am-u!","let lo ama!"
"Present continuous","is (am, are) loving","est-as am-ant-a(j)","es ama-nt"
"Future continuous","shall (will) be loving","est-os am-ant-a(j)","sal es ama-nt"
"Past continuous","was (were) loving","est-is am-ant-a(j)","did es (es-ed) ama-nt"
"","English","Esperanto","Novial"
"Infinitive","(to) get absorbed","est-i absorb-at-a(j) (absorb-iĝ-i)","bli absorba"
"Simple present","get(s) absorbed","est-as absorb-at-a(j) 
(absorb-iĝ-as)","bli absorba"
"Future","will (shall) get absorbed","est-os absorb-at-a(j) 
(absorb-iĝ-os)","sal bli absorba"
"Simple past","got absorbed","est-is absorb-at-a(j) 
(absorb-iĝ-is)","bli-d absorba"
"Past perfect","have (has) got absorbed","est-as absorb-it-a(j) 
(est-as absorb-iĝ-ant-a(j))","ha bli absorba"
"Pluperfect","had got absorbed","est-is absorb-it-a(j) 
(est-is absorb-iĝ-ant-a(j))","ha-d bli absorba"
"Future perfect","will (shall) have got absorbed","est-os absorb-it-a(j) 
(est-os absorb-iĝ-ant-a(j))","sal ha bli absorba"
"Future in the past","was going to (would, should) get absorbed","est-is absorb-ot-a(j) 
(est-is absorb-iĝ-ont-a(j))","sal-ed bli absorba"
"Conditional","would (should) get absorbed","est-us absorb-at-a(j) 
(absorb-iĝ-us)","vud bli absorba"
"Conditional perfect","would (should) have got absorbed","est-us absorb-it-a(j) 
(est-us absorb-iĝ-ant-a(j))","vud ha bli absorba"
"First imperative","let us get absorbed!","ni est-u absorb-ataj! 
(ni absorb-iĝ-u!)","let nus bli absorba!"
"Second imperative","get absorbed!","est-u absorb-at-a(j)! 
(absorb-iĝ-u!)","bli absorba!"
"Third imperative","let him get absorbed!","li est-u absorb-at-a! 
(li absorb-iĝ-u)","let lo bli absorba!"
"Present continuous","is (am, are) getting absorbed","est-as absorb-at-a(j) 
(est-as absorb-iĝ-ant-a(j))","es bli-nt absorba"
"Future continuous","shall (will) be getting absorbed","est-os absorb-at-a(j) 
(est-os absorb-iĝ-ant-a(j))","sal es bli-nt absorba"
"Past continuous","was (were) getting absorbed","est-is absorb-at-a(j)          
(est-is absorb-iĝ-ant-a(j))","did es (es-ed) bli-nt absorba"
"","English","Esperanto","Novial"
"Infinitive","(to) be absorbed","est-i absorb-at-a(j)","es absorba-t"
"Simple present","is (am, are) absorbed","est-as absorb-at-a(j)","es absorba-t"
"Future","will (shall) be absorbed","est-os absorb-at-a(j)","sal es absorba-t"
"Simple past","was absorbed","est-is absorb-at-a(j)","did es (es-ed) absorba-t"
"Past perfect","have (has) been absorbed","est-as absorb-it-a(j)","ha es absorba-t"
"Pluperfect","had been absorbed","est-is absorb-it-a(j)","ha-d es absorba-t"
"Future perfect","will (shall) have been absorbed","est-os absorb-it-a(j)","sal ha es absorba-t"
"Future in the past","was going to (would, should) be absorbed","est-is absorb-ot-a(j)","sal-ed es absorba-t"
"Conditional","would (should) be absorbed","est-us absorb-at-a(j)","vud es absorba-t"
"Conditional perfect","would (should) have been 
absorbed","est-us absorb-it-a(j)","vud ha es absorba-t"
"First imperative","let us be absorbed!","ni est-u absorb-ataj!","let nus es absorba-t!"
"Second imperative","be absorbed!","est-u absorb-at-a(j)!","es absorba-t!"
"Third imperative","let him be absorbed!","li est-u absorb-at-a!","let lo es absorba-t!"
"Esperanto version:Patro nia, kiu estas en la ĉielo,
Via nomo estu sanktigita.
Venu Via regno,
plenumiĝu Via volo,
kiel en la ĉielo, tiel ankaŭ sur la tero.
Nian panon ĉiutagan donu al ni hodiaŭ.
Kaj pardonu al ni niajn ŝuldojn,
kiel ankaŭ ni pardonas al niaj ŝuldantoj.
Kaj ne konduku nin en tenton,
sed liberigu nin de la malbono.
Amen.","Novial version:Nusen Patre, kel es in siele,
mey vun nome bli sanktifika,
mey vun regno veni;
mey on fa vun volio 
kom in siele anke sur tere.
Dona a nus disidi li omnidiali pane,
e pardona a nus nusen ofensos,
kom anke nus pardona a nusen ofensantes,
e non dukte nus en tentatione,
ma liberisa nus fro malu.  
Amen."
