"","List by The World Bank (2008)"
"(in millions of U.S. dollar)","(in millions of International dollar)"
"Rank","State","($millions)"
"1","California","1,846,757"
"2","Texas","1,223,511"
"3","New York","1,144,481"
"4","Florida","744,120"
"5","Illinois","633,697"
"6","Pennsylvania","553,301"
"7","New Jersey","474,936"
"8","Ohio","471,508"
"9","Michigan","376,243"
"10","Georgia","363,839"
"11","Virginia","351,903"
"12","North Carolina","346,640"
"13","Massachusetts","325,917"
"14","Washington","267,308"
"15","Maryland","246,234"
"16","Indiana","238,568"
"17","Minnesota","234,552"
"18","Tennessee","229,215"
"19","Colorado","216,537"
"20","Arizona","216,528"
"21","Wisconsin","216,322"
"22","Missouri","216,065"
"23","Connecticut","193,745"
"24","Louisiana","168,204"
"25","Alabama","151,610"
"26","Oregon","144,278"
"27","Kentucky","140,501"
"28","South Carolina","140,019"
"29","Oklahoma","121,490"
"30","Iowa","113,552"
"31","Nevada","111,342"
"32","Kansas","105,574"
"33","Utah","90,778"
"34","Arkansas","86,752"
"","District of Columbia","81,830"
"35","Mississippi","81,290"
"36","Nebraska","70,676"
"37","New Mexico","68,870"
"38","Delaware","56,483"
"39","New Hampshire","55,061"
"40","Hawaii","54,019"
"41","West Virginia","53,050"
"42","Idaho","47,189"
"43","Maine","44,971"
"44","Rhode Island","43,787"
"45","Alaska","39,314"
"46","South Dakota","30,919"
"47","Montana","29,885"
"48","Wyoming","27,269"
"49","North Dakota","24,397"
"50","Vermont","23,065"
"Rank","Country","GDP (PPP) $M"
"—","World","69,609,169"
"1","United States","14,093,310"
"2","People's Republic of China","7,909,261"
"3","Japan","4,358,472"
"4","India","3,358,871"
"5","Germany","2,904,557"
"6","Russia","2,260,202"
"7","United Kingdom","2,178,205"
"8","France","2,121,724"
"9","Brazil","1,978,139"
"10","Italy","1,871,709"
"11","Mexico","1,549,490"
"12","Spain","1,442,936"
"13","South Korea","1,344,360"
"14","Canada","1,301,737"
"15","Turkey","991,715"
"16","Indonesia","907,955"
"17","Australia","831,220"
"18","Iran","778,779"
"19","Netherlands","673,634"
"20","Poland","658,611"
"21","Saudi Arabia","591,271"
"22","Argentina","570,846"
"23","Thailand","544,913"
"24","South Africa","492,531"
"25","Egypt","442,311"
"26","Pakistan","421,657"
"27","Colombia","395,986"
"28","Malaysia","384,002"
"29","Belgium","377,346"
"30","Venezuela","358,068"
"31","Sweden","340,770"
"32","Ukraine","336,612"
"33","Greece","329,877"
"34","Switzerland","324,377"
"35","Nigeria","317,411"
"36","Philippines","317,352"
"37","Austria","316,070"
"38","Hong Kong","306,721"
"39","Romania","289,345"
"40","Norway","279,962"
"41","Algeria","276,227"
"42","Czech Republic","256,890"
"43","Portugal","247,015"
"44","United Arab Emirates","246,930"
"45","Peru","245,358"
"46","Chile","242,583"
"47","Vietnam","240,292"
"48","Singapore","238,685"
"49","Bangladesh","213,627"
"50","Israel","203,950"
"51","Denmark","202,415"
"52","Hungary","198,646"
"53","Finland","192,316"
"54","Ireland","185,214"
"55","Kazakhstan","177,489"
"56","Morocco","136,859"
"57","Kuwait","128,535"
"58","Slovakia","119,690"
"59","Belarus","118,864"
"60","New Zealand","116,371"
"61","Ecuador","108,044"
"62","Angola","104,873"
"63","Libya","102,017"
"64","Syria","94,315"
"65","Sri Lanka","91,991"
"66","Bulgaria","89,893"
"67","Sudan","89,101"
"68","Tunisia","82,164"
"69","Dominican Republic","80,869"
"70","Croatia","78,319"
"71","Serbia","77,574"
"72","Azerbaijan","76,130"
"73","Uzbekistan","72,602"
"74","Ethiopia","70,122"
"75","Qatar","65,222"
"76","Guatemala","65,150"
"77","Oman","61,875"
"78","Kenya","60,116"
"79","Lithuania","59,617"
"80","Slovenia","56,325"
"81","Yemen","55,372"
"82","Tanzania","53,696"
"83","Costa Rica","50,758"
"84","Lebanon","49,390"
"85","Uruguay","42,489"
"86","Panama","42,479"
"87","Cameroon","41,892"
"88","El Salvador","41,707"
"89","Bolivia","41,462"
"90","Luxembourg","38,565"
"91","Latvia","37,065"
"92","Uganda","36,899"
"93","Ghana","34,155"
"94","Côte d'Ivoire","34,027"
"95","Trinidad and Tobago","33,566"
"96","Turkmenistan","33,415"
"97","Jordan","32,327"
"98","Afghanistan","32,005"
"99","Nepal","31,815"
"100","Macau","31,295"
"101","Bosnia and Herzegovina","30,543"
"102","Paraguay","29,345"
"103","Honduras","28,776"
"104","Cambodia","28,408"
"105","Estonia","27,686"
"106","Bahrain","27,067"
"107","Botswana","26,078"
"108","Albania","22,925"
"109","Equatorial Guinea","22,346"
"110","Senegal","21,900"
"111","Georgia","21,386"
"112","Cyprus","21,349"
"113","Gabon","21,106"
