"Application","Latest release date  
and version","Developed by","Platforms","Mainly Used For","License"
"3ds Max","""2015""","Autodesk","Microsoft Windows","Modeling, Animation (Video Games), Lighting, Rendering","Proprietary"
"3DView","2014-02-07 
0.1.10","Dmitry Trofimov","Mac OS X, Microsoft Windows, Chrome OS","Visualization, Sharing, Quality Control","Proprietary / free for commercial use"
"Afanche3D","2014-04-15 
v 3.1","Afanche Technologies, Inc.","Mac OS X, Microsoft Windows, Android, IOS","Visualization, Measurement, Collaboration","Proprietary"
"AC3D","2014-03-03 
v 7.2.17","Inivis","Linux, Mac OS X, Microsoft Windows","Modeling","Proprietary"
"AOI","2013-09-23 
 v 3.0","Peter Eastman","Java Virtual Machine supported platforms","Animation, Lighting, Modelling, Rendering","GPL"
"Blender","2014-10-03
v 2.72","Blender Foundation","Microsoft Windows, Mac OS X, Linux, BSD, Solaris, AmigaOS 4, MorphOS","Animation, Lighting, Modeling, Rendering, Video Game Creation, Visual 3D Effects, Sculpting, Basic Post-Production Video Editing","GPL 2+"
"Bryce","2010-12-23 
7.1.0.109","DAZ 3D","Microsoft Windows, Mac OS X","Animation, Landscape Modeling, Fractal Geometry","Proprietary"
"Carrara","2010-04-21 
8.0","DAZ 3D","Microsoft Windows, Mac OS X","Animation, Modeling","Proprietary"
"Cheetah 3D","2013-12-30
v 6.3","Dr. Martin Wengenmayer","Mac OS X","Animation, Modeling","Proprietary"
"Cinema 4D","R16","MAXON","Mac OS X, Microsoft Windows, Amiga OS","Animation, Lighting, Modeling, Visual 3D Effects, Rendering, Simulation","Proprietary"
"CityEngine","v 2013","Procedural","Mac OS X, Microsoft Windows, Linux","Procedural Modeling of 3D Cities","Proprietary"
"Clara.io","2013-07-09","Exocortex","Mozilla FireFox, Google Chrome, Microsoft Internet Explorer","Modeling, Animation, Rendering","Proprietary"
"Cobalt","2009-12-11
v8 SP2r3","Ashlar-Vellum","Mac OS X, Microsoft Windows","Modeling, Computer Aided Design, Animation","Proprietary"
"Electric Image Animation System","2009-05 
v8.0.","EIAS3D","Mac OS X, Microsoft Windows","Animation, Lighting, Rendering, Film, Television, Visual 3D Effects","Proprietary"
