"Title","Publisher","First published","Latest edition","Year","Pages","Entries (approx.)","Main accent","Pronunciation guide"
"Webster's Third New International Dictionary","Merriam-Webster","1961","3rd (ISBN 0-87-779201-1)","2002","2,783","263,000","American","Diacritical"
"Oxford English Dictionary (OED)","Oxford University Press","1895","2nd (20 vols., ISBN 0-19-861186-2)","1989","21,730","291,500","British","IPA"
"Oxford Dictionary of English","Oxford University Press","1998","3rd (ISBN 0-19-957112-0)","2010","2,112","355,000","British","IPA"
"New Oxford American Dictionary (NOAD)","Oxford University Press","2001","3rd (ISBN 0-19-539288-4)","2010","2,096","350,000","American","Diacritical"
"American Heritage Dictionary (AHD)","Houghton Mifflin Harcourt","1969","5th (ISBN 0-547-04101-2)","2011","2,074","70,000","American","Diacritical"
"Collins English Dictionary","HarperCollins Publishers","1979","11th (ISBN 0-00-743786-2)","2011","1,920","130,000","British","IPA"
"Title","Publisher","First published","Latest edition","Year","Pages","Entries (approx.)","Main accent","Pronunciation guide"
"Merriam-Webster's Collegiate Dictionary","Merriam-Webster","1898","11th (ISBN 0-8777-9809-5)","2003","1,664","165,000","American",""
"American Heritage College Dictionary","Houghton Mifflin Harcourt","2002","4th (ISBN 0-547-24766-4)","2010","1,664","","American",""
"Webster's New World College Dictionary","Webster's New World (John Wiley & Sons)","1953","4th (ISBN 0-7645-7125-7)","2004","1,736","163,000","American","Diacritical"
"Title","Publisher","First published","Latest edition","Year","Pages","Usage examples (approx.)","Main dialect"
"Merriam-Webster's Advanced Learner's English Dictionary","Merriam-Webster","2008","1st (ISBN 0-87779-550-9)","2008","2,032","160,000","American"
"Longman Dictionary of Contemporary English","Pearson-Longman","1978","5th (ISBN 1-408-21533-0)","2009","2,082","165,000","British"
"Macmillan English Dictionary for Advanced Learners","Macmillan Education","2002","2nd (ISBN 1-4050-2526-3)","2007","1,872","","British"
"Collins COBUILD Advanced Dictionary","Collins Cobuild","","6th (ISBN 9781424027514)","2008","2,080","","British"
"Cambridge Advanced Learner's Dictionary","Cambridge University Press","2003","4th (ISBN 9781107619500)","2013","1,810","","British"
"Oxford Advanced Learner's Dictionary","Oxford University Press","1948","8th (ISBN 0-19-479900-X)","2010","1,796","85,000","British"
