"Manufacturer","Model","Native IPv6 support?","Notes","Reference links"
"Allied Telesis","AR415S","Yes","Supports static and dynamic IPv6 routing",""
"Allied Telesis","AR550S / AR750S","Yes","Supports static and dynamic IPv6 routing",""
"Allied Telesis","AR570S / AR770S","Yes","Supports static and dynamic IPv6 routing",""
"Apple","AirPort Extreme (4th generation and newer)","Yes","Supports IPv6 over WAN or via a network tunnel, cannot route IPv6 directly over DSL.",""
"Apple","Time Capsule","Yes","Supports IPv6 over WAN or via a network tunnel, cannot route IPv6 directly over DSL.",""
"Apple","AirPort Express (2nd Generation)","Yes","Supports IPv6 over WAN or via a network tunnel, cannot route IPv6 directly over DSL.",""
"AVM","FRITZ!Box","Yes","most recent models (dsl, cable, lte) List",""
"Billion","BiPAC 7402XL","Yes","Supported as of firmware version 6.21.",""
"Billion","BiPAC 7402X","Yes","Supported as of firmware version 6.21.",""
"Billion","BiPAC 7402GXL","Yes","Supported as of firmware version 6.21.",""
"Billion","BiPAC 7402GX","Yes","Supported as of firmware version 6.21.",""
"Billion","BiPAC 7402NXL","No","",""
"Billion","BiPAC 7402NX","Yes","Supported as of firmware version 6.21.",""
"Billion","BiPAC 7402R2","No","Firmware version 5.74 no support for IPv6.",""
"Billion","BiPAC 7401VGP-R3","Yes","The recommended VoIP modem from Internode.",""
"Billion","BiPAC 7401VGP-X","No","",""
"Billion","BiPAC 7404VGP-X","Yes","",""
"Billion","BiPAC 7404VGO-M","No","Firmware version 5.74 no support for IPv6.",""
"Billion","BiPAC 7404VGO-X","Yes","",""
"Billion","BiPAC 7404VNP-X","Yes","",""
"Billion","BiPAC 7404VNO-X","Yes","",""
"Billion","BiPAC 7700N","No","",""
"Billion","BiPAC 7800","Yes","Supported as of firmware version 1.06e.",""
"Billion","BiPAC 7800N","Yes","Supported as of firmware version 1.06d.",""
"Billion","BiPAC 7800NL","Yes","",""
"Cisco","RV220W","Yes","Configuration is tricky but it does work.",""
"Cisco","830 Series","Yes","IPv6 supported by PLUS images of IOS release 12.3(4XG) forward.",""
