"Editor","Site","Latest version","Style, clone of","Cost (US$)","Software license","Open source","Browser support","Activity"
"Ace (editor)","Home, demo","1.1.3, 2014-03-08","Sublime Text / Microsoft Visual Studio","Free","New BSD License","Yes","Firefox 3.5+, Safari 4+, Chrome, IE 8+, Opera 11.5+","Yes"
"CodeMirror","Home, demo","4.7, 20-10-2014","plain textarea","Free","MIT-like","Yes","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+","Yes"
"Codenvy Editor","Home","2.10.17, 2014-01-17","Eclipse","-","Public Cloud","No","Firefox 3+, Chrome, Safari 3+, Internet Explorer 8+, Opera 9+","Yes"
"Orion","Home","5.0, 2014-02-26","Eclipse SWT StyledText, regular textarea","Free","dual-licensed: BSD 3-clause and EPL","Yes","Firefox 5+, Chrome 12+, Safari5+, Internet Explorer 9+","Yes"
"Monaco Editor","example","2013","Microsoft Visual Studio","used only by Microsoft","-","No","ie8+ Firefox 4+ Chrome","Yes"
"Markitup","Home, demo","1.1.14, 2013-02-04","Markup editor, no syntax highlight","Free","MIT, GPL","Yes","IE 6 & 7, Firefox 2 & 3, Safari 3.1, Opera 9+","Some"
"LDT","Home","2012-02-19","regular textarea","Free","MIT, GPL","Yes","Firefox 3.6+, IE8, Chromium 16, Midori 4.1, Opera 11, Epiphany","Some"
"Ymacs","Home, demo","0.5, 2012-03-28","Emacs","Free","BSD","Yes","Firefox, Chrome, Safari","Some"
"CodePress","Home","0.9.6, 2007-09-26","Microsoft Visual Studio","Free","LGPL","Yes","?","No"
"CodeTextArea","Home, demo","2009-06","Microsoft Visual Studio","Free","BSD","Yes","Dojo widget","No"
"EditArea","Home, demo","0.8.2, 2010-01-14","Microsoft Visual Studio","Free","LGPL","Yes","IE 6+, Firefox 1.5+, Safari 3+, Opera 9+, Chrome","No"
"Helene","Home, demo","0.9, unknown release date","Microsoft Visual Studio","Free","GPL","Yes","","No"
"9ne","Home","?","Emacs","Free","GPL","Yes","","No"
"jsvi","Home","?","vi","Free","GPL","Yes","","No"
"MDK-Editor","Home","2.10, 2008","Microsoft Visual Studio","Depends on use","Dual","Code is readable","tested to work on: IE 6, 7 - Firefox 2, 3 - Chrome","Yes"
"Micro","Home","2013","nano","Free","GPL","Yes","","Some"
"GitHub Atom","Home","Beta, 2014","Emacs, Vim and others","Free","Dual","Yes","Chrome","Yes"
"Feature","Ace (editor)","CodeMirror","Orion","CodePress","CodeTextArea","EditArea","Helene","markItUp!","MDK-Editor"
"Implementation","","nestable full parsers","pattern-based parser","pattern-based parser","","","","","parsers"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Syntax highlight","Yes","Over 60 languages","mixed mode: HTML + JavaScript and CSS, PHP, EJS; single mode: JavaScript, Java, JSON, CSS, Python, Ruby, XML, YAML (pluggable)","limited mixed mode: HTML + JavaScript (no CSS), PHP + HTML (no JavaScript or CSS), Java, Perl, SQL","only keywords","only one language at a time: Perl, PHP, CSS, Javascript, Python, HTML, XML, VB, C, CPP, SQL, Pascal, Basic, Brainf*ck","PHP","No","mixed mode: PHP + HTML + JavaScript + CSS, single-mode: PHP, Javascript, CSS, XML; extensible"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Syntax checking","HTML, CSS, JavaScript (using JSHint)","Some","JavaScript (using JSLint)","No","","","No","","HTML, JavaScript (using JSLint)"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Tab support","Yes","Yes","Yes","Some","","Yes","","","Yes"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Indent, new line keeps level","optional setting that is on by default","Yes","Yes","very limited","No","Yes","N/A (can't press Enter)","No","Yes"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Indent, syntax","Yes","Yes","Yes","","","No","","","No"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Indent, selected block","yes, including Shift+Tab","either automatically, or block-level indent/unindent","yes, including Shift+Tab","No","","yes, including Shift+Tab","","","yes, including Shift+Tab and using context menu"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Bracket matching","Yes","Yes","Yes","style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|Some","Ctrl+B; no angle bracket matching","","","No","matching bracket ([{<>}]) always highlighted"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"XML matching tag highlight","Yes","Yes","No","No","","","","","Yes"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Code folding","Yes","Yes","Some","No","No","No","No","No","No"
