"","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","Ext JS","Google Web Toolkit","jQuery","midori","MochiKit","MooTools","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient & SmartGWT","Wakanda","YUI","ZK","Webix"
"Version compared","3.0
September 2013","0.9.3
1 Jul 2010","1.2.14
1 Mar 2014","1.2.31
1 May 2014","0.2
June 2012","4.0
4 Jun 2014","1.10","3.0.rc1
24 Mar 2011","1.7.0
19 Aug 2014","2.0.1
30 Aug 2012","4.2
13 Mar 2013","2.4
September 2011","1.9.1
4 Feb 2013","2010.05
10 May 2010","1.4.2
17 Nov 2008","1.4.5
26 Feb 2012","13.1.4
6 Jun 2013","Prototype: 1.7.1
8 Aug 2012 
script.aculo.us: 1.9.0
23 Dec 2010","0.5
March 2009","4.0.1
9 Jul 2014","1.1.5
25 Feb 2011","2.0
3 May 2009","SmartClient: 10.0 
September 2014 
SmartGWT: 5.0 
September 2014","3
19 Dec 2012","3.10.0
23 Apr 2013","6.5.1.1 
13 Dec 2012  / 12 Sep 2012;","1
11 Jul 2013"
"Size","","Variable. 
Core size: 
40 kB (minified & gzipped)","36 kB (minified & compressed)","44 kB (gzipped)","20 kB (minified)","Variable","Variable. 
Base size: 
41 kB (minified & gzipped), 
155 kB (minified), 
598 kB (uncompressed)","","95 kB (minified & gzipped), 
340 kB (minified), 
1.5 MB (uncompressed)","<25 kB (core gzipped)","84–502 kB","Variable","32 KiB (minified & gzipped), 
93 KiB (minified), 
252 KiB (uncompressed)","9 kB (minified & gzipped), 
50 kB (uncompressed)","32–200 kB","Variable; 
7.3–65 KiB (YUI Compressor), 
101 KiB (uncompressed)","236 kB","46–278 kB","Variable","Variable, starting at 6 kB (gzipped)","520 kB","","100–500 kb (gzipped).","Variable","Variable; library core is 31 kB","Variable","110 kB (gzipped)"
"License","MIT License","MIT & GPL","MIT","MIT","MIT","GPL and Commercial","BSD & AFL","MPL, LGPL or GPL","MIT","Apache 2","GPL and Commercial","Apache","MIT","MIT","MIT & AFL","MIT","DEVEXPRESS EULA","MIT","Apache 2 & GPL","LGPL & EPL","Apache","Apache","LGPL & Commercial","GPL & Commercial","BSD","LGPL & GPL & ZOL","GPL & Commercial"
"Source language","JavaScript","?","JavaScript","JavaScript + HTML + CSS","JavaScript","JavaScript","JavaScript + HTML","JavaScript and/or Java","JavaScript","JavaScript","JavaScript","Java","JavaScript","?","?","JavaScript","JavaScript + HTML5 + CSS3","JavaScript","Python","JavaScript","?","?","Server: Java 
Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both)","Javascript + HTML + CSS","Javascript + HTML + CSS","XML + Java (Javascript Optional)","JavaScript"
"Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","Ext JS","Google Web Toolkit","jQuery","midori","MochiKit","MooTools","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient and SmartGWT","Wakanda","YUI","ZK","Webix"
"Feature detection","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","","Yes","No","Yes","No","No","Yes","Yes","No","","Yes","No","No","Partial","Partial","Yes","No","Yes"
"DOM wrapped","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"XMLHttpRequest
data retrieval","Yes","Yes","Yes","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes"
"[WebSocket]","Yes","Yes","","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"Server push data retrieval","Yes","","","","","","Yes","","","","Yes","Yes","Yes","","","","Yes","","","","","","Yes","","Via Plugin","Yes",""
"Other data retrieval","Yes: XML, HTML","Yes: XML","","Yes:  XML, HTML,CSV","","Yes: XML, CSV, HTML","Yes: XML, HTML, CSV, ATOM","","","","Yes: XML, SOAP, AMF, Ext.Direct","Yes: RPC, RequestFactory","Yes: XML, HTML","","","Yes: XML, HTML","Yes: XML, HTML, OData, REST","","","","","","Yes: XML, WSDL, RSS, and Java-based SQL, Hibernate, POJO adapters","Yes: JSON-RPC, Wakanda REST","Yes","","Yes:  XML, HTML,CSV"
"Drag and drop","Yes: With keyboard accessibility","Yes","","","No","Yes","Yes","Yes","","","Yes","With plugin","Yes","Yes","Yes","Yes","Yes","Yes","Depends","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Simple visual effects","Yes","Yes","Yes","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Animation / 
 advanced visual effects","","Yes","Yes","CSS","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Event handling","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Back button support / 
 history management","","Yes","","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","With plugins","Yes","","With plugin","Yes","Yes","Yes","Yes","No","Yes","Yes","","Yes","Yes","Yes"
"Input form widgets & validation","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes, Validation requires plugin","With plugins","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","ExtJS","Google Web Toolkit","jQuery","midori","MochiKit","MooTools","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient and SmartGWT","Wakanda","YUI","ZK","Webix"
"Grid","Yes","Yes","","Template","No","Yes","Yes","Yes","","","Yes","Yes","With plugins","No","","With plugin","With plugins","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Hierarchical Tree","Yes","Yes","","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","With plugins","No","","With plugins","No","","Yes","Yes","Yes","","Yes","Yes (Auto Form)","Yes","Yes","Yes"
"Rich text editor","","Yes","No","With Plugins","No","Yes","Yes","Yes","","","Yes","Yes","With plugins","No","","Yes","No","","Yes","Yes","No","No","Yes","Yes","Yes","Yes","With plugins"
"Autocompletion tools","","","No","Yes","No","Yes","Yes","","","","Yes","Yes","Yes","Yes","","With plugin","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HTML generation tools","Yes","Yes","No","Yes","Yes","Yes","Yes","","","","Yes","Yes","Yes","No","","Yes","With plugins","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Widgets themeable / skinnable","Yes","Yes","","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes"
"GUI resizable panels and modal dialogs","Yes","Yes","","Yes","","Yes","Yes","","","Yes","Yes","Yes","With plugins","","","Yes","Partial","","","Yes","","","Yes","Yes","Yes","Yes","Yes"
"GUI page layout","Yes","Yes","","Yes","","Yes","Yes","","","","Yes","Yes","With plugin","","","Yes","Yes","","","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Canvas support","","Yes","","","","Yes","Yes","","","Yes","Yes","Yes","With plugin","","","Yes","No","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Mobile/tablet support (touch events)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","With plugin","With plugin","","","With plugin","Yes","","","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Accessibility / 
 graceful degradation","Yes","No","Yes","Relies on built-in ARIA attributes","Yes","No","Yes","","No","Yes","Yes","Yes","Yes","","","Yes","Yes","","","No","","","Degradation: No
Accessibility: Yes","","Yes","Yes","No"
"ARIA compliant","Yes","","","","","No","Yes","","","","Yes","","Yes","","","","No","","","No","","","Yes","","Yes","Yes","No"
"Developer tools, Visual design","Yes","No","","Visual Studio, CodeMirror Plugin","No","Yes","Yes","In development","","in progress","Yes","Yes","Yes","","","Yes","With plugins","","No","Yes","","","Yes","Yes","Yes","Yes","In development"
"Offline storage","","","","Yes","No","Yes","No","","","Yes","Yes","Via Google Gears","With plugin","No","","","Yes","","Via Pyjamas-Desktop","Yes","No","","Yes","planned","Via plugin","Yes","Yes"
"Cross-browser 2d Vector Graphics","","Yes","","With plugins","","","Yes","","","","Yes","","With plugin","","","Yes","With plugins","","Yes","","","","Yes","Yes (via Raphael)","Yes","Yes","No"
"Charting & Dashboard","","Yes","","","","Yes","Yes","","","","Yes","","With plugin","","","","With plugins","","","","","","Yes","Yes","Yes","Yes","Yes"
"RTL Support in UI Components","","","","CSS","","Yes","Yes","","","","Yes","","Depends on the plugin used","","","","No","","","","","","Yes","","","","No"
"Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","Browser Support","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","Ext JS","Google Web Toolkit","jQuery","midori","MochiKit","MooTools","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient and SmartGWT","Wakanda","YUI","ZK","Webix"
"Internet Explorer","6+","6+","8+","8+","6+","6+","6+","6+","6+","8+","6+","6+","6+","6+","6","6+","9+","6+","6+","6+","6+","5.5+","6+","9+","6+","6+","8+"
"Mozilla Firefox","2+","1+","4+","4+","2+","1+","3+","1.5+","3+",">4","3.6+","1+","2+","1.5+","1.0.7, 1.5b2","2+","17+","1.5+","1+","2+","1.5+","1+","1+","4+","3+","2.0+","3+"
"Safari","3+","3+","5+","4+","3+","2.0+","4","3+","4+",">5","4+","3+","3+","2+","2.0.2","3+","5+","2.0.4+","2+","3+","","2.0.3","3+","5+","4.0","3+","4+"
"Opera","9+","9.6+","11+","11+","9+","9+","10.50+","9+","10.6+","","11+","9+","9+","9+","8.5","9+","11+","9.25+","9+","9+","9+","","9+","","10.0+","9+","9+"
