"Name","Vendor","License","Transactional","Under active development"
"Archive","Oracle","GPL","No","Yes"
"Aria","Monty Program","GPL","No","Yes"
"Berkeley DB","Oracle","","","No"
"BlitzDB","","GPL","No","Yes"
"CONNECT","Monty Program","GPL","","Yes"
"CSV","Oracle","GPL","No","Yes"
"Falcon","Oracle","GPL","Yes","No"
"InnoDB","Oracle","GPL","Yes","Yes"
"MyISAM","Oracle","GPL","No","No"
"NDB","Oracle","","Yes","Yes"
"InfiniDB","Calpont","GPL","Yes","Yes"
"TokuDB","TokuTek","Modified GPL","Yes","Yes"
"WiredTiger","WiredTiger","GPL","Yes","Yes"
"XtraDB","Percona","GPL","Yes","Yes"
"Federated","Oracle","GPL","","No"
"FederatedX","Monty Program","GPL","","Yes"
"CassandraSE","Monty Program","GPL","No","Yes"
"sequence","Monty Program","GPL","Yes","Yes"
"mroonga","Monty Program","GPL","","Yes"
"SphinxSE","Sphinx Technologies","GPL","No","Yes"
