"MODEL","COLOR","CPU","OS","DISPLAY","GRAPHICS","RAM","STORAGE","OPTICAL DRIVE","WIRELESS","BATTERY","WEIGHT","FINGER PRINT SENSOR"
"VPC SA26GG/T","T-Copper Brown","2nd Gen Intel
 CoreTM i7-2620M Processor,
 2.70 GHz","Windows 7 Professional
 (64-bit)","13.3 (33.78cms)
 wide(WXGA:1600x900)
(LED backlight)","Intel HD Graphics 3000
 (STAMINA MODE) /Radeon™ HD 6630M
 (SPEED MODE) 1 GB)","8 GB DDR3 SDRAM","SSD 256GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","5.5hours*","1.61 kg","Yes"
"VPC SA35GG/BI/T","BI-Matte,Black
 T-Copper,Brown","2nd Gen Intel
 CoreTM i7-2640M Processor,
 2.80 GHz","Windows 7 Professional
 (64-bit)","13.3 (33.78cms)
 wide(WXGA:1600x900)
(LED backlight)","Intel HD Graphics 3000
 (STAMINA MODE) /Radeon™ HD 6630M
 (SPEED MODE) 1 GB)","6 GB DDR3
 SDRAM","HDD 
 750 GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 hours*","1.68 kg","Yes"
"VPC SB38GG/B/S","B-Black,S-Silver","2nd Gen Intel
 CoreTM i7-2640M Processor,
 2.80 GHz","Windows 7 Professional
 (64-bit)","13.3 (33.78cms) wide
(WXGA:1366x768)
(LED backlight)","Intel HD Graphics 3000(STAMINA MODE) 
/Radeon™ HD6470M (SPEED MODE)
(512 MB)","4 GB DDR3 SDRAM","HDD 
 750 GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 hours*","1.72* Kg","Yes"
"VPC SB37GG/B/S","B-Black,S-Silver","2nd Gen Intel CoreTM i5-2520M Processor
,2.50 GHz","Windows 7 Professional
 (64-bit)","13.3 (33.78cms) wide
(WXGA:1366x768)
(LED backlight)","Intel HD Graphics 3000(STAMINA MODE) 
/Radeon™ HD6470M (SPEED MODE)
(512 MB)","4 GB DDR3 SDRAM","HDD 
 750 GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 hours*","1.72* Kg","Yes"
"VPC SB36FN/B/L/P/S","B-Black,L-Blue
P-Pink,S-Silver","2nd Gen Intel CoreTM
 i5-2430M Processor 2.40 GHz","Windows 7
 HomePremium","13.3 (33.78cms) wide
(WXGA:1366x768)
(LED backlight)","Intel HD Graphics 3000(STAMINA MODE) 
/Radeon™ HD6470M (SPEED MODE)
(512 MB)","4 GB DDR3 SDRAM","500 GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 hours*","1.72* Kg","Yes"
"VPC SE17GG/B","B-Black","2nd Gen Intel 
CoreTM i7- 2640M Processor
 2.80 GHz","Windows 7 Professional","15.5(39.37cms) wide
(Full HD:1920 x1080) (LED backlight)","Intel HD Graphics 3000
(STAMINA MODE) /Radeon™ HD6630M
 (SPEED MODE)(1 GB)","4 GB DDR3 SDRAM","640 Gb","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","5 Hours*","1.96","Yes"
"MODEL","COLOR","CPU","OS","DISPLAY","GRAPHICS","RAM","STORAGE","OPTICAL DRIVE","WIRELESS","BATTERY","WEIGHT","FINGER PRINT SENSOR"
"VPCCB48FN/B","B-Black","2nd Gen Intel
 CoreTM i7-2640M Processor,
 2.80 GHz","Windows 7
 Home Premium","15.5 (39.37cms) wide 
(Full HD: 1920 x1080) 
(LED backlight)","Intel HD Graphics 3000
 (STAMINA MODE)
 Radeon™ HD 6630M
 1 GB)","6 GB DDR3 SDRAM","750 GB HDD","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 cell 
 Battery","2.85 kg","No"
"VPC SA35GG/BI/T","B-Black 
 O-Orange 
 Green","2nd Gen Intel
 CoreTM i5-2450M Processor,
 2.50 GHz","Windows 7
 Home Premium","15.5 (39.37cms) wide 
(Full HD: 1920 x1080) 
(LED backlight)","Intel HD Graphics 3000
 (STAMINA MODE)
 Radeon™ HD 6630M
 1 GB)","4 GB","HDD 
 640 GB","DVD SuperMulti 
Drive","Integrated Wireless LAN
 IEEE 802.11 a/b/g/n","6 cell 
 Battery","2.85 kg","No"
