"","Editing style","Native operating systems","Latest stable version","Costs","License","Configurable","Integrated viewer","Inverse search","DDE support","Organises Projects","Menu for inserting symbols","Document comparison","Spell-checking","Multiple undo-redo","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state","Unicode support","RTL Support",""
"AUCTeX","Source","L, M, W","11.87 (2012-11-30)","Free","GPL","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AUCTeX"
"BaKoMa TeX Home","WYSIWYG / Source","W, M, L","10.40  (2014-04-14)","cost","Proprietary","Yes (scriptable)","Yes 
 (Live update)","Yes","Yes","Partial","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Partial","Yes","?","BaKoMa TeX"
"Eclipse (By plugin TeXlipse)","Source","L, M, W","1.5.0 (2011-11-26)","Free","EPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Eclipse (By plugin TeXlipse)"
"EmilTex Home","Source","W","1.2.80 (2014)","Free","Proprietary","Yes","Yes","Yes","N/A","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","?","EmilTex Home"
"Fidus Writer Home","Source / partial-WYSIWYG","B","1.1-beta  (2014-04-01)","Free","AGPL","?","Yes","?","?","No","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","?","Fidus Writer Home"
"Geany LaTeX Plugin Home","Source","L,W","0.50 (2010-06-12)","Free","GPL","Yes","Yes","No","N/A","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","?","Geany LaTeX Plugin"
"Gedit LaTeX Plugin Home","Source","L","3.8 (2013-07-11)","Free","GPL","Yes","Yes","Yes","N/A","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Gedit LaTeX Plugin"
"Gummi","Source","L, W","0.6.5 (2012-10-20)","Free","MIT","Yes","Yes (Live update)","Yes","N/A","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","?","Gummi"
"Inlage","Source","W","5 (2013-06-27)","Non-free","Proprietary","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Inlage"
"JaxEdit Home","Source","B","0.30(2013-12-13)","Free","Free","Yes","Yes","Yes","N/A","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","?","JaxEdit"
"JLatexEditor Home","Source","L (M, W)","0.2.10","Free","GPL","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Partial","No","JLatexEditor"
"SCaViS","Source","L (M, W)","1.7 ( 2014-04-01)","Free","Free","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","SCaViS"
"Kile","Source","L (M, W)","2.1.3 (2012-09-23)","Free","GPL","Yes","Yes (Quick preview)","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Kile"
"LaTeXila","source","L","2.12 (2014-03-21)","Free","Free","Yes","No","Planned","No","Yes","Yes","No","Yes (in beta)","Yes","Planned","Yes","Yes","Yes","Yes","(just same files)","Yes","?","LaTeXila"
"LatexLab","Source","B","?","Free","Apache License","?","Yes","Yes","N/A","?","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","?","LatexLab"
"Latexian","Source","M","1.0.6","cost","Proprietary","Yes","Yes (Live Preview)","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Latexian"
"Sublime Text (By plugin LaTeXing)","Source","L, M, W","1.2.1(2014-06-14)","Non-free","Proprietary","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Sublime Text (By plugin LaTeXing)"
"LEd","Source","W","0.53 (2009-10-09)","Free","Proprietary","?","Yes (dvi)","Yes","?","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","No (just same files)","No","?","LEd"
"LyX","WYSIWYM","L, M, W","2.1.2.1 (2014-10-30)","Free","GPL","Yes","Yes (InstantPreview)","Yes","?","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","LyX"
"MeWa","Source","W","1.4.0 (2007-06-06)","Free","GPL","Yes","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","?","MeWa"
"Notepad++","Source","W","6.6.6(13-06-2014)","Free","GPL","Yes","No, but can be integrated","Yes, with SumatraPDF","Yes, with a DDE client","Yes","Partial","Yes","Yes","Yes","Yes","Yes","No","Partial","Yes","Yes","Yes","Yes","Notepad++"
"Papeeria Home","Source","B","N/A","Free","Proprietary","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Papeeria"
"Scientific WorkPlace","WYSIWYM","W","5.5","cost","Proprietary","Yes","Yes (TrueTex)","N/A","?","?","Yes","No","Yes","No (one level)","No","?","?","N/A","Yes","No","Yes","?","Scientific WorkPlace"
"ShareLaTeX Home","Source","B","N/A","Free","AGPL","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","ShareLaTeX"
"cloudTeX home","Source","B","20.11.2013","pricing","Proprietary","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","cloudTeX"
"TeXCoding Home","Source","W","2011.6","cost","Proprietary","Yes","Yes (pdf, dvi)","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","?","Yes","Yes","No","Yes","?","TeXCoding"
"","Editing style","Native operating systems","Latest stable version","Costs","License","Configurable","Integrated viewer","Inverse search","DDE support","Organises Projects","Menu for inserting symbols","Document comparison","Spell-checking","Multiple undo-redo","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state","Unicode support","RTL Support","/!\ This cell is not defined /!\"
"Texmaker","Source","L, M, W","4.3 (2014-08-01)","Free","GPL2","Yes","Yes","Yes","No","Partial (master file)","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Texmaker Home"
"TeXnicCenter","Source","W","2.02 Stable (September 29, 2013)","Free","GPL","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","since v2.0","since v2.0","Yes","Yes","Yes","Yes","since v2.0","?","TeXnicCenter"
"Texpad Home","Source","M, iOS","1.6.12","Non-free","Proprietary","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Texpad"
