"NATO Rank code","British Army and Royal Marines","U.S. Army, USAF
and USMC","RAF","Royal Navy","U.S. Navy,
U.S. Coast Guard,
and U.S. Public Health Service","U.S. code"
"OF-10","Field Marshal (Army)
Captain General (RM)","General of the Army
General of the Air Force","Marshal of the Royal Air Force (MRAF)","Admiral of the Fleet","Fleet Admiral (FADM) (U.S. Navy only)","-"
"OF-9","General (Gen)","General (GEN/Gen/Gen)","Air Chief Marshal (Air Chf Mshl)","Admiral (Adm)","Admiral (ADM)","O-10"
"OF-8","Lieutenant‑General (Lt Gen)","Lieutenant General (LTG/Lt Gen/LtGen)","Air Marshal (Air Mshl)","Vice‑Admiral (VAdm)","Vice Admiral (VADM)","O-9"
"OF-7","Major‑General (Maj Gen)","Major General (MG/Maj Gen/MajGen)","Air Vice‑Marshal (AVM)","Rear‑Admiral (RAdm)","Rear Admiral (Upper Half) (RADM)","O-8"
"OF-6","Brigadier (Brig)","Brigadier General (BG/Brig Gen/BGen)","Air Commodore (Air Cdre)","Commodore (Cdre)","Rear Admiral (Lower Half) (RDML)","O-7"
"OF-5","Colonel (Col)","Colonel (COL/Col/Col)","Group Captain (Gp Capt)","Captain (Capt)","Captain (CAPT)","O-6"
"OF-4","Lieutenant‑Colonel (Lt Col)","Lieutenant Colonel (LTC/Lt Col/LtCol)","Wing Commander (Wg Cdr)","Commander (Cdr)","Commander (CDR)","O-5"
"OF-3","Major (Maj)","Major (MAJ/Maj/Maj)","Squadron Leader (Sqn Ldr)","Lieutenant‑Commander (Lt Cdr)","Lieutenant Commander (LCDR)","O-4"
"OF-2","Captain (Capt)","Captain (CPT/Capt/Capt)","Flight Lieutenant (Flt Lt)","Lieutenant (Lt)","Lieutenant (LT)","O-3"
"OF-1","Lieutenant (Lt)","First Lieutenant (1LT/1st Lt/1stLt)","Flying Officer (Fg Off)","Sub‑Lieutenant (SLt)","Lieutenant, Junior Grade (LTJG)","O-2"
"OF-1","Second Lieutenant (2Lt) / Ensign","Second Lieutenant (2LT/    2d Lt/ 2ndLt)","Pilot Officer (Plt Off)","Midshipman (Mid)","Ensign (ENS)","O-1"
"OF(D)","","","Acting Pilot Officer (APO) [Non-Graduate Direct Entrant Officers only]","","",""
"Student Officer","Officer Cadet (OCdt)","Cadet / USMC Midshipman (MIDN) / Officer Candidate / Officer Trainee (OT)","Officer Cadet (OC)","Officer Cadet (OCdt)","USN Midshipman (MIDN) / USCG Cadet or Officer Candidate (OC)",""
"NATO Rank code","US Army","USAF","USMC","USMC","USN and USCG","British Army","Royal Marines","Royal Navy","RAF"
"OR-9","Sergeant Major of the Army22","Chief Master Sergeant of the Air Force (CMSAF) 22","Sergeant Major of the Marine Corps 22","Sergeant Major of the Marine Corps 22","Master Chief Petty Officer of the Navy (MCPON)22
 or Master Chief Petty Officer of the Coast Guard (MCPOCG) 22","Warrant Officer Class 11
 (WO1) (most senior appointments9
)","Warrant Officer Class 11
 (WO1) (Regimental Sergeant Major)","Warrant Officer of the Naval Service (WONS) 22","Chief of the Air Staff's Warrant Officer (CASWO) 22"
"OR-9","Command Sergeant Major (CSM)","Command Chief Master Sergeant (CMSgt)","Sergeant Major (SgtMaj)18","Master Gunnery Sergeant (MGySgt)18","Fleet or Force Master Chief Petty Officer (FMCPO)","Warrant Officer Class 11
 (WO1) (Regimental Sergeant Major etc.11
)","Warrant Officer Class 11
 (WO1) (Regimental Sergeant Major)","Warrant Officer Class 11
 (WO1) (other appointments)","Station Warrant Officer1
 (SWO)"
"OR-9","Command Sergeant Major (CSM)","Command Chief Master Sergeant (CMSgt)","Sergeant Major (SgtMaj)18","Master Gunnery Sergeant (MGySgt)18","Command Master Chief Petty Officer (CMCPO)","Warrant Officer Class 11
 (WO1) (Regimental Sergeant Major etc.11
)","Warrant Officer Class 11
 (WO1) (Regimental Sergeant Major)","Warrant Officer Class 11
 (WO1) (other appointments)","Station Warrant Officer1
 (SWO)"
"OR-9","Sergeant Major (SGM)","Chief Master Sergeant (CMSgt)","Sergeant Major (SgtMaj)18","Master Gunnery Sergeant (MGySgt)18","Master Chief Petty Officer (MCPO)","Warrant Officer Class 11
 (WO1) (other appointments)","Warrant Officer Class 11
 (WO1) (other appointments)","Warrant Officer Class 11
 (WO1) (other appointments)","Warrant Officer1
 (WO) / Master Aircrew (MAcr)"
"OR-8","First Sergeant (1SG)18","Senior Master Sergeant (SMSgt)","First Sergeant (1st Sgt)18","Master Sergeant 18","Senior Chief Petty Officer (SCPO)","Warrant Officer Class 21
 (WO2) (Company Sergeant Major etc.12
)","Warrant Officer Class 21
 (WO2)3","Warrant Officer Class 21
 (WO2)3","No OR-8 equivalent"
"OR-8","Master Sergeant (MSG)18","Senior Master Sergeant (SMSgt)","First Sergeant (1st Sgt)18","Master Sergeant 18","Senior Chief Petty Officer (SCPO)","Warrant Officer Class 21
 (WO2) (Company Sergeant Major etc.12
)","Warrant Officer Class 21
 (WO2)3","Warrant Officer Class 21
 (WO2)3","No OR-8 equivalent"
"OR-7","Sergeant First Class (SFC)","Master Sergeant (MSgt)","Gunnery Sergeant (GySgt)","Gunnery Sergeant (GySgt)","Chief Petty Officer (CPO)","Colour Sergeant (CSgt)/Staff Sergeant (SSgt)","Colour Sergeant (CSgt)","Chief Petty Officer (CPO)","Flight Sergeant2
 (FS)"
"OR-7","Sergeant First Class (SFC)","Master Sergeant (MSgt)","Gunnery Sergeant (GySgt)","Gunnery Sergeant (GySgt)","Chief Petty Officer (CPO)","Colour Sergeant (CSgt)/Staff Sergeant (SSgt)","Colour Sergeant (CSgt)","Chief Petty Officer (CPO)","Chief Technician 7
 (Chf Tech or CT)"
"OR-6","Staff Sergeant (SSG)","Technical Sergeant (TSgt)","Staff Sergeant (SSgt)","Staff Sergeant (SSgt)","Petty Officer 1st Class (PO1)","Sergeant (Sgt)","Sergeant (Sgt)","Petty Officer (PO)","Sergeant (Sgt)"
"OR-5 4","Sergeant (SGT)","Staff Sergeant (SSgt)","Sergeant (Sgt)","Sergeant (Sgt)","Petty Officer 2nd Class (PO2)","Sergeant (Sgt)","Sergeant (Sgt)","Petty Officer (PO)","Sergeant (Sgt)"
"OR-4","Corporal (CPL)","Senior Airman (SrA)","Corporal (Cpl)","Corporal (Cpl)","Petty Officer 3rd Class (PO3)","Corporal (Cpl)","Corporal (Cpl)","Leading Hand (LH)","Corporal (Cpl)"
"OR-4","Specialist (SPC)","Senior Airman (SrA)","Corporal (Cpl)","Corporal (Cpl)","Petty Officer 3rd Class (PO3)","Corporal (Cpl)","Corporal (Cpl)","Leading Hand (LH)","Corporal (Cpl)"
"OR-3","Private First Class (PFC)","Airman First Class (A1C)","Lance Corporal (LCpl)","Lance Corporal (LCpl)","Seaman (SN)19","Lance Corporal (LCpl)","Lance Corporal (LCpl)","Able Seaman 1(AB1)6","Lance Corporal (LCpl) (RAF Regt only)
Junior Technician  (Jnr Tech or JT) or Senior Aircraftman (Technician) (SAC(T))7"
"OR-2","Private (PV2)","Airman (Amn)","Private First Class (PFC)","Private First Class (PFC)","Seaman Apprentice (SA)20","Private (Pte) etc.17
 (Classes 1 to 3) etc.","Marine6
 (Mne) / Musician (Mus) / Bugler","Able Seaman 2 (AB2)6","Senior Aircraftman (SAC)
Leading Aircraftman (LAC)"
"OR-1","Private (PV1)","Airman Basic (AB)","Private (Pvt)","Private (Pvt)","Seaman Recruit (SR)21","Private (Pte) etc.17
 (Class 4) / Junior","Marine6
 (Mne) / Musician (Mus) / Bugler","New Entry","Aircraftman (AC)"
