"Product","Vendor","Edition","Last release date","Java EE
compatibility","Servlet
spec","JSP
spec","License"
"ColdFusion","Adobe Systems","10.0.11","2013-07-09","6","2.5","2.1","Proprietary"
"Dynamo AS","ATG","6.3","2005-03","1.3","2.3","1.2","Proprietary"
"Enhydra","Lutris","5.1.9","2005-03-23","No","","","GPL"
"Enterprise Server","Borland","6.7","2007-01","1.4","2.4","2.0","Proprietary"
"Geronimo","ASF","3.0.1","2013-05-28","6 Full Platform","3.0","2.2","Apache License"
"GlassFish","GlassFish Community","4.1","2014-09","7 Full Platform","3.1","2.3","CDDL, GPL"
"GlassFish Server","Oracle Corporation","9.1","2007-09-17","5","2.5","2.1","Proprietary"
"iPlanet Web Server","Oracle Corporation","7.0u5","2007-12-21","Yes","2.5","2.1","Proprietary"
"JBoss Enterprise Application Platform","Red Hat","6.2.0","2013-12-05","6 Full Platform","3.0","2.2","LGPL"
"Jetty","Eclipse Foundation","9.1.5","2014-05-05","7 (partial)","3.1","2.3","Apache 2.0, EPL"
"JEUS","TmaxSoft","7","2012-06","6 Full Platform","3.0","2.2","Proprietary"
"JOnAS","OW2 Consortium (formerly ObjectWeb)","5.3","2013-10-04","6 Web Profile","3.0","2.2","LGPL"
"JRun","Adobe Systems","4 updater 7","2007-11-06","1.3","2.3","1.2","Proprietary"
"NetWeaver Application Server","SAP AG","7.3","2011-05-31","5","2.5","2.1","Proprietary"
"Oracle Containers for J2EE","Oracle Corporation","10.1.3.5.0","2009-08","1.4","2.4","2.0","Proprietary"
"Orion Application Server","IronFlare","2.0.7","2006-03-09","1.3","2.3","1.2","Proprietary"
"Resin Servlet Container (Open Source)","Caucho Technology","4.0.36","2013-04-25","6 Web Profile","3.0","2.2","GPL"
"Resin Professional Application Server","Caucho Technology","4.0.36","2013-04-25","6 Web Profile","3.0","2.2","proprietary"
"Siwpas","MechSoft","2.0.0","2011-07-29","yes","3.0","2.2","Proprietary"
"TomEE","ASF","1.6.0","2013-11-20","6 Web Profile","3.0","2.2","Apache License"
"WebLogic Server","Oracle Corporation (formerly BEA Systems)","12.1.3","2014-06-26","6 Full Platform","3.0","2.2","Proprietary"
"WebObjects","Apple Inc.","5.4.3","2008-09-15","partial","","","Proprietary"
"IBM WebSphere Application Server","IBM","8.5.5.3","2014-08-26","6 Full Platform","3.1","2.2","Proprietary"
"IBM WebSphere Application Server Liberty Core","IBM","8.5.5.3","2012-06-15","6 Web Profile","3.1","2.2","Proprietary"
"WebSphere AS Community Edition","IBM","3.0.0.4","2013-06-21","6 Full Platform","3.0","2.2","Proprietary"
"WildFly","Red Hat","8.1.0.Final","2014-05-30","7 Full Platform","3.1","2.3","LGPL"
