"Birth control method","Brand/common name","Typical-use failure rate (%)","Perfect-use failure rate (%)","Type","Implementation","User action required"
"Implanon","the  implant","0.05 
(1 of 2000 women)","0.05","Progestogen","Subdermal implant","3 years (4 years off-label)"
"Jadelle (lower-dose)","the implant","0.05","0.05","Progestogen","Subdermal implant","5 years"
"Vasectomy","male sterilization","0.15 
(1 of 666)","0.1","Sterilization","Surgical procedure","Once"
"Combined injectable","Lunelle, Cyclofem","0.2 
(1 of 500)","0.2","Estrogen + progestogen","Injection","Monthly"
"IUD with progestogen","Mirena","0.2","0.2","Intrauterine & progestogen","Intrauterine","5-7 years"
"Essure","female sterilization","0.26 
(1 of 384)","0.26","Sterilization","Surgical procedure","Once"
"Tubal ligation","female sterilization","0.5 
(1 of 200)","0.5","Sterilization","Surgical procedure","Once"
"IUD with copper","Paragard, Copper T, the coil","0.8 
(1 of 125)","0.6","Intrauterine & copper","Intrauterine","3 to 12+ years"
"Symptoms-based fertility awareness","basal body temperature, cervical mucus","1.8  
(1 of 55)","0.6","Behavioral","Observation and charting","Throughout day or daily"
"LAM for 6 months only; not applicable if menstruation resumes","ecological breastfeeding","2 
(1 of 50)","0.5","Behavioral","Breastfeeding","Every few hours"
"Depo Provera","the shot","3 
(1 of 33)","0.3","Progestogen","Injection","12 weeks"
"Lea's Shield and spermicide used by nulliparous","","5 
(1 of 20)","no data","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"FemCap and spermicide","cervical cap","7.6 (estimated) 
(1 of 13)","no data","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Combined oral contraceptive pill","the Pill","9 
(1 of 11)","0.3","Estrogen & progestogen","Oral medication","Daily"
"Contraceptive patch","Ortho Evra, the patch","8 
(1 of 12)","0.3","Estrogen & progestogen","Transdermal patch","Weekly"
"NuvaRing","the ring","9 
(1 of 11)","0.3","Estrogen & progestogen","Vaginal insertion","In place 3 weeks / 1 week break"
"Progestogen only pill","POP, minipill","9","0.3","Progestogen","Oral medication","Daily"
"Ormeloxifene","Saheli, Centron","9","2","SERM","Oral medication","Weekly"
"Plan B One-Step®","levonorgestrel","12.5 
(1 of 8)","12.5","emergency contraception pill","mouth","Every act of intercourse"
"Male latex condom","Condom","15 
(1 of 6)","2","Barrier","Placed on erect penis","Every act of intercourse"
"Testosterone injection","Testosterone Undecanoate","6.1 
(1 of 16)","1.1","Testosterone","Intramuscular Injection","Every 4 weeks"
"Lea's Shield and spermicide used by parous","","15 
(1 of 6)","no data","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"Diaphragm and spermicide","","16 
(1 of 6)","6","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Prentif cervical cap and spermicide used by nulliparous","","16","9","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"Today contraceptive sponge used by nulliparous","the sponge","16","9","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Coitus interruptus","withdrawal method, pulling out","18 
(1 of 5)","4","Behavioral","Withdrawal","Every act of intercourse"
"Female condom","","21 
(1 of 4.7)","5","Barrier","Vaginal insertion","Every act of intercourse"
"Standard Days Method","CycleBeads, iCycleBeads","25 
(1 of 4)","5","Behavioral","Calendar-based","Daily"
"Knaus-Ogino method","the rhythm method","25","9","Behavioral","Calendar-based","Daily"
"Spermicidal gel, foam, suppository, or film","","29 
(1 of 3)","18","Spermicide","Vaginal insertion","Every act of intercourse"
"Today contraceptive sponge used by parous","the sponge","32 
(1 of 3)","20","Barrier & spermicide","Vaginal insertion","Every act of intercourse"
"Prentif cervical cap and spermicide used by parous","","32","26","Barrier + spermicide","Vaginal insertion","Every act of intercourse"
"None (unprotected intercourse)","","85 
(6 of 7)","85","n/a","n/a","n/a"
"Birth control method","Brand/common name","Typical-use failure rate (%)","Perfect-use failure rate (%)","Type","Delivery","User action required"
