"Name","Platform","License","Windows builders","Java builders","Other builders","Notification","IDE Integration","Other Integration"
"AnthillPro","Cross-platform","Proprietary","MSBuild, NAnt, Visual Studio","Ant, Maven 1, 2, & 3","Shell script, Batch script, Cross-platform command-line, Groovy script, Make, RTC Jazz, TFS Build, Custom Script Interpreter","E-mail, XMPP/Jabber, RSS, Systray","Eclipse, Visual Studio","(many)"
"Apache Continuum","JDK, Servlet Container","Apache 2.0","Unknown","Maven 1 & 2 & 3","Shell script","Mail, Jabber and Google Talk, MSN, IRC, report deployment with wagon","Unknown","Unknown"
"Apache Gump","Python","Apache 2.0","Unknown","Ant, Maven 1","Unknown","E-mail","Unknown","Unknown"
"AppVeyor CI","Hosted","Proprietary","Visual Studio, MSBuild, Psake","No","Custom script, PowerShell","E-mail","No","GitHub, Bitbucket, Kiln, Windows Azure"
"AutoDE","Python","Proprietary","MSBuild, Visual Studio","Ant, Maven 1 & 2","Yes (common command-line builders)","E-mail","No","Unknown"
"Automated Build Studio","Windows","Proprietary","IncrediBuild, MSBuild, NAnt","Ant","Unknown","E-mail, Windows Messenger, MSN Messenger, Windows Live Messenger, ICQ","Visual Studio","Unknown"
"Bamboo","Servlet Container","Proprietary","MSBuild, NAnt, Visual Studio","Ant, Maven 1, Maven 2, Maven 3","custom script, command line, Bash","XMPP, Google Talk, E-mail, RSS, Remote API","IntelliJ IDEA, Eclipse, Visual Studio","FishEye, Crowd, JIRA, Clover"
"BuildBot","Python","GPL","Yes (command line)","Yes (command line)","Yes (command line)","E-mail, Web page, GUI, IRC","Unknown","Unknown"
"Build Forge","Cross-platform","Proprietary","Yes","Yes","Cross-platform command-line","E-mail","Eclipse","Java API, Perl API, command line, (many)"
"BuildMaster","Cross-platform","Proprietary","Yes","Yes","Cross-platform command-line","E-mail, Custom","No","Many"
"CABIE","LAMP","GPL2","Unknown","Unknown","Unknown","Web","Unknown","Unknown"
"CircleCI","Hosted","Proprietary","Unknown","Unknown","Ruby, Python, Node.js, PHP, Java","E-mail, Campfire, HipChat, CCtray","Unknown","Heroku, GitHub"
"node.ci","Hosted","Proprietary","Unknown","Unknown","Node.js","E-mail","Unknown","AWS, GitHub, Bitbucket"
"Codeship","Hosted","Proprietary","No","Maven","Go (programming language), Java (programming language), Node.js, PHP, Python (programming language), Ruby (programming language)","E-mail, Flowdock, Grove, HipChat, Web","No","CloudControl, Engine Yard, GitHub, Heroku"
"Continua CI","Windows","Proprietary","Ant, Nant, FinalBuilder, MSBuild, Rake, Visual Studio, Powershell","Ant","Execute Program(command line)","E-mail, XMPP","No","GitHub, Bitbucket, Codeplex, Kiln, TFS, FogBugz, Jira, NCover, Opencover, NUnit, DUnitX, jUnit, xUnit, NuGet, 7Zip"
"CruiseControl","Cross-platform","BSD-style","NAnt,  Rake, and Xcode","Phing, Apache Ant, Maven","catch-all 'exec'","E-mail, CCTray","Eclipse","Unknown"
"CruiseControl.NET","Cross-platform","BSD-style","MSBuild, NAnt, Visual Studio","Unknown","command line","E-mail, CCTray, RSS","Unknown","Unknown"
"Draco.NET","Windows","BSD-style","NAnt, Visual Studio","Unknown","Unknown","E-mail","Unknown","Unknown"
"Drone.io","Hosted","Apache 2.0","Unknown","Ant, Maven 2, Gradle","C, C++, Dart, Go, NodeJS, Python, PHP, Ruby, Java, Groovy, Scala, Erlang","E-mail","Unknown","Heroku, Dotcloud, GitHub, Bitbucket"
"easyCIS","Windows","Proprietary","MSBuild, NAnt, Visual Studio","Unknown","Unknown","Systray, RSS, E-mail","No","No"
"ElectricCommander by Electric Cloud","Cross-platform","Proprietary","Yes","Yes","Command line","E-mail, GUI, instant messenger, Twitter","Eclipse, Visual Studio","JIRA, Bugzilla, Perl API, Command Line"
"Flosum","Hosted","Yes","Yes","No","Command line","No","Eclipse","RESTful API"
"Go","Cross-platform","Apache 2.0","Yes","Yes","Cross-platform command-line","E-mail, CCTray","No","RESTful API"
"Integrity","Ruby","MIT","Yes (command line)","Yes (command line)","command line","E-mail, Web","Unknown","Unknown"
"Jenkins/Hudson","Servlet Container","Creative Commons and MIT","MSBuild, NAnt","Ant, Maven 2, Kundo","Cmake, Gant, Gradle, Grails, Phing, Rake, Ruby, SCons, Python, Shell script and Command Line","Android, E-mail, Google Calendar, IRC, XMPP, RSS, Twitter","Eclipse, IntelliJ IDEA, NetBeans","Bugzilla, Google Code, JIRA, Redmine, FindBugs, Checkstyle, PMD and Mantis, Trac"
"Koality","Cross Platform, Private Cloud","Proprietary","Unknown","Unknown","Shell Script, Command-Line","Email, HipChat, GitHub","Unknown","Amazon Web Services, GitHub"
"LuntBuild","Servlet Container","Apache 2.0","Unknown","Ant, Maven 1, Maven 2","Shell script, Rake","Unknown","Unknown","Unknown"
"Lordui","Windows","Proprietary","Yes","Yes","Command Line, Everything that has User Interface","E-mail, Possibly any way with User Interface","No","Java, Command-line"
"QuickBuild","Cross-platform","Proprietary","MSBuild, NAnt, Visual Studio","Ant, Maven 1, Maven 2","Rake, Shell script, Command Line","E-mail, XMPP, RSS, Google Talk, Remote API","Eclipse, IntelliJ IDEA, Visual Studio","JIRA"
"Semaphore","Hosted","Proprietary","Unknown","Maven 3","Ruby (programming language), Java (programming language), Node.js, PHP, Clojure, Rake, Command Line","E-mail, Campfire, HipChat, Slack, Flowdock, Webhooks, Remote API","Unknown","GitHub, Bitbucket, Heroku, Code Climate, Cloud 66"
"Shippable","Hosted","Proprietary","MSBuild, NAnt","Ant, Maven, Gradle","Ruby, Python, Node.js, Java, Scala, C Sharp, PHP, Go","E-mail, Campfire","No","GitHub, Bitbucket Heroku"
"Snap CI","Hosted","Proprietary","No","Ant, Maven, Gradle, Android","C, C++, Clojure, Erlang, Go, Groovy, Haskell, Java, Node.js, Perl, PHP, Python, Ruby, Scala","E-Mail, Campfire, HipChat, Webhook","No","GitHub, Heroku, AWS"
"Strider","Node.js","BSD","No","No","C, C++, Clojure, Erlang, Go, Groovy, Haskell, Java, Node.js, Perl, PHP, Python, Ruby, Scala","E-Mail","No","GitHub, Bitbucket, Heroku, GitHub Enterprise, Git"
"Travis CI","Hosted","MIT","No","No","C, C++, Clojure, Erlang, Go, Groovy, Haskell, Java, Node.js, Perl, PHP, Python, Ruby, Scala","E-Mail, Campfire, HipChat, IRC, Slack","No","GitHub, Heroku"
"TeamCity","Servlet Container","Proprietary","MSBuild, NAnt, Visual Studio, Duplicates finder for .NET","Ant, Maven 2/3, IDEA .ipr based,  IDEA Inspections,  IDEA Duplicates finder, Gradle","Rake, FxCop, Command Line","E-mail, XMPP, RSS, IDE, SysTray","Eclipse, Visual Studio, IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm","Jetbrains Youtrack, JIRA, Bugzilla, FishEye, FindBugs, PMD, dotCover, NCover"
"Team Foundation Server","Windows, VSTM","Proprietary","MSBuild","Ant, Maven","Custom script, Command line","E-Mail, SOAP","Visual Studio, Eclipse","Unknown"
"Tinderbox","Cross-platform","MPL","Unknown","Unknown","Unknown","E-mail","Unknown","Unknown"
"Name","AccuRev","Alienbrain","BitKeeper","CA Software Change Manager","ClearCase","CMVC","CVS","Darcs","Dimensions","Git","GNU arch","GNU Bazaar","Integrity","Mercurial","Perforce","Plastic","PVCS","Sourceanywhere","StarTeam","Subversion","Surround","Synergy","Team Concert","Team Foundation Server","Vault","Visual SourceSafe","Others"
"AnthillPro","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","File system"
"Apache Continuum","No","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes",""
"Apache Gump","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"AppVeyor CI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"AutoDE","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"Automated Build Studio","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No",""
"Bamboo","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No",""
"BuildBot","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No",""
"Build Forge","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No",""
"BuildMaster","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","File system"
"CABIE","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No",""
"CircleCI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"node.ci","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Codeship","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Continua CI","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","File system"
"CruiseControl","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes",""
"CruiseControl.NET","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","File system, FTP, Robocopy"
"Draco.NET","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes",""
"Drone.io","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"easyCIS","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","File system"
"ElectricCommander","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No",""
"Go","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No",""
"Integrity","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Jenkins/Hudson","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Koality","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"LuntBuild","Yes","No","No","No","Yes (Base and UCM)","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","File system"
"Lordui","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"QuickBuild","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes",""
"Semaphore","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Shippable","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Snap CI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Strider","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Travis-CI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"TeamCity","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes",""
"Team Foundation Server","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",""
"Tinderbox","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
