"Name","Funding
model","Focus","Country","Notes"
"ArtistShare","KiA","Musicians","US","Has own record label."
"Bountysource","Bounty or KiA","Open-source software","US","Bounties are attached to GitHub issues. Anyone can collect the bounty by submitting a pull request that resolves the issue."
"Catincan","AoN","Open-source software","","Existing project developers put features up for funding that will be integrated into main branch."
"CentUp","KiA","Ongoing transactions and Social Impact","US","Decentralized crowdfunding linked to specific pieces of content."
"ClassWish","KiA","Education crowdfunding for school and teacher supplies","US","Allows tax-deductible support of any school and any teacher in the U.S."
"CommonBond","KiA","Student loans","US","Funded by crowdsourcing and large investors."
"Community Funded","KiA or AoN","Platform Creation for Universities, Nonprofits, and Faith-Based Organizations","US","Allows for white-labeled integration on existing websites"
"DonorsChoose","AoN","Education crowdfunding for school supplies","US",""
"First Funder","KiA or AoN","Community based","US",""
"FundAnything","KiA","Funding for any kind of project - business, creative, arts, personal, charitable.","US","Fundraising backed by major celebrities such as Donald Trump."
"FundedByMe","AoN","Equity and rewards","Sweden, Finland, Norway, Italy, Germany, Denmark","Only platform offering equity and reward based crowdfunding in combination with European-wide cross-border investments."
"FundRazr","KiA","Personal, charitable, entrepreneurial, and political causes","Canada","Available as an app for a Facebook page."
"Fundly","KiA","Personal, charitable, and political causes","US","Available as an app for a Facebook page. Charges a per credit card transaction fee."
"GiveForward","KiA","Online fundraising website to raise money for medical expenses.","US","Provides personal fundraising coaches."
"GoFundMe","KiA","Helping people after
accidents and illnesses","US",""
"Headstart","AoN","Entrepreneurs","Israel",""
"Indiegogo","KiA or AoN","Allows a broad range of projects","US",""
"Kickstarter","AoN","Creative projects","US, UK, Canada, Australia, New Zealand","Highest funded projects to date"
"Lendico","AoN","Consumer loan","Germany, Austria, Poland, Spain, South Africa","Funded by crowdfunding and institutional investors."
"Microryza","AoN","Fund scientific research","US","No tangible awards are given for backing, only personal satisfaction"
"Mobcaster","AoN","TV shows","US",""
"Myfreeimplants","AoN","Cosmetic surgery","US","Focused on breast augmentations. International"
"Offbeatr","AoN","Pornography","US","Projects must first get enough votes from users before they are open for funding"
"Peoplefund.it","AoN","","UK","Attached to Hugh Fearnley-Whittingstall"
"Petridish.org","AoN","Scientific research","US",""
"Piggybackr","KiA","Young children and students","US","Young students may raise money.  Compliant with  Children's Online Privacy Protection Act"
"Planeta.ru","AoN or KiA","Allows a broad range of projects","Russia",""
"PledgeMusic","AoN","Musicians","Spain, UK, US",""
"Pozible","AoN","Creative","Australia, Singapore, Malaysia, US","Bitcoin can be used, Self-hosting can be used, One-on-One help"
"Rally.org","KiA","Medical, educational, charitable, creative, entrepreneurial, and political causes","US, Germany",""
"RocketHub","KiA","","US",""
"Sellaband","AoN","Musicians","Germany",""
"Sponsume","KiA","","UK",""
"Tilt.com","KiA or AoN","Any goal","US","Offers both a consumer product and enterprise solution for brands."
"YouCaring","KiA","Helping people with
medical issues and life changing causes","US",""
"Weeve","KiA","Nonprofits","Canada","Site operates ""freemium"" model without transaction fees"
"Name","Funding
model","Focus","Country","Notes"
"Angels Den","Equity, Debt, Donations","All businesses","UK",""
"AngelList","Equity, Debt","Start-ups","US","Currently serves only accredited investors"
"BankToTheFuture","Equity, Debt, Rewards","small businesses and new start-ups crowfunding operations currently suspended","UK",""
"Bolstr","Revenue share","Small businesses","US","Able to operate now, pre-JOBS Act"
"CircleUp","Equity","Consumer products and retail","US","Currently serves only accredited investors."
"Companisto","Equity","European companies, Investors from all over the world","Germany, Switzerland / Europe",""
"CrowdCube","Equity, Rewards","start-ups, small businesses, growing businesses","UK",""
"EarlyShares","Equity","","US",""
"EquityNet","Equity, Debt","Startups and mature companies","US","Launched crowdfunding platform for Reg D offerings in 2005"
"Fundable","Equity, Debt, Rewards","Seed stage businesses","US",""
"FundedByMe","Equity, Rewards","Entrepreneurs","Sweden, Finland, Norway, Italy, Germany, Denmark",""
"FundersClub","Equity","Start-ups","US","Currently serves only accredited investors"
"Funding Circle","Debt","Small businesses","UK",""
"Gambitious","Equity","Game development","Netherlands",""
"GoFundMe","Equity","Start-up, Non-profit, Personal","USA",""
"Innovestment GmbH","Equity auctions","","Germany",""
"Invesdor","Equity","Startups and growth companies","Finland, Sweden, Denmark and Estonia",""
"InvestedIn","Equity","","USA",""
"Kopernik","Other","3rd world issues","",""
"Lending Club","Debt","","USA",""
"LendInvest","Debt","Property Development Entrepreneurs/ Mortgages","UK","First live peer-to-peer lending platform specifically for residential and commercial mortgages"
"MicroVentures","Equity","Tech Startups & High Growth","US","Currently serves only accredited investors"
"Optimize Capital Markets","Equity","","Canada",""
"OurCrowd","Equity","","Israel",""
"Prosper Marketplace","Debt","","USA",""
"rebuildingsociety.com","Debt","All businesses","UK",""
"Return on Change","Equity","Early and growth stage startups in critical industries","USA",""
