"Software","Creates","Modifies","Mounts","Restores","Extracts","Input","Output","OS","License"
"7-Zip","No","No","No","No","Yes","CramFS, DMG, FAT, HFS, ISO, MBR, NTFS, SquashFS, UDF, VHD, WIM","N/A","Windows, Linux, Mac OS","GPL"
"AcetoneISO","Yes","No","Yes","Yes","Yes","CD, DVD, ISO, BIN, MDF, IMG, NRG, CUE, TOC, DMG","CD, DVD, ISO, BIN","Linux","GPL"
"Acronis True Image","Yes","No","Yes","Yes","Yes","TIB, VHD","TIB, VHD","Windows","Shareware"
"Alcohol 120%","Yes","No","Yes","Yes","No","ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDS, NRG, ISZ","MDS/MDF, ISO","Windows","Shareware"
"Alcohol 52% FE","Yes","No","Yes","No","No","ISO","N/A","Windows","Shareware"
"AnyDVD HD","Yes","No","No","No","No","N/A","ISO","Windows","Shareware"
"Ashampoo Burning Studio","Yes","No","No","Yes","No","ISO","N/A","Windows","Shareware– Past version are made available as freeware from time to time"
"BlindWrite","Yes","?","?","Yes","?","B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF","B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF","Windows","Shareware"
"Brasero","No","No","No","Yes","No","ISO, CUE","CD, DVD","Linux","GPL"
"Burnatonce","No","No","No","Yes","No","ISO, CUE, TOC","N/A","Windows","Freeware"
"CDBurnerXP","Yes","No","No","Yes","No","ISO, NRG, BIN/CUE","ISO, MDS/MDF","Windows","Freeware"
"CDemu","No","No","Yes","No","No","CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, CUE/BIN, TOC, B5T, B6T, MDS, MDX, CIF, C2D, DAA","N/A","Linux","GPL v2"
"genisoimage","Yes","No","No","No","No","N/A","ISO","Linux,
Unix","GPL"
"isoinfo","No","No","No","No","Yes","ISO","N/A","Linux","GPL"
"mkisofs","Yes","No","No","No","No","N/A","ISO","Linux,
Amiga
Windows","GPL"
"CDRoller","Yes","No","No","Yes","Yes","ISO","ISO","Windows","Shareware"
"CDRWIN","?","?","?","?","?","CUE, BIN","CUE, BIN","Windows","Shareware"
"CloneCD","Yes","No","No","Yes","No","ISO, UFD, IMG (CloneCD)","ISO, UFD, IMG (CloneCD)","Windows","Shareware"
"CloneDVD","Yes","No","No","Yes","Yes","ISO","ISO","Windows","Shareware"
"CopyCatX","Yes","No","No","Yes","Yes","DMG","DMG","Mac OS X","Shareware"
