"Layout engine","Release version","Preview version","Used by"
"Amaya","11.4.7","N/A","No longer developed; Amaya"
"Blink","537.36","source code","Chromium/Chrome (28+), Opera (15+) and Yandex"
"Gecko",")",")  daily release","All Mozilla software, including Firefox; SeaMonkey and Galeon; Camino; K-Meleon; Flock (up to 2.x); Debian IceWeasel; GNU IceCat (formerly GNU IceWeasel); Icedove, Iceape and Iceowl; Fennec. Also used by the Maple platform in 2010 and 2011 Samsung ""SmartTV"" devices which are based on the build used in Firefox 3.0. Nokia Asha platform is also using Gecko for web apps rendering."
"KHTML","4.12.3","N/A","Konqueror"
"Presto","2.12.388","N/A","No longer developed; Opera and Opera Mobile use Blink now; Nintendo DS & DSi Browser; Internet Channel"
"Tasman","(IE 5.2.3 for Mac)","N/A","No longer developed (aborted in 2003); Internet Explorer 5+  for Mac OS X"
"Trident","7.0 (IE 11)","N/A","Internet Explorer and other Internet Explorer shell like Maxthon (Microsoft Windows operating system only), Windows Phone 8"
"WebKit","534.20","nightly build","Tizen (both OS and browser), Safari (both desktop and mobile), Google Chrome (before 28), Maxthon 3, Shiira, iCab 4, OmniWeb 5.5+, Web, Adobe AIR, Midori, Adobe Dreamweaver CS4 and CS5, Android browser, Palm webOS browser, Symbian S60 browser, OWB, Steam, Rekonq, Arora, Flock (version 3+), RockMelt, Dolphin Browser, Sleipnir, Konqueror. Used by the LG Smart TV platform to enable web content on TVs."
"Value","Meaning"
"Yes","Indicates that the layout engine fully supports this property/element when valid values are used."
"No","Indicates that the property/element is completely ignored."
"Partial","Indicates that the property/element is understood, but that not all values are supported. Supported values are implemented correctly."
"Incorrect","Indicates that the property/element is understood, but that it is not implemented correctly in all cases."
"Experimental","Indicates that the property/element is understood, but supported under an alternate name. May be incomplete or buggy."
"Dropped","Indicates that the property/element is no longer supported."
"Nightly build","Indicates that the property/element is supported to some extent in an experimental/nightly build. Future support is expected."
"Depends","Indicates that the property/element is supported only on certain platforms, or if certain settings are configured."
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","?","Yes","Yes","Partial","Yes","?"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","?","Yes","Yes","Yes","Yes","Yes"
"","Yes","?","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","?"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","3.1","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","No","No","Yes","No","No","No"
"","No","No","No","No","No","No","No"
"","No","No","No","No","No","No","No"
"","Yes","No","No","Yes","No","No","No"
"","Yes","No","No","Yes","No","No","No"
"","No","No","No","No","No","No","No"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","?","?","?","?","?","?","?"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"Mouse","Mouse","Mouse","Mouse","Mouse","Mouse","Mouse","Mouse"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"Keyboard","Keyboard","Keyboard","Keyboard","Keyboard","Keyboard","Keyboard","Keyboard"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"","?","?","?","?","?","?","?"
"","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"Structure Module","Structure Module","Structure Module","Structure Module","Structure Module","Structure Module","Structure Module","Structure Module"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"Forms Module","Forms Module","Forms Module","Forms Module","Forms Module","Forms Module","Forms Module","Forms Module"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
"","?","?","?","?","?","?","?"
