"Client","Primary developers","Cost","Software license","User interface","Programming language","Computing platform","Website"
"AndroidChat","","Free software","GNU GPL","TUI, GUI","Java","Android",""
"AndChat","","Freeware","Proprietary software","TUI, GUI","Java","Android",""
"Mobile Colloquy","Kiji Roshi","US$1.99","BSD License","GUI","Objective-C","iOS",""
"CoolIRC","","Free software","GNU GPL","GUI","Java","Java ME","(archive)"
"Dump Chat","Mark Marszal","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"EbIRC","Shin Ise, Nobuhiro Ito","Freeware
iPhone: US$3","Proprietary software","GUI","?","iOS, Windows Mobile",""
"fIRC","Laurence Muller","Free software","GNU GPL","GUI","Java","Android",""
"JedIrc","","Free software","GNU GPL","GUI","Java","Java ME",""
"IRC7","","US$1.49","Proprietary software","GUI","C#","Windows Phone",""
"IRC999","Babylon999","Free software","?","GUI","?","iOS",""
"IRCCloud","IRCCloud Ltd.","Freeware","?","GUI","?","iOS, Android",""
"jmIrc","Juho Vähä-Herttua","Free software","GNU GPL","GUI","Java","Java ME",""
"k-IRC","Armond Avanes","Free software","GNU GPL","GUI","Java","Java ME",""
"Mango IRC","Mediaware, Pavel Kanzelsberger","iPhone: US$0.99
iPad: US$1.99
Universal: US$2.99
Lite version for iPhone: Freeware","Proprietary software","GUI","?","iOS",""
"microirc","","Free software","GNU GPL","GUI","C ?","Windows Mobile 5 (and above)",""
"MtvIRC","","Free software","GNU GPL","GUI","Java","Java ME",""
"Palaver","Kyle Fuller","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"PSPIRC","Ludovic Jacomme","Free software","GNU GPL","GUI","C","PlayStation Portable",""
"Relay IRC","Gyresoft Limited","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"upIRC","","Shareware US$10","Proprietary software","GUI","?","Palm OS",""
"Virca","","Free software","GNU GPL","TUI","Java","Java ME",""
"wIRC","","Free software","GNU GPL","GUI","C & JavaScript","WebOS",""
"WirelessIRC","","Demoware US$20","Proprietary software","GUI","?","Symbian",""
"WLIrc","Sverre Kristian Valskrå","Free software","GNU LGPL","GUI","Java","Java ME",""
"Yaaic","Sebastian Kaspari","Free software","GNU GPL","GUI","Java","Android",""
"zsIRC","Gargaj","Free software","3-clause BSD","GUI","C++","Windows Mobile",""
"Client","Primary developers","Cost","Software license","User interface","Programming language","Computing platform","Website"
"Client","First public release","First public release","First stable release","First stable release","Latest stable release"
"Client","Date","Version","Date","Version","Latest stable release"
"AndroidChat","2008","","","","2008-12-29 (December 29, 2008; 5 years ago)"
"AndChat","June 14, 2009","0.05","","","1.3.4.1 (January 9, 2011; 3 years ago)"
"Colloquy (software)","January 28, 2009","1.0","","","2.4.3 (6011) (March 22, 2014; 7 months ago)"
"CoolIRC","","","","","3.1 (June 16, 2007; 7 years ago)"
"Dump Chat","May 18, 2013","1.0","May 18, 2013","1.0",":Template:Latest stable software release/Dump Chat"
"EbIRC","September 24, 2006","0.01","","","0.19 (February 18, 2009; 5 years ago)"
"fIRC","December 22, 2008","0.1.0","","","0.2.11 (March 26, 2009; 5 years ago)"
"IRC7","September 5, 2011","","","","1.7 (February 10, 2012; 2 years ago)"
"JedIrc","2007","","","","3.2.4 (June 17, 2009; 5 years ago)"
"jmIrc","May 14, 2004","0.60","","","0.96 (November 23, 2009; 4 years ago)"
"k-IRC","August 20, 2002","1.0","","","1.1 (October 4, 2003; 11 years ago)"
"MtvIRC","","","","","2.3 (June 12, 2009; 5 years ago)"
"Palaver","August 24, 2012","1.0","August 24, 2012","1.0","1.1 (February 15, 2013; 20 months ago)"
"PSPIRC","July 20, 2007","1.0.1","","","1.6 (September 12, 2007; 7 years ago)"
"Relay IRC","March 19, 2014","1.0","March 19, 2014","1.0","1.0 (March 19, 2014; 7 months ago)"
"upIRC","September 18, 2001","1.0.0","","","3.8.3 (September 3, 2004; 10 years ago)"
"Virca","2003","0.0.1","","","1.1.20 (November 22, 2004; 9 years ago)"
"wIRC","","","","","0.3.2 (September 6, 2010; 4 years ago)"
"WirelessIRC","","","","","1.22 (June 12, 2007; 7 years ago)"
"WLIrc","September 15, 2003","0.90","","","2.0.1 (August 16, 2007; 7 years ago)"
"Yaaic","March 14, 2010","0.1","","","0.9 (July 17, 2011; 3 years ago)"
"zsIRC","June 13, 2006","","","","2009.12.26 (December 26, 2009; 4 years ago)"
"Client","Date","Version","Date","Version","Latest stable release"
"Client","First public release","First public release","First stable release","First stable release","Latest stable release"
"Client","CTCP","DCC","IPv6","SSL","TLS","OCSP","CRL"
"AndroidChat","No","No","No","No","No","No","No"
"AndChat","Yes","No","?","Yes","?","?","?"
"Mobile Colloquy","Yes","No","Yes","Yes","Yes","No","No"
"CoolIRC","Yes","No","No","No","No","No","No"
"Dump Chat","Yes","No","Yes","Yes","Yes","No","No"
"EbIRC","?","?","?","?","?","?","?"
"fIRC","?","?","?","?","?","?","?"
"IRC7","No","No","No","Yes","Yes","No","No"
"JedIrc","Yes","No","No","No","No","No","No"
"jmIrc","Yes","No","No","No","No","No","No"
"k-IRC","Yes","No","No","No","No","No","No"
"MtvIRC","Yes","No","No","No","No","No","No"
"Palaver","Yes","No","Yes","Yes","Yes","?","?"
"PSPIRC","No","No","No","No","No","No","No"
"Relay IRC","Yes","No","Yes","Yes","Yes","No","No"
"upIRC","Yes","Yes","No","No","No","No","No"
"Virca","?","?","?","?","?","?","?"
"wIRC","Yes","Yes","No","Yes","Yes","?","?"
"WirelessIRC","Yes","No","?","Yes","?","?","?"
"WLIrc","Yes","Yes","?","No","No","No","?"
"Yaaic","?","?","?","Yes","?","?","?"
"zsIRC","Yes","No","No","Yes","Yes","No","No"
"Client","CTCP","DCC","IPv6","SSL","TLS","OCSP","CRL"
"Client","CHAT","Whiteboard","SEND","GET","RESUME","TSEND","SEND T","XMIT","Passive DCC","Server","RDCC","REVERSE","RSEND","Reverse / Firewall DCC","File servers (FSERVs)","XDCC"
"AndroidChat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"AndChat","?","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?"
"Mobile Colloquy","Yes","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"CoolIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"Dump Chat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"EbIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"fIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"IRC7","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
