"Name","Website","Lexer algorithm","Output languages","Grammar, code","Development platform","License"
"Alex","","DFA","Haskell","mixed","all","BSD"
"AustenX","","DFA","Java","separate","all","BSD"
"C# Flex","","DFA","C#","mixed",".NET CLR","GNU GPL"
"C# Lex","","DFA","C#","mixed",".NET CLR","?"
"CookCC","","DFA","Java","mixed","Java Virtual Machine","BSD"
"Dolphin","","DFA","C++","separate","all","Proprietary"
"flex","","DFA table driven","C, C++","mixed","all","BSD"
"gelex","","DFA","Eiffel","mixed","Eiffel","MIT"
"gplex","","DFA","C#","mixed",".NET CLR","BSD-like"
"JFlex","","DFA","Java","mixed","Java Virtual Machine","GNU GPL"
"JLex","","DFA","Java","mixed","Java Virtual Machine","BSD-like"
"lex","","DFA","C","mixed","POSIX","Proprietary, CDDL"
"lexertl","","DFA","C++","","all","GNU LGPL"
"Quex","","DFA direct code","C, C++","mixed","all","GNU LGPL"
"Ragel","","DFA","C, C++, D, Go, Java, Objective-C, Ruby","mixed","all","GNU GPL"
"re2c","","DFA direct code","C","mixed","all","MIT"
"Russ Cox's regular expression implementations","","DFA, NFA","Bytecode, x86 assembly language, interpreted","separate","all","MIT"
"Name","Website","Parsing algorithm","Input grammar notation","Output languages","Grammar, code","Lexer","Development platform","IDE","License"
"ANTLR4","","LL(*)","EBNF","C#, Java, Python","mixed","generated","Java Virtual Machine","Yes","BSD"
"ANTLR3","","LL(*)","EBNF","ActionScript, Ada95, C, C++, C#, Java, JavaScript, Objective-C, Perl, Python, Ruby","mixed","generated","Java Virtual Machine","Yes","BSD"
"APG","","Recursive descent, Backtracking","ABNF","C, C++, JavaScript, Java","separate","none","all","No","GNU GPL"
"AXE","","Recursive descent","AXE/C++","C++11","mixed","none","any platform with standard C++11 compiler","No","Boost"
"Beaver","","LALR(1)","EBNF","Java","mixed","external","Java Virtual Machine","No","BSD"
"Bison++","[ftp://ftp.iecc.com/pub/file/bison++flex++/]","LALR(1)","?","C++","mixed","external","POSIX","No","GNU GPL"
"Bisonc++","","LALR(1)","?","C++","mixed","external","POSIX","No","GNU GPL"
"BtYacc","","Backtracking Bottom-up","?","C++","mixed","external","all","No","Public domain"
"byacc","","LALR(1)","YACC","C","mixed","external","all","No","Public domain"
"BYACC/J","","LALR(1)","?","C, Java","mixed","external","all","No","Public domain"
"CL-Yacc","","LALR(1)","Lisp","Common Lisp","mixed","external","all","No","MIT"
"Coco/R","","LL(1)","?","C, C++, C#, F#, Java, Ada, Pascal, Modula-2, Oberon, Ruby, Unicon, Visual Basic .NET","mixed","generated","Java Virtual Machine, .NET Framework","No","GNU GPL"
"CookCC","","LALR(1)","Java annotations","Java","mixed","generated","Java Virtual Machine","No","BSD"
"CppCC","","LL(k)","?","C++","mixed","generated","POSIX","No","GNU GPL"
"CSP","","LR(1)","?","C++","separate","generated","POSIX","No","Apache License 2.0"
"CUP","","LALR(1)","?","Java","mixed","external","Java Virtual Machine","No","GNU GPL"
"Dragon","","LR(1), LALR(1)","?","C++, Java","separate","generated","all","No","GNU GPL"
"eli","","LALR(1)","?","C","mixed","generated","POSIX","No","GNU GPL, GNU LGPL"
"Essence","","LR(???)","?","Scheme 48","mixed","external","all","No","BSD"
"eyapp","","LALR(1)","?","Perl","mixed","external or generated","all","No","Perl"
"Frown","","LALR(k)","?","Haskell 98","mixed","external","all","No","GNU GPL"
"geyacc","","LALR(1)","?","Eiffel","mixed","external","all","No","MIT"
"GOLD","","LALR(1)","BNF","x86 assembly language, ANSI C, C#, D, Java, Pascal, Object Pascal,  Python, Visual Basic 6, Visual Basic .NET, Visual C++","separate","generated","Microsoft Windows","Yes","Modified Zlib"
"GPPG","","LALR(1)","YACC","C#","separate","external","Microsoft Windows","Yes","BSD"
"Grammatica","","LL(k)","BNF dialect","C#, Java","separate","generated","Java Virtual Machine","No","GNU LGPL"
"HiLexed","","LL(*)","EBNF or Java","Java","separate","internal","Java Virtual Machine","No","GNU LGPL"
"Hime Parser Generator","","LR(1), LALR(1), LR(0)","BNF dialect","C#","separate","generated",".NET Framework","No","GNU LGPL"
"Hyacc","","LR(1), LALR(1), LR(0)","YACC","C","mixed","external","all","No","GNU GPL"
"Irony","","LALR(1)","C#","N/A (state machine is runtime generated)","separate","internal",".NET Framework","Yes","MIT"
"iyacc","","LALR(1)","YACC","Icon","mixed","external","all","No","GNU GPL"
"jacc","","LALR(1)","?","Java","mixed","external","Java Virtual Machine","No","BSD"
"JavaCC","","LL(k)","EBNF","Java, C++, JavaScript (via GWT compiler)","mixed","generated","Java Virtual Machine","Yes","BSD"
"jay","","LALR(1)","YACC","C#, Java","mixed","none","Java Virtual Machine","No","BSD"
"JFLAP","","LL(1), LALR(1)","?","Java","?","?","Java Virtual Machine","Yes","?"
"JetPAG","","LL(k)","?","C++","mixed","generated","all","No","GNU GPL"
"JS/CC","","LALR(1)","EBNF","JavaScript, JScript, ECMAScript","mixed","internal","all","Yes","Artistic"
"KDevelop-PG-Qt","","LL(1), Backtracking, Shunting yard","?","C++","mixed","generated or external","all, KDE","No","GNU LGPL"
"Kelbt","","Backtracking LALR(1)","?","C++","mixed","generated","POSIX","No","GNU GPL"
