"Languages","Size","First","Last"
"Ada","","",""
"ALGOL 68","etc.","etc.","etc."
"C#, Visual Basic .NET, Windows PowerShell, F#","","",""
"CFML","","",""
"Ch","","",""
"Cobra","","",""
"Common Lisp","","",""
"Fortran","","",""
"Go","","",""
"Haskell","","",""
"Haxe","","",""
"ISLISP","","",""
"Java, JavaScript, D, Scala","","",""
"J","","",""
"Lua","","",""
"Mathematica","","",""
"MATLAB, GNU Octave, Julia","","",""
"Object Pascal","","",""
"Objective-C ( only)","","",""
"OCaml","","",""
"Perl","","",""
"Perl 6","@","",""
"PHP","$","","$"
"Python","","",""
"Ruby","","",""
"Rust","","",""
"S-Lang","","",""
"Scheme","","",""
"Smalltalk","","",""
"Visual Basic","","",""
"Xojo","","",""
"Format","Languages"
"","ALGOL 68, Pascal, Object Pascal, C#, S-Lang"
"","ActionScript, C, CFML, Ch, Cobra, C++, D, Go, Haxe, Java,  JavaScript, Julia, Lua, Objective-C (), Perl, Python, Ruby, Rust, Swift"
"","Perl, PHP, Windows PowerShell"
"","Perl 6"
"","Ada, BASIC, COBOL, Fortran, RPG, MATLAB, Scala, Visual Basic, Visual Basic .NET, Xojo"
"","OCaml"
"","F#"
"","Haskell"
"","Scheme"
"","Common Lisp"
"","ISLISP"
"","Mathematica"
"","Smalltalk"
"","Objective-C ( only)"
"","J"
"","Eiffel"
"Format","Languages"
"","ALGOL 68, Julia"
"","Python, Go"
"","Pascal, Object Pascal, Delphi, D"
"","Windows PowerShell"
"","Perl"
"","Ruby"
"","Ada"
"","Fortran, MATLAB"
"","Mathematica"
"","S-Lang"
"","F#"
"","Haxe, JavaScript, Scala"
"","CFML"
"","PHP"
"","Common Lisp"
"","ISLISP"
"","OCaml"
"","Objective-C ( only)"
"","J"
"","Swift"
"","Rust"
"","Cobra"
"Programming language","Default base index","Specifiable index type","Specifiable base index","Bound check","Multidimensional","Dynamically-sized","Vectorized operations"
"Ada","index type","yes","yes","checked","yes","init","some, others definable"
"ALGOL 68","1","no","yes","varies","yes","yes","user definable"
"APL","?","?","0 or 1","checked","yes","init","yes"
"BASIC","0","?","no","checked","no","init","?"
"C","0","no","no","unchecked","yes, also array of array","init, heap","no"
"Ch","0","no","no","checked","yes, also array of array","init, heap","yes"
"C++","0","no","no","unchecked","yes, also array of array","heap","no"
"C#","0","no","no","checked","yes","heap","yes (LINQ select)"
"CFML","1","no","no","checked","yes, also array of array","yes","no"
"COBOL","1","no","no","checked","array of array","no","some intrinsics"
"Cobra","0","no","no","checked","array of array","heap","?"
"Common Lisp","0","?","no","checked","yes","yes","yes (map or map-into)"
"D","0","yes","no","varies","yes","yes","?"
"F#","0","no","no","checked","yes","heap","yes (map)"
"FreeBASIC","0","no","yes","checked","yes","init, init","?"
"Fortran","1","yes","yes","varies","yes","yes","yes"
"FoxPro","1","?","no","checked","yes","yes","?"
"Go","0","no","no","checked","array of array","no","no"
"Haskell","none (specified on init)","yes","yes","checked","yes, also array of array","init","?"
"IDL","0","?","no","checked","yes","yes","yes"
"ISLISP","0","?","no","checked","yes","init","yes (map or map-into)"
"J","0","?","no","checked","yes","init","yes"
"Java","0","no","no","checked","array of array","init","?"
"JavaScript","0","no","no","checked","array of array","yes","yes"
"Julia","1","yes","no","checked","yes","yes","yes"
"Lua","1","?","partial","checked","array of array","yes","?"
"Mathematica","1","no","no","checked","yes","yes","yes"
"MATLAB","1","?","no","checked","yes","yes","yes"
"Oberon","0","?","no","checked","yes","no","?"
"Oberon-2","0","?","no","checked","yes","yes","?"
"Objective-C","0","no","no","checked","array of array","yes","no"
"OCaml","0","no","no","checked by default","array of array","init","?"
"Pascal, Object Pascal","index type","yes","yes","varies","yes","varies","some"
"Perl","0","no","yes ()","checked","array of array","yes","no"
"Perl 6","0","no","no","checked","yes","yes","yes"
"PHP","0","yes","yes","checked","yes","yes","yes"
"PL/I","1","?","yes","checked","yes","no","?"
"Python","0","no","no","checked","array of array","yes","no"
"RPG","1","no","no","?","no","no","?"
"Ruby","0","no","no","checked","array of array","yes","?"
"S-Lang","0","?","no","checked","yes","yes","yes"
"Scala","0","no","no","checked","array of array","init","yes (map)"
"Scheme","0","?","no","checked","array of array","init","yes (map)"
"Smalltalk","1","?","no","checked","array of array","yes","?"
"Swift","0","no","no","checked","array of array","yes","?"
"Visual Basic","0","no","yes","checked","yes","yes","?"
"Visual Basic .NET","0","no","no","checked","yes","yes","yes (LINQ select)"
"Windows PowerShell","0","no","no","checked","yes","heap","?"
"Xojo","0","no","no","checked","yes","yes","no"
"XPath","1","no","no","checked","no","yes","yes"
"Programming language","Default base index","Specifiable index type","Specifiable base index","Bound check","Multidimensional","Dynamically-sized","Vectorized operations"
"Language/
Library","Create","Determinant","Transpose","Element","Column","Row","Eigenvalues"
"Fortran","","","","","","",""
"Ch","","","","","","",""
"Mathematica","","","","","","",""
"MATLAB /
GNU Octave","","","","","","",""
"NumPy","","","","","","",""
"S-Lang","","","","","","",""
"SymPy","","","","","","",""
