"","Real Pro Systems","EListit","Zillow","Trulia","Redfin","Househappy","Market leader","Estately","ZipRealty"
"Founded","2003","2005","2005","2005","2002","2011","2005","2006","1999"
"Investors","N/A","N/A","Benchmark Capital
Technology Crossover Ventures
 PAR Capital Management
 Legg Mason, Inc.","Sarofim Fayez and Co.
 Kevin Hartz 
 Accel Partners
 Thorner Ventures 
 Sequoia Capital","Madrona Venture Group 
 BEV Capital, 
Vulcan Capital,
 The Hillman Company
Draper Fisher Jurvetson
Greylock Partners‘’","Angel Funding
Jeff Greenberg","Angel funding","Angel funding","N/A"
"Funding","N/A","N/A","$87M","$32.8M","$46.8M","Seed $1M
Series A $1.5M","N/A","$450K","N/A"
"CEO","Caine O'Brien","Greg Pool","Spencer Rascoff","Pete Flint","Glenn Kelman","Kevin McCloskey","Ian Morris","Galen Ward","Patrick Lashinsky"
"Based In","Eugene, Oregon","San Francisco, California","Seattle, Washington","San Francisco, California","Seattle, Washington","Portland, Oregon","Kirkland, Washington","Seattle, Washington","Emeryville, California"
"Access to MLS data","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes"
"Monthly Unique Visitors","","8.2M","4.2M","6.1M","1.8M","","0.9M","126K","1.6M"
"In House Agents","No","No","No","No","Yes","No","Yes","Yes","Yes"
"Map Search","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Forum
User Generated Contents","No","Yes","Yes","Yes","Yes","No","No","No","No"
"Street View","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Demographic Information","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"Educational Sections
Real Estate Tips","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Business Model","Realtor Business Solutions","Advertising","Advertising","Advertising","Discounted Brokerage","Global Real Estate Search Portal","Brokerage
Agent finding service","Brokerage
Agent finding service","Discounted Brokerage"
"","Real Pro Systems","Elistit","Zillow","Trulia","Redfin","Househappy","Market leader","Estately","ZipRealty"
