"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"Intel740","1998","Desktop","stand-alone","Auburn","7800","220","2","3.0 (SW)/No","5.0","1.1","No","1.3
0.533(AGP 2×)","2–8","Optional external MPEG-2 decoder via Video Module Interface","No","No"
"752","1999","Desktop","stand-alone","Portola","1240","250","2","3.0 (SW)/No","6.0 (full)
 8.0 (some features, no hardware shaders)","1.1","No","0.8(PC100)–1.067(PC133)
1.067(AGP 4× for AIMM)","8–16","MC","No","No"
"3D graphics with Direct AGP","1999","Desktop","810
810-DC100
810E
810E2","Whitney","7121
7123
7125","230","2","3.0 (SW)/No","6.0 (full)
 8.0 (some features, no hardware shaders)","1.1","No","0.8(PC100)–1.067(PC133)
1.067(AGP 4× for AIMM)","32","MC","No","No"
"3D graphics with Direct AGP","2000","Desktop","815
815E
815G
815EG","Solano","1132","230","2","3.0 (SW)/No","6.0 (full)
 9.0 (some features, no hardware shaders)","1.1","No","0.8(PC100)–1.067(PC133)
1.067(AGP 4× for AIMM)","32","MC","No","No"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"Extreme Graphics","2002","Desktop","845G
845GL
845GV","Brookdale","2562","200","2","3.0 (S/W)/No","6.0 (full)
9.0 (some features, no hardware shaders)","1.3","No","2.1","64","MC","No","No"
"Extreme Graphics","2001","Mobile","830M
830MG","Almador","3577","166","2","3.0 (S/W)/No","6.0 (full)
9.0 (some features, no hardware shaders)","1.3","No","1","64","MC","No","No"
"Extreme Graphics 2","2003","Desktop","865G
865GV","Springdale","2572","266","2","3.0 (S/W)/No","6.0 (full)
9.0 (some features, no hardware shaders)","1.3","No","6.4","64","MC","No","No"
"Extreme Graphics 2","2003","Mobile","852GM
852GME
852GMV
854
855GM
855GME","Montara","3582
358E","133–266","2","3.0 (S/W)/No","6.0 (full)
9.0 (some features, no hardware shaders)","1.3","No","2.1–2.7","64","MC","No","No"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"GMA 900","2004","Desktop","910GL","Grantsdale","2582
2782 
 258A","333","4","3.0 (SW) / 2.0","9.0 (No WDDM nor Aero support)","1.4 on Windows
2.1 on Linux","No","3.2","128","MC","No","No"
"GMA 900","2004","Desktop","915GL","Grantsdale","2582
2782 
 258A","333","4","3.0 (SW) / 2.0","9.0 (No WDDM nor Aero support)","1.4 on Windows
2.1 on Linux","No","3.2","128","MC","No","No"
"GMA 900","2004","Desktop","915GV","Grantsdale","2582
2782 
 258A","333","4","3.0 (SW) / 2.0","9.0 (No WDDM nor Aero support)","1.4 on Windows
2.1 on Linux","No","8.5","128","MC","No","No"
"GMA 900","2004","Desktop","915G","Grantsdale","2582
2782 
 258A","333","4","3.0 (SW) / 2.0","9.0 (No WDDM nor Aero support)","1.4 on Windows
2.1 on Linux","No","8.5","128","MC","No","No"
"GMA 900","2005","Mobile","Mobile 915
Family","Alviso","2592
2792","133–333","4","3.0 (SW) / 2.0","9.0 (No WDDM nor Aero support)","1.4 on Windows
2.1 on Linux","No","8.5","128","MC","No","No"
"GMA 950","2005","Desktop","945GZ","Lakeport","2772
2776","400","4","3.0 (SW) / 2.0","9.0c","1.4 on Windows
2.1 on Linux","No","8.5","256","MC","No","No"
"GMA 950","2005","Desktop","945GC","Lakeport","2772
2776","400","4","3.0 (SW) / 2.0","9.0c","1.4 on Windows
2.1 on Linux","No","10.7","256","MC","No","No"
