"Poids","age","X.1","Selections","Taille"
"75.65","27.04","Albanie","21.65","181.74"
"77.74","27.13","Pologne","28.26","184.3"
"75.83","28.3","Roumanie","22.13","181.43"
"76.91","27.3","France","26.61","181.57"
"75.61","27.87","Portugal","35.39","180.87"
"73.96","26.39","Turquie","27.48","180.57"
"75.35","27.39","Ukraine","35.35","183.57"
"78.35","28.7","R??publique tch??que","36.43","184.04"
"78.43","26.3","Croatie","32.39","184.7"
"77.7","29.39","Irlande","41.91","182.61"
"80.3","25.43","Allemagne","40.83","185.48"
"77.48","28.83","Russie","32.22","183.39"
"78.78","27.13","Islande","31.17","185.13"
"80.17","27.22","Su??de","34.96","186"
"75.09","25.39","Angleterre","22.52","183"
"74.35","27.61","Espagne","42.57","180.39"
"76.78","28","Irlande du Nord","32.39","182.65"
"77","28.43","Italie","31.57","183"
"79.65","25.57","Suisse","30.39","183.83"
"79.17","27.13","Autriche","30.7","185.13"
"79.43","27.52","Hongrie","28.61","184.83"
"77.78","25.91","Belgique","31.96","185"
"75.7","26.83","Galles","31.3","181.17"
"77.7","28.43","Slovaquie","37.26","183.52"
