"imgPays","Pays","Ville","NumEntry","Nombre étudiants erasmus accueillis par an"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Pisa","106","369"
"https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg","Romania","Cluj-Napoca","39","230"
"N/A","United-Kingdom","Cranfield","159","289"
"N/A","Czech Republic","Brno","29","801"
"N/A","United-Kingdom","Aberdeen","136","529"
"https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg","Poland","Gdansk","51","235"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","The Hague","167","584"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Zaragoza","54","814"
"N/A","United-Kingdom","Manchester","95","646"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Munster","57","286"
"https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg","Denmark","Alborg","154","402"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Toulouse","137","999"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Hamburg","110","501"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Ciudad Real","2","373"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Madrid","145","5,468"
"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg","Finland","Kuopio","158","275"
"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg","Sweden","Lund","157","798"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Sevilla","101","1,750"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Utrecht","178","805"
"https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg","Austria","Vienna","132","2,181"
"N/A","United-Kingdom","Portsmouth","144","255"
"https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg","Portugal","Coimbra","3","791"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Cordoba","76","516"
"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg","Sweden","Vaxjo","105","378"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Palermo","60","234"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Turin","53","863"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Bilbao","40","724"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Jaen","4","255"
