"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"1982_FIBA_Intercontinental_Cup_2.pcm";"1";"1";"1";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_ice_hockey_Bundesliga_season_3.pcm";"3";"6";"18";"2";"11.11111111111111";"1";"50.0";"0";"false";"0"
"1982_All-Ireland_Senior_Camogie_Championship_1.pcm";"19";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_CFL_season_0.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup___Women_s_Slalom_0.pcm";"8";"10";"80";"0";"0.0";"7";"100.0";"1";"false";"0"
"1982_European_Athletics_Championships___Women_s_shot_put_1.pcm";"5";"11";"55";"10";"18.181818181818183";"4";"100.0";"1";"false";"0"
"1982_Big_Ten_Conference_Baseball_Tournament_1.pcm";"3";"11";"33";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_Boston_Red_Sox_season_0.pcm";"3";"9";"27";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_400_metres_1.pcm";"3";"8";"24";"3";"12.5";"0";"0.0";"0";"false";"0"
"1982_83_Philadelphia_Flyers_season_14.pcm";"6";"8";"48";"17";"35.416666666666664";"3";"60.0";"0";"false";"0"
"1982_83_New_Jersey_Devils_season_7.pcm";"7";"2";"14";"0";"0.0";"6";"100.0";"1";"false";"0"
"1982_83_Scottish_Cup_11.pcm";"3";"1";"3";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_javelin_throw_3.pcm";"5";"1";"5";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_Davis_Cup_1.pcm";"4";"4";"16";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_83_Stoke_City_F.C._season_4.pcm";"7";"2";"14";"0";"0.0";"6";"100.0";"0";"false";"0"
"1982_Austrian_Grand_Prix_0.pcm";"6";"29";"174";"1";"0.5747126436781609";"5";"100.0";"1";"false";"0"
"1982_83_Toronto_Maple_Leafs_season_0.pcm";"5";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup___Men_s_Slalom_2.pcm";"16";"12";"192";"0";"0.0";"7";"46.666666666666664";"7";"true";"0"
"1982_83_New_York_Islanders_season_3.pcm";"3";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_ATP_Challenger_Series_12.pcm";"4";"29";"116";"0";"0.0";"3";"100.0";"3";"true";"0"
"1982_FIBA_World_Championship_4.pcm";"3";"13";"39";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Cup_Final_2.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_100_metres_hurdles_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_83_Philadelphia_Flyers_season_10.pcm";"3";"3";"12";"9";"75.0";"2";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_100_metres_4.pcm";"5";"5";"25";"2";"8.0";"3";"75.0";"1";"false";"0"
"1982_Brazilian_Grand_Prix_1.pcm";"3";"5";"15";"0";"0.0";"2";"100.0";"1";"false";"0"
"1982_Campeonato_Brasileiro_S_rie_A_3.pcm";"10";"5";"50";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_83_Northern_Premier_League_0.pcm";"10";"21";"210";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_CONCACAF_U-20_Tournament_8.pcm";"3";"3";"9";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_FIFA_World_Cup_2.pcm";"5";"8";"40";"0";"0.0";"4";"100.0";"4";"true";"0"
"1982_Dutch_Grand_Prix_0.pcm";"8";"31";"248";"8";"3.225806451612903";"2";"28.571428571428573";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_shot_put_2.pcm";"5";"20";"100";"7";"7.0";"3";"75.0";"1";"false";"0"
"1982_83_SM-liiga_season_0.pcm";"9";"10";"90";"0";"0.0";"8";"100.0";"7";"true";"0"
